#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.92;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.59;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
179.72;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
239.66;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/1,Rest/2
299.88;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
359.88;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
419.89;1;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/2,Rest/0
479.87;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
539.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
599.65;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
