#TimeStamp;Runtime;Requests
0.88;0.02;6
2.93;0;1
4.02;0;1
5.05;0;3
6.05;0;1
7.19;0;1
8.56;0;1
9.86;0;1
14.06;0;1
15.36;0;1
19.94;0;1
42.58;0;1
43.67;0;1
44.76;0;1
45.88;0;3
47.17;0;1
48.31;0;2
49.39;0;1
50.48;0;1
52.97;0;1
54.23;0;3
55.23;0;2
56.59;0;1
57.68;0;1
59.26;0;1
60.3;0;2
62.71;0;2
63.73;0;1
65.17;0;1
66.22;0;1
67.49;0;2
68.58;0;2
69.95;0;2
71.32;0;2
72.41;0;1
73.5;0;1
74.54;0;1
75.54;0;2
77.25;0;1
78.63;0;1
79.72;0;2
80.75;0;1
82.04;0;1
83.17;0;2
85.5;0;2
86.59;0;1
88.13;0;1
90.09;0;1
92.07;0;1
93.3;0;1
94.94;0;1
96.34;0;1
97.43;0;1
98.52;0;1
100.57;0;1
102.86;0;1
106.13;0;1
107.63;0;2
108.69;0;1
110.51;0;1
111.6;0;1
112.91;0;1
114.4;0;1
116.67;0;2
117.94;0;1
119.55;0;1
121.47;0;1
123.07;0;1
124.78;0;1
126.31;0;1
127.49;0;1
129.92;0;1
132.48;0;2
137.48;0;1
138.77;0;1
139.88;0;1
140.97;0;1
142.06;0;1
143.11;0;1
144.47;0;1
145.56;0;1
148.06;0;1
149.36;0;3
150.41;0;1
153.46;0;1
154.51;0;1
155.86;0;1
156.98;0;1
158.07;0;1
160.8;0;1
162.19;0;1
164.86;0;2
166.24;0;1
167.33;0;1
168.36;0;2
169.95;0;1
171.04;0;1
172.58;0;1
173.67;0;1
174.75;0;1
175.84;0;1
177.2;0;1
178.21;0;1
179.3;0;1
181.66;0;1
182.91;0;1
184.12;0;1
185.16;0;2
186.58;0;1
187.83;0;1
189.05;0;1
190.42;0;2
191.63;0;2
193.04;0;1
194.09;0;1
195.23;0;2
196.72;0;1
197.85;0;2
200;0;1
201.04;0;1
203.28;0;1
204.43;0;2
206.15;0;2
207.42;0;1
208.62;0;1
209.82;0;1
211.23;0;1
212.64;0;2
213.69;0;1
215.32;0;1
216.34;0;1
217.36;0;1
218.45;0;1
219.54;0;1
221.17;0;1
223.7;0;1
225.48;0;1
226.57;0;1
227.66;0;1
228.74;0;1
229.82;0;1
231.15;0;1
232.25;0;1
233.27;0;1
234.31;0;1
236.09;0;1
237.12;0;1
238.21;0;2
239.61;0;2
240.88;0;1
244.44;0;1
245.52;0;1
247.51;0;1
252.21;0;1
253.43;0;1
263.87;0;1
269.36;0;1
342.79;0;1
343.83;0;2
345.13;0;1
346.22;0;1
347.91;0;1
349;0;2
353.17;0;1
355.68;0;1
356.7;0;1
357.79;0;1
358.79;0;1
359.84;0;1
361.54;0;2
362.58;0;1
363.7;0;2
365.05;0;2
366.18;0;1
368.85;0;1
370.33;0;1
372.96;0;1
374.49;0;1
376.46;0;1
377.55;0;2
379.2;0;2
382.7;0;1
383.79;0;2
384.88;0;1
386.22;0;1
387.31;0;1
388.55;0;1
389.71;0;1
394.09;0;1
395.14;0;1
396.34;0;1
397.69;0;1
398.8;0;2
399.85;0;1
401.22;0;2
402.3;0;1
404.28;0;1
405.37;0;1
406.43;0;1
407.52;0;2
408.72;0;1
409.98;0;1
411.27;0;1
412.52;0;1
418.02;0;1
420.42;0;1
421.52;0;1
422.61;0;1
423.69;0;1
424.78;0;2
426.15;0;1
427.43;0;2
428.52;0;1
429.87;0;1
430.87;0;1
432.88;0;1
434.21;0;1
435.51;0;1
436.74;0;1
437.83;0;1
439.66;0;1
442.29;0;1
443.59;0;1
448.45;0;1
449.51;0;1
459.97;0;1
464.14;0;1
468.31;0;1
473.77;0;1
