#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;34.76;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.92;36.23;0.31;PP/0.02,TA/0.05,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.59;36.54;0.35;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.72;36.74;0.37;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.66;37.39;0.4;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0.02,RP/0
299.88;37.39;0.45;PP/0.07,TA/0.1,IS/0,PS/0,RB/0,OB/0.02,RP/0
359.88;37.4;0.49;PP/0.1,TA/0.12,IS/0,PS/0,RB/0,OB/0.02,RP/0
419.89;37.41;0.52;PP/0.1,TA/0.12,IS/0,PS/0,RB/0,OB/0.02,RP/0
479.87;36.64;0.54;PP/0.12,TA/0.12,IS/0,PS/0,RB/0,OB/0.02,RP/0
539.96;36.68;0.59;PP/0.12,TA/0.14,IS/0,PS/0,RB/0,OB/0.02,RP/0
599.65;36.7;0.61;PP/0.12,TA/0.17,IS/0,PS/0,RB/0,OB/0.02,RP/0
