#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.92;0;0;0;2;0/59.92;0/59.92,1/59.92;0/0;0/59.92,1/59.92;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.59;0;3;0;2;0/119.59;0/88.44,1/119.59;0/0;0/119.59,1/119.59;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/0,1/0;0/0;0/3,1/0;0/0;0/4,1/0
179.72;0;5;0;2;0/179.72;0/120.56,1/169.74;0/0;0/179.72,1/179.72;0/0;0/1,1/0;0/0;0/4,1/2;0/0;0/0,1/0;0/0;0/5,1/0;0/0;0/6,1/1
239.66;0;10;0;2;0/239.66;0/151.44,1/209.87;0/0;0/239.66,1/239.66;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/0,1/0;0/0;0/8,1/2;0/0;0/9,1/3
299.88;0;11;0;2;0/299.88;0/202.06,1/270.08;0/0;0/299.88,1/299.88;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/2;0/0;0/10,1/3
359.88;0;11;0;2;0/359.88;0/262.07,1/330.09;0/0;0/359.88,1/359.88;0/0;0/0,1/3;0/0;0/4,1/3;0/0;0/0,1/0;0/0;0/9,1/2;0/0;0/10,1/3
419.89;0;17;0;2;0/419.89;0/289.15,1/370.61;0/0;0/419.89,1/419.89;0/0;0/0,1/0;0/0;0/0,1/1;0/0;0/0,1/0;0/0;0/13,1/4;0/0;0/14,1/5
479.87;0;18;0;2;0/479.87;0/342.21,1/420.85;0/0;0/479.87,1/479.87;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/13,1/5;0/0;0/14,1/6
539.96;0;18;0;2;0/539.96;0/402.3,1/480.94;0/0;0/539.96,1/539.96;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/13,1/5;0/0;0/14,1/6
599.65;0;18;0;2;0/599.65;0/461.99,1/540.63;0/0;0/599.65,1/599.65;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/13,1/5;0/0;0/14,1/6
