#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.71;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/3
119.87;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
179.66;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/2
239.75;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/2,Rest/4
300;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/5
359.86;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/2,Rest/4
419.96;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/2,Rest/2
479.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
539.95;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
600;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
