#TimeStamp;Runtime;Requests
0.88;0.02;6
2.93;0;1
4.02;0;3
5.43;0;1
6.64;0;2
7.73;0;1
9.31;0;1
10.36;0;2
11.44;0;1
12.57;0;2
13.57;0;1
14.61;0;1
16.02;0;2
17.03;0;2
18.49;0;1
21.91;0;1
25.66;0;1
27.07;0;1
29.45;0;1
30.7;0;1
31.91;0;2
33.16;0;1
35.2;0;2
36.29;0;1
37.66;0;1
38.91;0;1
40;0;1
41.13;0;1
42.22;0;1
45.57;0;1
46.89;0;1
48.08;0;1
49.75;0;1
52.25;0;1
53.25;0;2
54.5;0;1
56.21;0;1
57.46;0;1
58.52;0;3
60.62;0;1
61.8;0;2
65.71;0;1
66.8;0;2
67.89;0;1
69.14;0;1
70.27;0;3
71.6;0;2
72.6;0;1
76.39;0;1
77.77;0;1
78.81;0;2
81.77;0;1
83.32;0;1
84.69;0;1
85.69;0;2
86.73;0;1
87.78;0;1
88.82;0;1
89.86;0;2
90.91;0;2
91.95;0;2
93;0;1
94.04;0;1
95.09;0;1
96.12;0;2
97.16;0;2
98.16;0;1
99.21;0;1
102.07;0;1
103.07;0;1
104.65;0;1
107.95;0;1
112.55;0;1
114.33;0;1
115.38;0;2
116.84;0;1
117.84;0;1
118.93;0;1
120;0;1
122.88;0;2
124.12;0;1
125.52;0;2
127.67;0;1
128.76;0;1
131;0;1
133.08;0;1
134.12;0;1
135.59;0;1
137.37;0;1
138.68;0;1
139.94;0;3
143.23;0;1
144.23;0;1
145.27;0;1
146.3;0;1
147.33;0;2
149.37;0;1
150.72;0;1
151.85;0;2
152.87;0;1
154.27;0;2
155.52;0;1
157.04;0;2
158.04;0;2
160.44;0;1
163.72;0;1
164.72;0;1
166.21;0;1
167.27;0;1
169.74;0;1
170.83;0;1
172.88;0;1
174.05;0;1
175.12;0;1
176.14;0;1
177.17;0;1
180.38;0;1
181.76;0;1
184.15;0;1
185.2;0;2
186.29;0;2
187.87;0;1
188.96;0;1
190.21;0;1
195.51;0;1
196.6;0;1
197.67;0;2
199.67;0;1
200.76;0;1
202;0;1
203.43;0;1
204.51;0;1
206.74;0;1
207.81;0;1
209.19;0;1
211.27;0;1
212.6;0;1
213.65;0;1
214.78;0;1
216.11;0;2
217.45;0;1
218.45;0;1
219.5;0;3
220.54;0;3
221.59;0;1
224.88;0;1
225.91;0;2
227;0;1
228.08;0;1
229.13;0;1
230.45;0;1
231.45;0;3
233.95;0;1
235.04;0;1
239.12;0;1
240.46;0;1
242.71;0;1
243.87;0;1
246.13;0;1
248.57;0;1
249.64;0;1
255.55;0;1
258.55;0;1
259.59;0;3
261.64;0;1
263.99;0;1
265.24;0;3
266.47;0;1
268.56;0;1
269.58;0;2
270.66;0;1
272.05;0;2
273.76;0;1
274.84;0;1
275.97;0;1
277.06;0;1
278.14;0;1
280.81;0;2
281.81;0;3
283.48;0;1
285.11;0;1
286.11;0;2
287.62;0;1
289.31;0;1
290.73;0;1
291.82;0;1
292.98;0;1
294.07;0;1
295.21;0;1
296.29;0;2
297.5;0;1
298.57;0;1
299.95;0;1
302.74;0;2
305.11;0;1
306.36;0;1
308.2;0;1
309.31;0;1
310.48;0;1
311.73;0;1
312.82;0;1
313.82;0;2
314.82;0;2
315.87;0;2
316.91;0;1
320;0;1
321.29;0;1
322.42;0;1
325.12;0;1
326.7;0;1
328.05;0;3
329.34;0;1
330.73;0;1
331.8;0;1
332.88;0;1
333.97;0;1
335.55;0;1
336.84;0;1
338.13;0;3
341.8;0;1
343.72;0;1
344.93;0;1
