#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;34.68;0.11;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.71;37.16;0.33;PP/0.02,TA/0.03,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.87;37.32;0.4;PP/0.02,TA/0.08,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.66;37.34;0.42;PP/0.02,TA/0.08,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.75;36.48;0.45;PP/0.02,TA/0.08,IS/0,PS/0,RB/0,OB/0.02,RP/0
300;36.51;0.49;PP/0.02,TA/0.08,IS/0,PS/0,RB/0,OB/0.02,RP/0
359.86;36.64;0.52;PP/0.05,TA/0.08,IS/0,PS/0,RB/0,OB/0.02,RP/0
419.96;36.82;0.56;PP/0.05,TA/0.08,IS/0,PS/0,RB/0,OB/0.02,RP/0
479.97;36.85;0.59;PP/0.05,TA/0.1,IS/0,PS/0,RB/0,OB/0.02,RP/0
539.95;36.63;0.61;PP/0.07,TA/0.1,IS/0,PS/0,RB/0,OB/0.02,RP/0
600;36.82;0.64;PP/0.07,TA/0.1,IS/0,PS/0,RB/0,OB/0.02,RP/0
