#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.71;0;0;0;2;0/59.71;0/59.71,1/59.71;0/0;0/59.71,1/59.71;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.87;0;1;0;2;0/119.87;0/99.98,1/119.87;0/0;0/119.87,1/119.87;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/2,1/0
179.66;0;2;0;2;0/179.66;0/120.08,1/179.66;0/0;0/179.66,1/179.66;0/0;0/1,1/0;0/0;0/4,1/3;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/6,1/0
239.75;0;4;0;2;0/239.75;0/175.96,1/210.35;0/0;0/239.75,1/239.75;0/0;0/0,1/0;0/0;0/3,1/0;0/0;0/0,1/0;0/0;0/3,1/1;0/0;0/7,1/3
300;0;5;0;2;0/300;0/200.81,1/270.6;0/0;0/300,1/300;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/4,1/1;0/0;0/10,1/3
359.86;0;5;0;2;0/359.86;0/260.68,1/330.47;0/0;0/359.86,1/359.86;0/0;0/0,1/3;0/0;0/4,1/3;0/0;0/0,1/0;0/0;0/4,1/1;0/0;0/10,1/3
419.96;0;9;0;2;0/419.96;0/292.49,1/376.54;0/0;0/419.96,1/419.96;0/0;0/0,1/0;0/0;0/1,1/1;0/0;0/0,1/0;0/0;0/6,1/3;0/0;0/13,1/5
479.97;0;10;0;2;0/479.97;0/341.71,1/421.17;0/0;0/479.97,1/479.97;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/4;0/0;0/14,1/6
539.95;0;10;0;2;0/539.95;0/401.69,1/481.15;0/0;0/539.95,1/539.95;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/4;0/0;0/14,1/6
600;0;10;0;2;0/600;0/461.74,1/541.2;0/0;0/600,1/600;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/4;0/0;0/14,1/6
