#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.73;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.59;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/0,Rest/4
179.7;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
239.77;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/0,Rest/4
299.86;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
359.87;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/2
419.79;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/1,Rest/3
479.83;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
539.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
599.63;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
