#TimeStamp;Runtime;Requests
0.88;0.02;6
2.93;0;1
4.02;0;1
5.05;0;3
6.05;0;1
7.19;0;1
8.56;0;1
9.86;0;1
14.06;0;1
15.36;0;1
19.94;0;1
42.58;0;1
43.67;0;1
44.79;0;1
46.09;0;3
48.32;0;1
49.34;0;2
50.35;0;3
51.35;0;2
53.02;0;1
54.31;0;1
55.56;0;1
56.89;0;1
57.96;0;2
58.96;0;1
60;0;1
61.88;0;1
63.22;0;1
64.31;0;2
65.68;0;1
66.81;0;1
68.06;0;1
69.06;0;1
71.02;0;1
72.05;0;2
74.51;0;1
75.6;0;2
76.89;0;1
78.24;0;3
82.39;0;1
83.69;0;1
85.89;0;1
86.94;0;1
88.35;0;3
90.82;0;1
91.86;0;2
94.27;0;1
96.52;0;1
97.53;0;2
98.57;0;1
99.58;0;1
105.4;0;1
106.49;0;1
108.03;0;1
110.7;0;2
116.15;0;1
118.03;0;1
119.12;0;1
121.61;0;1
122.67;0;1
123.7;0;1
126.84;0;1
130.33;0;1
134.21;0;1
135.79;0;1
137.51;0;1
138.55;0;2
139.88;0;1
142.05;0;1
143.27;0;1
144.35;0;2
145.42;0;2
146.51;0;1
147.6;0;1
148.94;0;1
151.77;0;1
152.86;0;1
153.95;0;1
156.01;0;1
157.03;0;2
159.07;0;1
160.42;0;1
161.51;0;2
162.61;0;2
164.62;0;1
165.7;0;1
166.73;0;1
168.64;0;1
171.57;0;1
174.78;0;1
177.41;0;1
178.48;0;1
179.54;0;1
181.58;0;1
182.61;0;2
184.38;0;1
185.4;0;2
186.4;0;1
187.44;0;1
188.53;0;1
189.88;0;1
190.98;0;1
192.01;0;2
193.36;0;2
194.45;0;1
195.82;0;2
196.91;0;1
198.17;0;1
199.95;0;1
201.25;0;1
202.71;0;1
203.85;0;1
205.69;0;1
207.35;0;1
208.75;0;1
210.46;0;1
213.6;0;1
216.3;0;1
218.17;0;2
219.63;0;1
220.92;0;1
221.92;0;1
229.47;0;1
230.52;0;1
231.93;0;1
233.02;0;1
235.84;0;1
237.86;0;1
241.29;0;1
243.31;0;1
244.38;0;1
247.89;0;1
249.88;0;1
341.44;0;1
342.53;0;1
343.62;0;1
344.64;0;2
347.11;0;1
348.44;0;2
351.44;0;1
353.9;0;1
355.15;0;1
356.36;0;2
358.4;0;1
359.78;0;1
361.07;0;1
362.16;0;2
363.25;0;1
366.82;0;1
368.12;0;3
369.7;0;2
371.21;0;1
372.3;0;2
374.91;0;1
376.29;0;1
377.33;0;1
378.42;0;1
379.45;0;1
380.51;0;1
384.28;0;1
385.3;0;1
387.16;0;1
388.17;0;1
389.35;0;1
390.42;0;2
391.68;0;1
393.05;0;2
394.14;0;1
395.64;0;1
396.71;0;3
397.71;0;1
398.97;0;1
400;0;2
401.02;0;1
402.04;0;2
403.38;0;2
404.47;0;1
405.5;0;1
411.55;0;1
412.87;0;2
415.96;0;1
418.32;0;1
419.32;0;1
420.55;0;1
421.83;0;2
424.01;0;1
425.02;0;1
426.11;0;1
427.84;0;1
430.27;0;2
432.57;0;1
433.73;0;1
434.86;0;1
436.19;0;1
437.41;0;1
440.32;0;1
441.45;0;1
442.69;0;1
446.58;0;1
448.89;0;1
452.39;0;1
