#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;34.78;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0,RP/0
59.73;35.97;0.26;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0,RP/0
119.59;36.17;0.28;PP/0.03,TA/0.02,IS/0,PS/0,RB/0,OB/0,RP/0
179.7;36.18;0.33;PP/0.03,TA/0.04,IS/0,PS/0,RB/0,OB/0,RP/0
239.77;36.36;0.33;PP/0.03,TA/0.04,IS/0,PS/0,RB/0,OB/0,RP/0
299.86;36.36;0.33;PP/0.03,TA/0.04,IS/0,PS/0,RB/0,OB/0,RP/0
359.87;36.63;0.36;PP/0.03,TA/0.07,IS/0,PS/0,RB/0,OB/0,RP/0
419.79;36.71;0.4;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0,RP/0
479.83;36.71;0.4;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0,RP/0
539.94;36.51;0.4;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0,RP/0
599.63;36.51;0.42;PP/0.05,TA/0.07,IS/0,PS/0,RB/0,OB/0,RP/0
