#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.73;0;0;0;2;0/59.73;0/59.73,1/59.73;0/0;0/59.73,1/59.73;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.59;0;5;0;2;0/119.59;0/65.39,1/119.59;0/0;0/119.59,1/119.59;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/5,1/0;0/0;0/6,1/0
179.7;0;7;0;2;0/179.7;0/106.8,1/178.99;0/0;0/179.7,1/179.7;0/0;0/0,1/0;0/0;0/1,1/3;0/0;0/0,1/0;0/0;0/7,1/0;0/0;0/8,1/1
239.77;0;11;0;2;0/239.77;0/151.96,1/200.95;0/0;0/239.77,1/239.77;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/8,1/3;0/0;0/9,1/4
299.86;0;11;0;2;0/299.86;0/212.05,1/261.04;0/0;0/299.86,1/299.86;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/8,1/3;0/0;0/9,1/4
359.87;0;11;0;2;0/359.87;0/272.07,1/321.05;0/0;0/359.87,1/359.87;0/0;0/0,1/3;0/0;0/4,1/3;0/0;0/0,1/0;0/0;0/8,1/3;0/0;0/9,1/4
419.79;0;18;0;2;0/419.79;0/292.71,1/359.65;0/0;0/419.79,1/419.79;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
479.83;0;18;0;2;0/479.83;0/352.75,1/411.59;0/0;0/479.83,1/479.83;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
539.94;0;18;0;2;0/539.94;0/412.86,1/471.7;0/0;0/539.94,1/539.94;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
599.63;0;18;0;2;0/599.63;0/472.55,1/531.39;0/0;0/599.63,1/599.63;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/6;0/0;0/13,1/7
