#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;35.09;0.41;PP/0,TA/0,IS/0,PS/0,RB/0.02,OB/0.03,RP/0
59.99;36.18;0.57;PP/0.03,TA/0.01,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
119.98;36.38;0.6;PP/0.04,TA/0.01,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
179.96;36.41;0.62;PP/0.04,TA/0.01,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
239.74;36.59;0.64;PP/0.04,TA/0.01,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
299.96;36.61;0.64;PP/0.04,TA/0.01,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
359.86;36.7;0.67;PP/0.05,TA/0.01,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
419.96;37.19;0.69;PP/0.05,TA/0.02,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
479.8;38.39;0.7;PP/0.06,TA/0.02,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
539.9;38.39;0.7;PP/0.06,TA/0.02,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
599.98;38.39;0.71;PP/0.06,TA/0.02,IS/0,PS/0,RB/0.02,OB/0.04,RP/0
