#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.68;1;18;0;0;0;0;0;0;0;0;0
1199.68;0.99;18;0;0;0;0;0;0;0;0;0
1799.89;0.99;18;0;0;0;0;0;0;0;0;0
2399.91;0.99;18;0;0;0;0;0;0;0;0;0
2999.96;0.99;18;0;0;0;0;0;0;0;0;0
3599.93;0.99;18;0;0;0;0;0;0;0;0;0
4199.98;0.99;18;0;0;0;0;0;0;0;0;0
4799.9;0.99;18;0;0;0;0;0;0;0;0;0
5399.79;0.99;18;0;0;0;0;0;0;0;0;0
5999.89;0.99;18;0;0;0;0;0;0;0;0;0
6599.94;0.99;18;0;0;0;0;0;0;0;0;0
7199.94;0.99;18;0;0;0;0;0;0;0;0;0
