#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/18,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/17,Rest/1
119.96;6;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
179.96;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
239.9;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
299.85;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
359.71;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
419.92;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
479.98;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
539.94;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
599.9;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
659.92;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
719.93;14;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
779.78;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
839.61;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
899.89;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
959.89;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1019.62;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1079.97;10;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1139.9;6;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1199.76;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1259.97;8;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1319.82;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1379.95;12;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1439.73;3;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/4,Rest/7
1499.65;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/17
1559.83;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1619.67;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1679.68;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1740;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1799.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1859.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1919.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1979.91;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2039.88;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2099.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2159.85;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2219.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2279.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2339.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2399.9;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2459.91;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2519.87;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2579.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2639.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2699.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2759.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2819.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2879.95;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2939.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2999.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3059.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3119.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3179.62;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3239.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3299.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3359.6;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3419.92;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3479.9;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3539.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3599.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3659.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3719.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3779.74;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3839.85;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3899.73;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
3959.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4019.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4079.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4139.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4199.92;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4259.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4319.81;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4379.81;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4439.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4499.74;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
4559.95;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
