#TimeStamp;Runtime;Requests
0.88;0.04;18
2.93;0;3
4.13;0;5
5.39;0;5
6.75;0;2
8.02;0;5
9.05;0;3
10.06;0;2
11.1;0;3
12.14;0;4
13.14;0;2
14.14;0;1
15.23;0;4
16.28;0;2
17.28;0;2
18.32;0;4
19.57;0;2
20.66;0;2
21.66;0;4
22.7;0;3
23.75;0;3
24.92;0;1
26.23;0;2
27.49;0;1
28.52;0;5
29.53;0;2
30.57;0;3
31.57;0;2
32.58;0;2
33.61;0;6
34.65;0;3
35.65;0;4
36.69;0;3
37.69;0;7
38.69;0;4
39.71;0;3
40.71;0;9
41.74;0;5
42.76;0;5
43.78;0;4
44.78;0;3
45.9;0;1
46.91;0;9
47.91;0;3
48.91;0;1
49.95;0;5
51.04;0;4
52.04;0;3
53.13;0;3
54.17;0;2
55.17;0;5
56.22;0;2
57.22;0;3
58.31;0;1
59.41;0;4
60.41;0;3
61.46;0;2
62.46;0;2
63.5;0;2
64.54;0;2
65.63;0;2
66.75;0;1
67.79;0;4
68.92;0;1
69.96;0;2
71.04;0;4
72.17;0;4
73.17;0;3
74.21;0;3
75.21;0;5
76.26;0;1
77.26;0;3
78.34;0;4
79.38;0;3
80.38;0;1
81.42;0;3
82.42;0;4
83.42;0;4
84.42;0;4
85.47;0;4
86.47;0;3
87.47;0;3
88.5;0;4
89.51;0;2
90.55;0;3
91.64;0;2
92.93;0;4
93.97;0;3
94.97;0;3
96.01;0;2
97.05;0;1
98.05;0;3
99.05;0;5
100.05;0;4
101.05;0;2
102.05;0;4
103.14;0;2
104.55;0;5
105.59;0;5
107.02;0;2
108.02;0;2
109.06;0;2
110.07;0;1
111.12;0;4
112.12;0;1
113.12;0;4
114.14;0;5
115.16;0;6
116.21;0;1
117.29;0;1
118.3;0;5
119.3;0;1
120.3;0;3
121.45;0;2
122.52;0;2
123.61;0;1
124.7;0;2
125.74;0;1
126.97;0;2
128.02;0;4
129.06;0;3
130.36;0;1
131.37;0;3
132.51;0;2
133.53;0;3
134.62;0;1
135.78;0;3
136.99;0;3
137.99;0;5
139.01;0;2
140.04;0;2
141.45;0;4
142.45;0;1
143.45;0;1
144.45;0;2
145.45;0;1
146.5;0;2
147.5;0;1
148.5;0;2
149.54;0;1
150.65;0;1
152.21;0;1
153.36;0;2
154.42;0;1
155.54;0;2
156.62;0;2
157.78;0;2
158.78;0;2
159.78;0;1
160.79;0;1
161.92;0;1
163.28;0;2
164.44;0;1
165.95;0;1
167.05;0;1
168.46;0;1
169.47;0;2
172.97;0;1
174.38;0;1
175.56;0;1
177.62;0;1
178.68;0;3
179.68;0;1
180.68;0;1
183.06;0;1
188.06;0;1
189.28;0;1
192.94;0;1
194.03;0;1
195.06;0;1
197.77;0;2
199.04;0;1
200.06;0;2
202.52;0;1
203.56;0;1
204.66;0;1
205.94;0;1
208.06;0;1
209.19;0;1
210.2;0;1
212.87;0;1
213.91;0;2
215.06;0;1
217.26;0;1
218.33;0;2
219.36;0;3
220.59;0;1
221.77;0;1
222.79;0;1
223.83;0;4
224.84;0;1
225.88;0;3
226.88;0;1
227.9;0;1
228.93;0;4
229.93;0;2
231.1;0;2
232.1;0;1
233.14;0;3
234.15;0;2
235.19;0;1
236.56;0;1
237.98;0;1
239.26;0;2
240.98;0;1
242.28;0;1
243.35;0;1
244.69;0;3
245.92;0;1
247.07;0;1
248.11;0;2
249.11;0;1
250.16;0;1
251.16;0;2
252.32;0;1
253.46;0;2
254.83;0;4
255.87;0;3
258.08;0;1
259.28;0;3
260.33;0;2
261.33;0;2
262.35;0;1
263.37;0;1
264.39;0;3
266.44;0;1
268.45;0;2
269.65;0;1
273.15;0;1
274.24;0;1
275.67;0;1
278.11;0;1
279.2;0;3
280.2;0;3
281.24;0;1
282.24;0;1
283.56;0;3
284.63;0;2
285.7;0;1
286.83;0;2
288.74;0;1
289.88;0;2
290.92;0;2
291.92;0;1
292.92;0;1
294.05;0;2
295.11;0;1
296.29;0;2
297.43;0;2
298.84;0;2
300.45;0;1
301.54;0;2
302.55;0;1
303.59;0;1
304.59;0;3
305.6;0;1
306.64;0;1
307.64;0;1
308.79;0;4
309.97;0;1
311.3;0;3
312.71;0;1
313.92;0;3
314.92;0;2
316.11;0;2
317.42;0;2
318.69;0;3
319.78;0;2
320.78;0;1
321.81;0;1
322.92;0;1
324.22;0;3
325.25;0;2
326.26;0;1
328.75;0;2
330.29;0;1
331.37;0;2
332.46;0;2
333.46;0;4
334.64;0;1
336.63;0;1
338.05;0;1
339.09;0;2
340.16;0;1
341.42;0;1
342.48;0;2
343.51;0;2
344.89;0;3
345.94;0;2
346.98;0;3
348.38;0;2
349.55;0;1
350.64;0;2
351.88;0;1
352.88;0;3
353.88;0;2
354.94;0;1
355.97;0;2
356.99;0;3
358.01;0;2
359.04;0;4
360.06;0;3
361.08;0;1
362.1;0;3
363.13;0;3
364.15;0;3
365.25;0;3
366.26;0;1
367.29;0;3
368.31;0;3
369.33;0;3
370.54;0;2
371.81;0;3
372.94;0;2
373.94;0;4
375.03;0;2
376.08;0;2
377.11;0;2
378.12;0;4
379.26;0;3
380.27;0;1
381.3;0;4
383.34;0;2
384.39;0;2
385.43;0;2
386.85;0;1
387.89;0;3
388.89;0;5
389.93;0;1
390.94;0;2
392.03;0;1
393.04;0;3
394.06;0;2
395.09;0;2
396.09;0;2
397.09;0;2
398.1;0;1
399.24;0;3
400.24;0;2
401.26;0;2
402.28;0;1
403.3;0;1
404.33;0;1
405.57;0;1
406.71;0;3
408.05;0;1
409.08;0;3
410.09;0;3
411.34;0;2
412.46;0;2
413.55;0;1
414.92;0;4
416.59;0;1
417.59;0;3
418.83;0;1
419.96;0;3
421.09;0;1
422.76;0;1
423.76;0;4
425.82;0;2
426.85;0;1
427.9;0;1
428.9;0;3
429.94;0;2
430.95;0;1
431.98;0;1
433.13;0;1
434.37;0;2
435.8;0;1
436.99;0;1
438.77;0;1
439.91;0;3
441.31;0;1
442.58;0;1
443.61;0;2
444.98;0;1
446.07;0;1
447.21;0;1
448.24;0;1
449.32;0;3
450.32;0;1
451.73;0;1
452.75;0;2
453.78;0;3
454.79;0;4
455.87;0;1
457.05;0;2
458.09;0;2
459.47;0;2
460.47;0;4
461.83;0;2
462.92;0;1
464.01;0;3
465.18;0;1
466.56;0;3
