#ItemDescriptionID;Weight;OrderCount;MeasuredFrequency;StaticFrequency
0;5;172;0.435443037974684;Infinity
1;5;231;0.584810126582278;Infinity
2;5;392;0.992405063291139;Infinity
3;5;105;0.265822784810127;Infinity
4;5;133;0.336708860759494;Infinity
5;5;250;0.632911392405063;Infinity
6;5;111;0.281012658227848;Infinity
7;5;166;0.420253164556962;Infinity
8;5;322;0.815189873417722;Infinity
9;5;172;0.435443037974684;Infinity
10;5;241;0.610126582278481;Infinity
11;5;395;1;Infinity
12;5;51;0.129113924050633;Infinity
13;5;85;0.215189873417722;Infinity
14;5;153;0.387341772151899;Infinity
15;5;77;0.19493670886076;Infinity
16;5;133;0.336708860759494;Infinity
17;5;179;0.453164556962025;Infinity
