#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
247.08;0;244.35;244.35;-Infinity;244.35;244.35
257.03;0;254.67;254.67;-Infinity;254.67;254.67
272.28;1;271.58;271.55;-Infinity;271.58;271.58
411.02;1;410.48;410.46;-Infinity;410.48;410.48
430.81;1;425.05;425.05;-Infinity;425.05;425.05
484.34;0;480.61;480.61;-Infinity;480.61;480.61
498.21;1;494.55;494.55;-Infinity;494.55;494.55
524.9;0;521.87;521.87;-Infinity;521.87;521.87
535.2;0;531.1;531.1;-Infinity;531.1;531.10
545.46;0;541.05;541.05;-Infinity;541.05;541.05
552.3;1;548.34;548.34;-Infinity;548.34;548.34
575.23;0;574.54;574.54;-Infinity;574.54;574.54
595.6;0;589.59;338.16;-Infinity;589.59;589.59
602.96;1;596.82;330.63;-Infinity;596.82;596.82
605.79;0;604.94;604.94;-Infinity;604.94;604.94
626.17;0;620.89;620.89;-Infinity;620.89;620.89
646.47;0;645.42;645.42;-Infinity;645.42;645.42
663.46;1;660.97;660.97;-Infinity;660.97;660.97
666.92;0;666.41;666.41;-Infinity;666.41;666.41
686.97;0;680.99;439.84;-Infinity;680.99;680.99
693.85;1;691.28;691.28;-Infinity;691.28;691.28
704;1;701.01;701.01;-Infinity;701.01;701.01
737.42;0;726.61;90.9;-Infinity;726.61;726.61
760.9;1;754.16;329.77;-Infinity;754.16;754.16
777.76;0;769.66;242.28;-Infinity;769.66;769.66
798.17;0;789.85;252.64;-Infinity;789.85;789.85
858.61;0;856.12;856.08;-Infinity;856.12;856.12
902.58;1;890.87;208.66;-Infinity;890.87;890.87
923.12;1;910.61;162.16;-Infinity;910.61;910.61
953.56;1;952.19;952.19;-Infinity;952.19;952.19
959.21;0;948.49;353.17;-Infinity;948.49;948.49
969.21;0;957.49;281.82;-Infinity;957.49;957.49
977.42;1;967.2;374.38;-Infinity;967.2;967.20
1019.07;0;1006.37;241.03;-Infinity;1006.37;1006.37
1029.57;0;1016.46;170.67;-Infinity;1016.46;1016.46
1087.46;0;1075.25;349.87;-Infinity;1075.25;1075.25
1107.85;0;1099.91;582.78;-Infinity;1099.91;1099.91
1141.39;1;1133.93;643.14;-Infinity;1133.93;1133.93
1151.49;1;1145.29;740.43;-Infinity;1145.29;1145.29
1162.25;1;1148.91;259.51;-Infinity;1148.91;1148.91
1187.91;0;1174.85;389.45;-Infinity;1174.85;1174.85
1215.81;1;1211.34;1211.31;-Infinity;1211.34;1211.34
1223.27;0;1214.1;647.7;-Infinity;1214.1;1214.10
1233.9;0;1217.74;214.41;-Infinity;1217.74;1217.74
1236.4;1;1232.23;1232.23;-Infinity;1232.23;1232.23
1254.05;0;1239.83;294.8;-Infinity;1239.83;1239.83
1266.65;1;1255.22;603.15;-Infinity;1255.22;1255.22
1286.77;1;1268.63;145.33;-Infinity;1268.63;1268.63
1294.37;0;1282.68;627.41;-Infinity;1282.68;1282.68
1297.04;1;1296.06;1296.06;-Infinity;1296.06;1296.06
1311.09;0;1296.86;341.68;-Infinity;1296.86;1296.86
1327.28;1;1315.25;622.94;-Infinity;1315.25;1315.25
1417.82;1;1397.1;150.92;-Infinity;1397.1;1397.10
1423.12;0;1404.32;235.09;-Infinity;1404.32;1404.32
1489.76;0;1472.21;381.87;-Infinity;1472.21;1472.21
1492.2;1;1474.02;340.34;-Infinity;1474.02;1474.02
1502.48;1;1479.67;84.61;-Infinity;1479.67;1479.67
1527.99;0;1507.37;273.81;-Infinity;1507.37;1507.37
1550.61;0;1541.21;954.97;-Infinity;1541.21;1541.21
1552.69;1;1537.6;575.17;-Infinity;1537.6;1537.60
1575.33;0;1555.43;341.39;-Infinity;1555.43;1555.43
1603.2;1;1589.85;680.04;-Infinity;1589.85;1589.85
1623.65;1;1602.66;336.71;-Infinity;1602.66;1602.66
1639.16;0;1614.89;149.1;-Infinity;1614.89;1614.89
1653.99;1;1635.59;491.69;-Infinity;1635.59;1635.59
1663.96;1;1655.14;1111.34;-Infinity;1655.14;1655.14
1674.14;1;1647.54;70.89;-Infinity;1647.54;1647.54
1704.45;1;1679.37;151.59;-Infinity;1679.37;1679.37
1718.5;0;1707.73;1092.05;-Infinity;1707.73;1707.73
1724.65;1;1701.85;397.03;-Infinity;1701.85;1701.85
1734.72;1;1721.21;780.88;-Infinity;1721.21;1721.21
1756.04;1;1731.74;263.6;-Infinity;1731.74;1731.74
1762.6;0;1741.24;468.11;-Infinity;1741.24;1741.24
1793.12;0;1771.06;481.75;-Infinity;1771.06;1771.06
1813.37;0;1806;1328.72;-Infinity;1806;1806.00
1880.68;1;1861.66;664.47;-Infinity;1861.66;1861.66
1891.86;0;1861.4;172.95;-Infinity;1861.4;1861.40
1916.31;0;1890.95;340.75;-Infinity;1890.95;1890.95
1926.73;0;1909.27;839.04;-Infinity;1909.27;1909.27
1931.02;1;1900.58;226.38;-Infinity;1900.58;1900.58
2001.54;1;1969.7;245.35;-Infinity;1969.7;1969.70
2022.05;1;1994.66;367.92;-Infinity;1994.66;1994.66
2067.33;0;2034.89;175.09;-Infinity;2034.89;2034.89
2082.1;1;2057.69;579.58;-Infinity;2057.69;2057.69
2087.75;0;2055.58;324.95;-Infinity;2055.58;2055.58
2108.15;0;2074.89;181.22;-Infinity;2074.89;2074.89
2122.53;1;2090.17;241.49;-Infinity;2090.17;2090.17
2143.06;1;2108.77;120.95;-Infinity;2108.77;2108.77
2153.2;1;2119.33;221.93;-Infinity;2119.33;2119.33
2165.88;0;2146.18;942.2;-Infinity;2146.18;2146.18
2176.51;0;2151.58;625.58;-Infinity;2151.58;2151.58
2197;0;2162.13;129.63;-Infinity;2162.13;2162.13
2209.39;1;2188.83;972.75;-Infinity;2188.83;2188.83
2220;1;2198.43;922.65;-Infinity;2198.43;2198.43
2230.22;1;2199.56;505.48;-Infinity;2199.56;2199.56
2247.32;0;2220.17;608.12;-Infinity;2220.17;2220.17
2273.43;0;2241.17;459.77;-Infinity;2241.17;2241.17
2315.1;0;2291.08;891.57;-Infinity;2291.08;2291.08
2345.37;0;2306.45;98.01;-Infinity;2306.45;2306.45
2351.48;1;2324.67;727.79;-Infinity;2324.67;2324.67
2365.67;0;2333.15;449.16;-Infinity;2333.15;2333.15
2385.7;0;2347.15;188.57;-Infinity;2347.15;2347.15
2399.18;1;2360.54;179.01;-Infinity;2360.54;2360.54
2429.32;1;2390.69;219.57;-Infinity;2390.69;2390.69
2469.71;1;2438.03;734.63;-Infinity;2438.03;2438.03
2500.12;1;2470.93;825.89;-Infinity;2470.93;2470.93
2504.3;0;2463.73;230.83;-Infinity;2463.73;2463.73
2510.01;1;2468.99;158.3;-Infinity;2468.99;2468.99
2524.72;0;2486.68;358.44;-Infinity;2486.68;2486.68
2544.9;0;2528.42;1514.99;-Infinity;2528.42;2528.42
2550.68;1;2514.13;407.51;-Infinity;2514.13;2514.13
2555.27;0;2518.85;447.06;-Infinity;2518.85;2518.85
2585.63;0;2544.2;199.61;-Infinity;2544.2;2544.20
2611.15;1;2577.02;609.46;-Infinity;2577.02;2577.02
2631.36;1;2589.78;232.09;-Infinity;2589.78;2589.78
2651.71;1;2615.22;528.96;-Infinity;2615.22;2615.22
2667.96;0;2631.94;580.17;-Infinity;2631.94;2631.94
2672.12;1;2630.46;202.28;-Infinity;2630.46;2630.46
2712.68;1;2669.79;161.85;-Infinity;2669.79;2669.79
2728.22;0;2690.1;551.52;-Infinity;2690.1;2690.10
2768.38;0;2736.18;975.14;-Infinity;2736.18;2736.18
2829.8;0;2786.31;244.07;-Infinity;2786.31;2786.31
2849.98;0;2804.74;181.96;-Infinity;2804.74;2804.74
2852.01;1;2809.76;341.6;-Infinity;2809.76;2809.76
2890.19;0;2847.68;365.43;-Infinity;2847.68;2847.68
2900.36;0;2875.88;1372.08;-Infinity;2875.88;2875.88
2937.02;1;2899.27;783.78;-Infinity;2899.27;2899.27
2947.1;1;2898.18;94.68;-Infinity;2898.18;2898.18
2957.58;1;2912.97;326.03;-Infinity;2912.97;2912.97
2974.35;0;2931.28;419.03;-Infinity;2931.28;2931.28
3010.29;1;2965.17;358.32;-Infinity;2965.17;2965.17
3030.46;1;3002.47;1366.29;-Infinity;3002.47;3002.47
3050.78;1;3004.86;378.49;-Infinity;3004.86;3004.86
3054.53;0;3013.17;688.55;-Infinity;3013.17;3013.17
3064.82;0;3017.11;296.24;-Infinity;3017.11;3017.11
3075.49;0;3034.48;729.8;-Infinity;3034.48;3034.48
3115.61;0;3072.87;570.43;-Infinity;3072.87;3072.87
3136.17;0;3084.28;161.41;-Infinity;3084.28;3084.28
3186.45;0;3137.98;356.6;-Infinity;3137.98;3137.98
3196.55;0;3147.73;346.29;-Infinity;3147.73;3147.73
3206.94;0;3157.88;316.51;-Infinity;3157.88;3157.88
3217.53;0;3175.5;713.19;-Infinity;3175.5;3175.50
3229.93;1;3175.28;179;-Infinity;3175.28;3175.28
3281.71;1;3243.07;1051.37;-Infinity;3243.07;3243.07
3287.94;0;3240.56;559.67;-Infinity;3240.56;3240.56
3344.54;1;3293.29;407.38;-Infinity;3293.29;3293.29
3354.87;1;3312.9;854.61;-Infinity;3312.9;3312.90
3365.22;1;3313.46;407.54;-Infinity;3313.46;3313.46
3385.37;1;3333.29;375.03;-Infinity;3333.29;3333.29
3395.86;1;3337.73;165.71;-Infinity;3337.73;3337.73
3406.15;1;3354.63;458.64;-Infinity;3354.63;3354.63
3420.04;0;3360.13;132.06;-Infinity;3360.13;3360.13
3430.3;0;3389.53;1114.81;-Infinity;3389.53;3389.53
3446.31;1;3411.39;1363.98;-Infinity;3411.39;3411.39
3450.46;0;3401.38;549.74;-Infinity;3401.38;3401.38
3460.84;0;3403.44;253.71;-Infinity;3403.44;3403.44
3484.51;1;3442.86;1055.14;-Infinity;3442.86;3442.86
3501.23;0;3444.14;304.32;-Infinity;3444.14;3444.14
3511.52;0;3456.48;446.41;-Infinity;3456.48;3456.48
3571.32;0;3516.04;495.79;-Infinity;3516.04;3516.04
3581.65;0;3525.24;445.24;-Infinity;3525.24;3525.24
3606.01;1;3551.89;575.5;-Infinity;3551.89;3551.89
3626.18;1;3579.43;913.46;-Infinity;3579.43;3579.43
3646.6;1;3587.37;364.74;-Infinity;3587.37;3587.37
3671.82;0;3604.99;170.33;-Infinity;3604.99;3604.99
3731.85;0;3664.26;150.07;-Infinity;3664.26;3664.26
3738.13;1;3676.06;342.23;-Infinity;3676.06;3676.06
3742.08;0;3677.22;291.46;-Infinity;3677.22;3677.22
3778.32;1;3718.04;433.71;-Infinity;3718.04;3718.04
3782.07;0;3723.98;564.5;-Infinity;3723.98;3723.98
3792.46;0;3721.73;50.23;-Infinity;3721.73;3721.73
3802.67;0;3738.36;382.4;-Infinity;3738.36;3738.36
3842.99;0;3778.36;412.65;-Infinity;3778.36;3778.36
3866.85;1;3805.88;501.59;-Infinity;3805.88;3805.88
3877.51;1;3809.77;271.28;-Infinity;3809.77;3809.77
3903.28;0;3833.53;231.42;-Infinity;3833.53;3833.53
3926.14;1;3864.66;540.45;-Infinity;3864.66;3864.66
3936.45;1;3875.59;581.46;-Infinity;3875.59;3875.59
3973.66;0;3918.83;918.81;-Infinity;3918.83;3918.83
3993.84;0;3938.12;877.85;-Infinity;3938.12;3938.12
4017.89;1;3947.47;279.71;-Infinity;3947.47;3947.47
4046.4;0;3989.96;859.91;-Infinity;3989.96;3989.96
4066.88;0;3999.51;495.52;-Infinity;3999.51;3999.51
4092.8;1;4015.74;74.6;-Infinity;4015.74;4015.74
4103.1;0;4031.5;310.4;-Infinity;4031.5;4031.50
4113.34;0;4043.55;381.44;-Infinity;4043.55;4043.55
4128.5;0;4056.49;285.2;-Infinity;4056.49;4056.49
4133.33;1;4064.47;486.64;-Infinity;4064.47;4064.47
4140.12;0;4068.78;357.85;-Infinity;4068.78;4068.78
4177.39;0;4103.95;274;-Infinity;4103.95;4103.95
4203.79;1;4132.88;425.18;-Infinity;4132.88;4132.88
4222.56;0;4144.9;155.46;-Infinity;4144.9;4144.90
4223.47;1;4149.54;297.03;-Infinity;4149.54;4149.54
4232.65;0;4158.65;258.83;-Infinity;4158.65;4158.65
4234.22;1;4154.56;100.85;-Infinity;4154.56;4154.56
4283.19;0;4204.07;169.7;-Infinity;4204.07;4204.07
4284.64;1;4212.59;417.37;-Infinity;4212.59;4212.59
4315.07;1;4236.68;221.86;-Infinity;4236.68;4236.68
4335.38;1;4253.68;111.5;-Infinity;4253.68;4253.68
4351.31;0;4285.4;890.26;-Infinity;4285.4;4285.40
4355.57;1;4289.09;870.81;-Infinity;4289.09;4289.09
4376;1;4307.81;749.73;-Infinity;4307.81;4307.81
4406.72;1;4321.2;122;-Infinity;4321.2;4321.20
4447.03;1;4361.23;91.19;-Infinity;4361.23;4361.23
4504.35;0;4423.49;281.68;-Infinity;4423.49;4423.49
4547.06;1;4482.35;1100.71;-Infinity;4482.35;4482.35
4564.71;0;4484.39;387.11;-Infinity;4484.39;4484.39
4574.75;0;4495.15;446.21;-Infinity;4495.15;4495.15
4595.17;0;4517.93;548.48;-Infinity;4517.93;4517.93
4607.55;1;4545.23;1201.32;-Infinity;4545.23;4545.23
4617.8;1;4545.05;740.24;-Infinity;4545.05;4545.05
4625.28;0;4557.97;1113.72;-Infinity;4557.97;4557.97
4630.09;1;4549.71;426.26;-Infinity;4549.71;4549.71
4655.53;0;4569.86;304.08;-Infinity;4569.86;4569.86
4662.07;1;4576.55;346.93;-Infinity;4576.55;4576.55
4665.77;0;4576.96;100.69;-Infinity;4576.96;4576.96
4692.34;1;4605.08;245.26;-Infinity;4605.08;4605.08
4706.02;1;4616.35;98.22;-Infinity;4616.35;4616.35
4720.84;0;4636.52;437.46;-Infinity;4636.52;4636.52
4766.23;1;4692.27;829.52;-Infinity;4692.27;4692.27
4776.55;1;4689.94;369.79;-Infinity;4689.94;4689.94
4786.54;1;4700.93;451.12;-Infinity;4700.93;4700.93
4803.65;0;4715.98;298.98;-Infinity;4715.98;4715.98
4833.94;0;4761.95;1031.08;-Infinity;4761.95;4761.95
4844.16;0;4764.2;703.99;-Infinity;4764.2;4764.20
4851.15;1;4759.33;188.66;-Infinity;4759.33;4759.33
4911.56;1;4817.48;145.29;-Infinity;4817.48;4817.48
4921.74;1;4830.16;291.36;-Infinity;4830.16;4830.16
4958.83;0;4883.19;964.95;-Infinity;4883.19;4883.19
4978.65;0;4889.64;403.52;-Infinity;4889.64;4889.64
5018.96;0;4925.18;297.72;-Infinity;4925.18;4925.18
5029.27;0;4937.58;373.66;-Infinity;4937.58;4937.58
5043.51;1;4949.79;337.41;-Infinity;4949.79;4949.79
5059.38;0;4969;434.06;-Infinity;4969;4969.00
5113.51;1;5017.03;201.88;-Infinity;5017.03;5017.03
5123.37;1;5033.67;505.28;-Infinity;5033.67;5033.67
5133.82;1;5038.72;347.07;-Infinity;5038.72;5038.72
5161.9;0;5061.39;102.45;-Infinity;5061.39;5061.39
5164.28;1;5066.78;242.49;-Infinity;5066.78;5066.78
5197.17;0;5102.05;393.3;-Infinity;5102.05;5102.05
5214.6;1;5120.99;522.01;-Infinity;5120.99;5120.99
5254.91;1;5169.09;878.64;-Infinity;5169.09;5169.09
5265.35;1;5171.09;488.65;-Infinity;5171.09;5171.09
5275.34;1;5192.05;1041.04;-Infinity;5192.05;5192.05
5285.41;1;5184.89;171.81;-Infinity;5184.89;5184.89
5305.76;1;5205.71;262.21;-Infinity;5205.71;5205.71
5309.79;0;5220.14;714.57;-Infinity;5220.14;5220.14
5361.37;0;5265.06;517.17;-Infinity;5265.06;5265.06
5366.05;1;5264.43;232.08;-Infinity;5264.43;5264.43
5376.3;1;5272.79;161.5;-Infinity;5272.79;5272.79
5391.56;0;5288.17;194.19;-Infinity;5288.17;5288.17
5406.59;1;5301.8;121.11;-Infinity;5301.8;5301.80
5411.76;0;5333.03;1308.42;-Infinity;5333.03;5333.03
5432.22;0;5336.18;598.09;-Infinity;5336.18;5336.18
5444.47;0;5342.84;282.49;-Infinity;5342.84;5342.84
5468.94;1;5425.25;2857.75;-Infinity;5425.25;5425.25
5519.27;1;5414.69;243.83;-Infinity;5414.69;5414.69
5579.69;1;5476.16;324.72;-Infinity;5476.16;5476.16
5599.97;1;5498.84;476.33;-Infinity;5498.84;5498.84
5610.25;1;5502.7;243.93;-Infinity;5502.7;5502.70
5620.84;1;5510.1;151.78;-Infinity;5510.1;5510.10
5660.84;0;5563.32;701.95;-Infinity;5563.32;5563.32
5670.86;1;5559.34;70.85;-Infinity;5559.34;5559.34
5671.42;0;5573.17;692.48;-Infinity;5573.17;5573.17
5691.12;1;5594.76;839.93;-Infinity;5594.76;5594.76
5701.13;1;5591.17;294.34;-Infinity;5591.17;5591.17
5707.26;0;5613.97;1041.36;-Infinity;5613.97;5613.97
5781.79;1;5676.52;475.89;-Infinity;5676.52;5676.52
5792.25;0;5686.65;482.16;-Infinity;5686.65;5686.65
5822.55;0;5724.19;803.18;-Infinity;5724.19;5724.19
5826.32;1;5723.35;661.94;-Infinity;5723.35;5723.35
5852.67;0;5743.28;461.06;-Infinity;5743.28;5743.28
5860;1;5746.97;78.16;-Infinity;5746.97;5746.97
5862.85;0;5780.08;1629.89;-Infinity;5780.08;5780.08
5880.42;1;5768.02;189.15;-Infinity;5768.02;5768.02
5890.61;1;5778.97;280.18;-Infinity;5778.97;5778.97
5911.14;1;5800.21;391.66;-Infinity;5800.21;5800.21
5912.9;0;5797.25;90.19;-Infinity;5797.25;5797.25
5921.68;1;5817.21;656.28;-Infinity;5817.21;5817.21
5932.05;1;5843.95;1384.82;-Infinity;5843.95;5843.95
5952.34;1;5840.35;331.45;-Infinity;5840.35;5840.35
5962.35;1;5854.1;585.98;-Infinity;5854.1;5854.10
5993.4;0;5873.75;130.39;-Infinity;5873.75;5873.75
6047.05;1;5934.59;345.67;-Infinity;5934.59;5934.59
6061.03;0;5946.33;268.74;-Infinity;5946.33;5946.33
6091.01;0;5984.21;729.59;-Infinity;5984.21;5984.21
6141.26;0;6031.15;708.92;-Infinity;6031.15;6031.15
6165.75;1;6048.58;339.13;-Infinity;6048.58;6048.58
6171.59;0;6072.76;1142.18;-Infinity;6072.76;6072.76
6216.97;1;6098.58;356.93;-Infinity;6098.58;6098.58
6231.99;0;6119.22;524.53;-Infinity;6119.22;6119.22
6252.47;0;6129.64;258.91;-Infinity;6129.64;6129.64
6282.73;0;6172.04;837.9;-Infinity;6172.04;6172.04
6292.75;0;6175.32;439.99;-Infinity;6175.32;6175.32
6298.65;1;6187.48;718.83;-Infinity;6187.48;6187.48
6342.84;0;6218.92;251.51;-Infinity;6218.92;6218.92
6363.01;0;6252.96;950.99;-Infinity;6252.96;6252.96
6377.67;1;6257.59;497.21;-Infinity;6257.59;6257.59
6383.35;0;6255.27;100.39;-Infinity;6255.27;6255.27
6393.62;0;6267.79;221.94;-Infinity;6267.79;6267.79
6418;1;6305.75;746.78;-Infinity;6305.75;6305.75
6428.52;1;6302.74;262.45;-Infinity;6302.74;6302.74
6482.93;0;6370.53;811.28;-Infinity;6370.53;6370.53
6499.04;1;6376.62;536.43;-Infinity;6376.62;6376.62
6543.23;1;6422.02;652.35;-Infinity;6422.02;6422.02
6601.26;1;6467.93;172.63;-Infinity;6467.93;6467.93
6611.65;1;6485.42;394.59;-Infinity;6485.42;6485.42
6618.37;0;6487.9;255.17;-Infinity;6487.9;6487.90
6628.79;0;6507.22;715.74;-Infinity;6507.22;6507.22
6689.55;0;6577.49;1028.32;-Infinity;6577.49;6577.49
6693.96;1;6564.45;395.09;-Infinity;6564.45;6564.45
6700;0;6566.26;216.93;-Infinity;6566.26;6566.26
6713.72;0;6583.34;370.56;-Infinity;6583.34;6583.34
6753.73;1;6617.87;59.72;-Infinity;6617.87;6617.87
