#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.95;42;145;0;57.24;0;57.25;0;0.55
119.94;82;274;0;117.23;0;117.24;0;0.57
179.77;114;435;0;177.06;0;177.07;0;0.6
239.92;158;587;0;228.25;0;237.03;0;0.59
299.68;211;732;0;288;0;296.78;0;0.59
360;260;868;0;348.32;0;357.1;0;0.6
419.73;298;969;0;309.61;0;415.65;0;0.6
479.71;298;967;0;341.68;0;475.31;0;0.59
539.84;298;967;0;401.82;0;535.45;0;0.59
599.81;298;965;0;428.59;0;594.99;0;0.57
659.71;298;959;0;347.84;0;653.03;0;0.51
719.72;298;953;0;250.62;0;711.15;0;0.53
779.66;298;951;0;267.18;0;770.43;0;0.53
839.81;298;949;0;285.24;0;830.17;0;0.55
899.86;298;945;0;298.3;0;889.58;0;0.53
959.74;298;944;0;348.63;0;949.37;0;0.52
1019.86;298;941;0;364.61;0;1008.78;0;0.56
1079.69;298;939;0;374.34;0;1067.93;0;0.57
1140;298;936;0;362.97;0;1127.05;0;0.58
1199.7;298;932;0;282.73;0;1184.75;0;0.61
1259.75;298;929;0;292.16;0;1243.92;0;0.58
1319.8;298;927;0;320.62;0;1303.48;0;0.6
1379.85;298;925;0;342.78;0;1362.95;0;0.57
1439.96;298;919;0;291.32;0;1421.07;0;0.55
1499.96;298;918;0;335.34;0;1480.81;0;0.56
1559.78;298;915;0;326.55;0;1539.44;0;0.57
1619.97;298;910;0;298.76;0;1598.02;0;0.56
1679.97;298;905;0;254.77;0;1655.58;0;0.55
1739.68;298;902;0;281.13;0;1714.32;0;0.55
1799.93;298;900;0;274.98;0;1773.25;0;0.55
1859.9;298;899;0;320.59;0;1832.91;0;0.54
1919.72;298;894;0;326.23;0;1891.78;0;0.57
1979.72;298;892;0;345.57;0;1951.06;0;0.57
2039.61;298;887;0;308.01;0;2008.95;0;0.6
2099.76;298;885;0;353.42;0;2068.79;0;0.61
2159.98;298;884;0;404.24;0;2128.83;0;0.62
2219.64;298;881;0;392.48;0;2187.16;0;0.61
2279.95;298;876;0;350.24;0;2245.49;0;0.64
2339.65;298;872;0;306.79;0;2303.21;0;0.66
2399.64;298;871;0;359.16;0;2363.07;0;0.65
2459.76;298;868;0;380.06;0;2422.72;0;0.64
2519.96;298;864;0;350.65;0;2481.6;0;0.64
2579.87;298;861;0;395.34;0;2541.27;0;0.64
2639.81;298;857;0;345.04;0;2599.54;0;0.61
2699.99;298;854;0;340.49;0;2658.45;0;0.63
2759.69;298;849;0;264.26;0;2715.45;0;0.63
2819.8;298;846;0;263.15;0;2774.18;0;0.63
2879.91;298;844;0;299.27;0;2833.62;0;0.63
2939.96;298;842;0;319.46;0;2892.64;0;0.62
2999.81;298;836;0;274.66;0;2950.09;0;0.62
3059.6;298;832;0;267.94;0;3008.01;0;0.64
3120;298;832;0;328.34;0;3068.41;0;0.64
3179.65;298;828;0;307.33;0;3125.98;0;0.63
3239.99;298;824;0;287.28;0;3184.07;0;0.64
3299.66;298;819;0;238.48;0;3240.73;0;0.64
3359.63;298;815;0;257.57;0;3299.34;0;0.63
3419.88;298;813;0;249.36;0;3357.92;0;0.64
3479.93;298;811;0;300.58;0;3417.79;0;0.65
3539.96;298;809;0;324.95;0;3476.89;0;0.63
3599.95;298;804;0;318.2;0;3535.39;0;0.59
3659.97;298;804;0;378.22;0;3595.41;0;0.59
