#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;39.54;0.09;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.94;41.61;0.43;PP/0.07,TA/0.03,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
119.7;42.38;0.56;PP/0.08,TA/0.03,IS/0.05,PS/0,RB/0.01,OB/0.03,RP/0
179.78;42.79;0.68;PP/0.09,TA/0.03,IS/0.09,PS/0,RB/0.01,OB/0.06,RP/0
239.88;43.24;0.83;PP/0.1,TA/0.03,IS/0.17,PS/0,RB/0.01,OB/0.09,RP/0
299.68;43.47;1.06;PP/0.1,TA/0.03,IS/0.3,PS/0,RB/0.01,OB/0.13,RP/0
360;43.65;1.3;PP/0.11,TA/0.03,IS/0.44,PS/0,RB/0.01,OB/0.17,RP/0
419.95;43.84;1.53;PP/0.12,TA/0.03,IS/0.6,PS/0,RB/0.01,OB/0.22,RP/0
479.98;43.84;1.61;PP/0.13,TA/0.03,IS/0.63,PS/0,RB/0.01,OB/0.22,RP/0
539.95;43.96;1.68;PP/0.13,TA/0.03,IS/0.66,PS/0,RB/0.01,OB/0.22,RP/0
599.97;43.96;1.74;PP/0.13,TA/0.03,IS/0.7,PS/0,RB/0.01,OB/0.22,RP/0
659.87;42.88;1.82;PP/0.14,TA/0.03,IS/0.74,PS/0,RB/0.01,OB/0.22,RP/0
719.97;42.89;1.89;PP/0.14,TA/0.03,IS/0.77,PS/0,RB/0.01,OB/0.22,RP/0
779.93;42.89;1.97;PP/0.15,TA/0.03,IS/0.8,PS/0,RB/0.01,OB/0.22,RP/0
839.91;43.11;2.07;PP/0.16,TA/0.03,IS/0.84,PS/0,RB/0.01,OB/0.23,RP/0
899.78;43.3;2.14;PP/0.17,TA/0.03,IS/0.88,PS/0,RB/0.01,OB/0.23,RP/0
959.89;43.47;2.22;PP/0.18,TA/0.03,IS/0.91,PS/0,RB/0.01,OB/0.24,RP/0
1019.7;43.47;2.3;PP/0.19,TA/0.03,IS/0.95,PS/0,RB/0.01,OB/0.24,RP/0
1079.76;43.68;2.38;PP/0.2,TA/0.03,IS/0.99,PS/0,RB/0.01,OB/0.24,RP/0
1139.7;43.04;2.47;PP/0.22,TA/0.03,IS/1.03,PS/0,RB/0.01,OB/0.25,RP/0
1199.8;43.04;2.53;PP/0.22,TA/0.04,IS/1.06,PS/0,RB/0.01,OB/0.25,RP/0
1259.85;43.05;2.61;PP/0.23,TA/0.04,IS/1.1,PS/0,RB/0.01,OB/0.25,RP/0
1319.77;43.28;2.71;PP/0.25,TA/0.04,IS/1.13,PS/0,RB/0.01,OB/0.25,RP/0
1379.94;43.42;2.8;PP/0.27,TA/0.04,IS/1.17,PS/0,RB/0.01,OB/0.25,RP/0
1439.94;43.23;2.88;PP/0.28,TA/0.04,IS/1.21,PS/0,RB/0.01,OB/0.26,RP/0
1499.98;43.23;2.95;PP/0.29,TA/0.04,IS/1.25,PS/0,RB/0.01,OB/0.26,RP/0
1559.9;43.23;3.03;PP/0.29,TA/0.04,IS/1.28,PS/0,RB/0.01,OB/0.27,RP/0
1619.77;43.42;3.11;PP/0.3,TA/0.04,IS/1.31,PS/0,RB/0.01,OB/0.27,RP/0
1679.74;43.42;3.15;PP/0.3,TA/0.04,IS/1.34,PS/0,RB/0.01,OB/0.27,RP/0
1739.68;43.55;3.2;PP/0.31,TA/0.04,IS/1.36,PS/0,RB/0.01,OB/0.27,RP/0
1799.78;43.55;3.26;PP/0.31,TA/0.04,IS/1.39,PS/0,RB/0.01,OB/0.28,RP/0
1859.98;43.71;3.32;PP/0.32,TA/0.04,IS/1.43,PS/0,RB/0.01,OB/0.28,RP/0
1919.69;43.71;3.4;PP/0.32,TA/0.04,IS/1.46,PS/0,RB/0.01,OB/0.28,RP/0
1979.9;43.87;3.48;PP/0.33,TA/0.04,IS/1.5,PS/0,RB/0.01,OB/0.28,RP/0
