#TimeStamp;DistanceTraveled
59.72;253.05
119.85;335.67
179.99;198.6
239.81;315.83
299.84;274.77
359.82;295.97
419.85;332.33
479.68;264.88
539.65;257.58
599.86;262.24
659.84;235.07
719.7;273.49
779.71;262.77
839.95;297.02
899.65;208.74
959.66;277.79
1019.92;275.72
1079.73;249.32
1139.7;260.38
1199.64;268.08
1259.89;278.9
1319.85;260.74
1379.76;322.99
1439.7;270.9
1499.94;256.13
1559.67;243.14
1619.8;279.28
1679.85;258.15
1739.62;272.69
1799.63;268.35
1859.7;247.15
1919.97;279.35
1979.91;242.54
2039.71;305.26
2099.96;266.21
2159.81;289.26
2219.78;302.41
2279.96;288.21
2339.66;263.93
2399.92;254.71
2459.97;298.08
2519.96;248.61
2579.66;287.39
2639.62;245.06
2699.67;278.91
2759.88;253.86
2819.73;266.73
2879.87;277.98
2939.94;252.51
2999.92;265.64
3059.86;272.53
3119.95;254.41
3179.99;263.38
3239.85;244.11
3299.96;244.3
3359.77;276.5
3419.71;263.22
3479.77;297.73
3539.73;220.37
3599.68;276.72
3659.85;295.66
3719.98;295.49
3779.62;263.5
3839.97;257.01
3899.69;279.06
3959.98;260.04
4019.71;238.14
4079.94;278.93
4139.74;267.84
4200;287.02
4259.81;291.16
4319.86;237.9
4379.73;278.15
4439.85;309.29
4499.77;250.72
4559.81;276.82
4619.98;233.55
4679.97;253.78
4739.66;250.15
4799.83;286.46
4859.67;247.89
4919.95;254.73
4979.81;244.63
5039.81;290.44
5099.73;244.94
5159.8;252.33
5219.82;280.9
5279.66;263.25
5339.97;259.51
5399.98;265.63
5459.74;281.45
5519.7;253.77
5579.84;262.44
5639.88;265.64
5699.89;270.4
5759.98;248.77
5819.8;256.04
5879.9;266.74
5939.91;270.86
5999.64;257.94
6059.86;234.36
6119.96;252.34
6179.7;281.49
6239.79;261.18
6299.81;240.89
6359.63;243.29
6419.83;246.9
6479.7;255.09
6539.7;303.22
6599.97;296.17
6659.81;260.93
6719.87;272.69
6779.69;272.75
6839.77;257.98
6899.94;287.91
6959.77;269.62
7019.72;263.34
7079.68;281.97
7139.96;287.42
7199.97;280.83
