#TimeStamp;Runtime;Requests
0.88;0.03;12
2.93;0;2
4.02;0;1
5.05;0;5
6.14;0;2
7.43;0;2
9.52;0;1
10.85;0;1
12.98;0;1
13.98;0;2
14.98;0;3
16.02;0;3
17.07;0;3
18.11;0;3
19.2;0;3
20.25;0;1
21.45;0;1
22.83;0;1
24.24;0;3
25.33;0;2
26.58;0;2
27.67;0;1
29.04;0;2
30.15;0;1
31.26;0;2
32.44;0;1
33.62;0;2
35.07;0;1
36.07;0;4
37.11;0;3
38.16;0;2
39.2;0;1
40.25;0;3
41.29;0;1
42.34;0;3
43.36;0;2
44.36;0;3
45.41;0;3
46.5;0;2
47.54;0;1
48.56;0;3
49.57;0;3
50.82;0;2
52.21;0;1
53.29;0;1
54.38;0;2
56.08;0;1
57.13;0;3
58.17;0;2
59.53;0;1
60.62;0;2
62;0;4
63;0;2
64;0;1
65.09;0;2
66.12;0;2
67.76;0;1
68.76;0;2
69.79;0;2
70.88;0;1
72.17;0;2
73.34;0;2
74.63;0;1
75.77;0;1
77.1;0;1
78.3;0;1
79.38;0;2
80.39;0;4
81.39;0;1
82.44;0;2
83.48;0;3
84.49;0;2
85.54;0;3
86.58;0;1
87.63;0;2
88.63;0;3
89.67;0;1
90.67;0;4
91.71;0;1
92.8;0;1
94.13;0;4
95.13;0;3
96.97;0;1
98.22;0;3
99.51;0;1
100.68;0;4
101.72;0;2
102.8;0;1
103.89;0;2
105.22;0;1
107.59;0;1
108.8;0;1
109.83;0;1
110.84;0;3
112.5;0;1
113.8;0;2
114.97;0;1
116.22;0;3
117.22;0;2
118.43;0;1
119.73;0;3
120.73;0;4
121.74;0;2
123.05;0;1
124.19;0;1
126.58;0;1
127.79;0;2
128.92;0;1
130.02;0;3
131.08;0;1
132.19;0;3
133.37;0;4
134.54;0;1
135.69;0;1
137.19;0;1
139.51;0;1
140.52;0;1
141.54;0;3
142.64;0;2
143.73;0;1
145.11;0;2
147.11;0;1
148.2;0;1
149.58;0;1
150.66;0;2
152.2;0;1
153.29;0;1
154.38;0;2
155.5;0;1
156.62;0;2
157.83;0;2
159.01;0;2
160.24;0;2
161.25;0;2
162.38;0;3
163.38;0;1
164.73;0;4
166.1;0;2
167.1;0;2
168.65;0;1
169.98;0;2
170.98;0;2
172;0;3
173.05;0;2
174.09;0;1
175.09;0;2
176.14;0;3
177.17;0;1
178.19;0;1
179.23;0;1
180.42;0;3
181.64;0;2
183.64;0;1
184.89;0;3
186.48;0;1
187.61;0;2
189.06;0;1
190.15;0;1
191.73;0;1
192.87;0;1
193.87;0;1
195.27;0;1
196.45;0;1
197.69;0;2
199.12;0;1
200.73;0;1
201.86;0;2
203.11;0;1
204.48;0;3
205.51;0;2
206.53;0;3
207.53;0;2
209.01;0;1
210.15;0;1
211.4;0;3
212.4;0;1
213.44;0;2
214.49;0;1
215.53;0;4
216.58;0;4
217.62;0;3
218.67;0;2
219.71;0;3
220.76;0;1
221.76;0;3
222.84;0;2
224.08;0;2
225.35;0;1
226.44;0;1
227.47;0;1
228.62;0;2
229.71;0;1
231.02;0;1
232.21;0;2
233.25;0;3
234.25;0;2
235.34;0;1
