#TimeStamp;DistanceTraveled
59.93;676.27
119.98;698.24
179.8;791.29
239.87;646.19
299.99;608.28
359.91;703.3
419.98;692.8
479.96;640.18
539.77;669.01
599.94;610.76
659.72;639.54
719.84;599.86
779.8;565.34
839.85;638.65
899.81;639.71
959.97;623.66
1019.65;625.84
1079.99;595.81
1139.82;595.21
1199.89;586.73
1259.98;642.53
1319.75;572.35
1379.6;609.57
1439.59;627.19
1499.96;636.49
1559.94;570.79
1619.87;617.05
1679.98;622.29
1739.97;646.77
1799.98;587.34
1859.81;588.76
1919.99;614.35
1979.95;614.37
2039.91;605.31
2100;592.67
2159.88;612.59
2219.96;586.25
2279.85;608.19
2339.91;613.1
2399.77;570
2459.99;603.8
2519.8;570.82
2579.81;626.48
2639.85;591.29
2699.88;659.7
2759.77;573.02
2819.68;658.29
2879.92;619.91
2939.78;631.92
2999.98;584
3059.97;614.07
3119.86;599.6
3179.96;633.09
3239.97;660.72
3299.99;617.07
3359.98;617.03
3419.71;621.51
3479.97;590.25
3539.78;640.84
3599.9;619.43
3659.99;604.72
3719.87;594.63
3779.9;631.27
3839.98;566.73
3899.95;609.31
3959.99;625.71
4019.81;582.29
4079.88;624.99
4139.97;559.92
4199.76;618.34
4259.99;575.44
4319.94;642.44
4379.93;623.97
4439.97;604.88
4499.9;641.97
4559.99;604.62
4619.99;612.6
4679.97;600.48
4740;544.11
4799.69;579.89
4859.89;576.12
4919.98;628.52
4979.88;659.74
5039.95;617.59
5099.98;676.97
5159.96;589.7
5219.97;634.7
5279.6;657.02
5339.94;591.2
5399.97;607.74
5459.92;623.39
5519.97;656.34
5579.88;642.05
5639.92;597.89
5699.73;598.46
5759.93;617.18
5819.98;602.87
5879.62;656.8
5939.75;607.93
5999.96;628.75
6059.94;589.51
6119.72;647.55
6179.68;552.28
6239.98;574.69
6299.95;593.93
6359.96;632.38
6419.96;586.21
6479.99;596.37
6539.91;651.76
6599.66;635.7
6659.99;558.08
6719.73;603.31
6779.93;634.2
6839.97;628.73
6899.96;637.85
6959.95;633.76
7019.78;583
7079.73;548.56
7139.96;611.99
7199.95;632.36
