#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.89;1;18;0;0;0;0;0;0;0;0;0
1199.98;1;18;0;0;0;0;0;0;0;0;0
1799.97;1;18;0;0;0;0;0;0;0;0;0
2399.95;1;18;0;0;0;0;0;0;0;0;0
2999.69;1;18;0;0;0;0;0;0;0;0;0
3599.95;1;18;0;0;0;0;0;0;0;0;0
4199.75;1;18;0;0;0;0;0;0;0;0;0
4799.97;1;18;0;0;0;0;0;0;0;0;0
5399.96;1;18;0;0;0;0;0;0;0;0;0
5999.6;1;18;0;0;0;0;0;0;0;0;0
6599.77;1;18;0;0;0;0;0;0;0;0;0
7199.97;1;18;0;0;0;0;0;0;0;0;0
