#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.97;0;0;0;27.52;0;27.52;0;1
119.86;0;0;0;48.95;0;48.95;0;0.63
179.93;0;0;0;62.32;0;62.32;0;0.71
239.89;0;0;0;114.05;0;114.06;0;0.75
299.92;1;0;0;20.2;0;20.22;0;0.72
359.9;1;0;0;80.18;0;80.2;0;0.72
419.91;2;0;0;0;0;0;0;0
479.84;2;0;0;0;0;0;0;0
539.97;2;0;0;0;0;0;0;0
599.64;2;0;0;0;0;0;0;0
659.87;2;0;0;0;0;0;0;0
719.93;2;0;0;0;0;0;0;0
779.97;2;0;0;0;0;0;0;0
839.97;2;0;0;0;0;0;0;0
899.84;2;0;0;0;0;0;0;0
959.8;2;0;0;0;0;0;0;0
1019.94;2;0;0;0;0;0;0;0
1079.98;2;0;0;0;0;0;0;0
1139.69;2;0;0;0;0;0;0;0
1199.89;2;0;0;0;0;0;0;0
1259.97;2;0;0;0;0;0;0;0
1319.88;2;0;0;0;0;0;0;0
1379.98;2;0;0;0;0;0;0;0
1439.69;2;0;0;0;0;0;0;0
1499.91;2;0;0;0;0;0;0;0
1560;2;0;0;0;0;0;0;0
1619.6;2;0;0;0;0;0;0;0
1679.98;2;0;0;0;0;0;0;0
1739.74;2;0;0;0;0;0;0;0
1799.86;2;0;0;0;0;0;0;0
1859.91;2;0;0;0;0;0;0;0
1919.74;2;0;0;0;0;0;0;0
1979.81;2;0;0;0;0;0;0;0
2039.96;2;0;0;0;0;0;0;0
2099.88;2;0;0;0;0;0;0;0
2159.92;2;0;0;0;0;0;0;0
2219.97;2;0;0;0;0;0;0;0
2279.88;2;0;0;0;0;0;0;0
2339.99;2;0;0;0;0;0;0;0
2399.86;2;0;0;0;0;0;0;0
2459.94;2;0;0;0;0;0;0;0
2519.85;2;0;0;0;0;0;0;0
2579.98;2;0;0;0;0;0;0;0
2639.92;2;0;0;0;0;0;0;0
2699.98;2;0;0;0;0;0;0;0
2759.81;2;0;0;0;0;0;0;0
2819.97;2;0;0;0;0;0;0;0
2879.77;2;0;0;0;0;0;0;0
2939.9;2;0;0;0;0;0;0;0
2999.65;2;0;0;0;0;0;0;0
3059.85;2;0;0;0;0;0;0;0
3119.81;2;0;0;0;0;0;0;0
3179.87;2;0;0;0;0;0;0;0
3239.99;2;0;0;0;0;0;0;0
3299.84;2;0;0;0;0;0;0;0
3359.95;2;0;0;0;0;0;0;0
3419.95;2;0;0;0;0;0;0;0
3479.96;2;0;0;0;0;0;0;0
3539.74;2;0;0;0;0;0;0;0
3599.96;2;0;0;0;0;0;0;0
3659.95;2;0;0;0;0;0;0;0
3719.83;2;0;0;0;0;0;0;0
3779.67;2;0;0;0;0;0;0;0
3839.8;2;0;0;0;0;0;0;0
3899.79;2;0;0;0;0;0;0;0
3959.85;2;0;0;0;0;0;0;0
4019.94;2;0;0;0;0;0;0;0
4079.9;2;0;0;0;0;0;0;0
4139.91;2;0;0;0;0;0;0;0
4199.99;2;0;0;0;0;0;0;0
4259.99;2;0;0;0;0;0;0;0
4320;2;0;0;0;0;0;0;0
4379.97;2;0;0;0;0;0;0;0
4439.9;2;0;0;0;0;0;0;0
4500;2;0;0;0;0;0;0;0
4559.83;2;0;0;0;0;0;0;0
4620;2;0;0;0;0;0;0;0
4679.84;2;0;0;0;0;0;0;0
4739.88;2;0;0;0;0;0;0;0
4799.99;2;0;0;0;0;0;0;0
4859.98;2;0;0;0;0;0;0;0
4919.94;2;0;0;0;0;0;0;0
4980;2;0;0;0;0;0;0;0
5039.88;2;0;0;0;0;0;0;0
5099.8;2;0;0;0;0;0;0;0
5159.82;2;0;0;0;0;0;0;0
5219.79;2;0;0;0;0;0;0;0
5279.98;2;0;0;0;0;0;0;0
5339.84;2;0;0;0;0;0;0;0
5399.77;2;0;0;0;0;0;0;0
5459.87;2;0;0;0;0;0;0;0
5519.84;2;0;0;0;0;0;0;0
5579.98;2;0;0;0;0;0;0;0
5639.93;2;0;0;0;0;0;0;0
5699.98;2;0;0;0;0;0;0;0
5759.78;2;0;0;0;0;0;0;0
5819.99;2;0;0;0;0;0;0;0
5879.8;2;0;0;0;0;0;0;0
5939.68;2;0;0;0;0;0;0;0
5999.98;2;0;0;0;0;0;0;0
6059.83;2;0;0;0;0;0;0;0
6119.97;2;0;0;0;0;0;0;0
6179.61;2;0;0;0;0;0;0;0
6239.97;2;0;0;0;0;0;0;0
6299.95;2;0;0;0;0;0;0;0
6359.91;2;0;0;0;0;0;0;0
6419.93;2;0;0;0;0;0;0;0
6479.86;2;0;0;0;0;0;0;0
6539.89;2;0;0;0;0;0;0;0
6599.95;2;0;0;0;0;0;0;0
6659.94;2;0;0;0;0;0;0;0
6719.96;2;0;0;0;0;0;0;0
6779.98;2;0;0;0;0;0;0;0
6839.83;2;0;0;0;0;0;0;0
6899.99;2;0;0;0;0;0;0;0
6959.97;2;0;0;0;0;0;0;0
7019.99;2;0;0;0;0;0;0;0
7079.79;2;0;0;0;0;0;0;0
7139.96;2;0;0;0;0;0;0;0
7199.84;2;0;0;0;0;0;0;0
