#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.69;0;0;0;2;0/59.69;0/59.69,1/59.69;0/0;0/59.69,1/59.69;0/0;0/19,1/10;0/0;0/22,1/13;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.94;0;3;0;2;0/119.94;0/86.06,1/68.1;0/0;0/119.94,1/119.94;0/0;0/25,1/19;0/0;0/28,1/20;0/0;0/0,1/0;0/0;0/1,1/2;0/0;0/4,1/6
179.87;0;6;0;2;0/179.87;0/87.17,1/70.07;0/0;0/179.87,1/179.87;0/0;0/32,1/22;0/0;0/35,1/24;0/0;0/0,1/0;0/0;0/3,1/3;0/0;0/10,1/12
239.6;0;10;0;2;0/239.6;0/88.41,1/72.97;0/0;0/239.6,1/239.6;0/0;0/28,1/25;0/0;0/32,1/26;0/0;0/0,1/0;0/0;0/4,1/6;0/0;0/16,1/17
299.99;0;16;0;2;0/299.99;0/89.45,1/113.48;0/0;0/299.99,1/299.99;0/0;0/23,1/21;0/0;0/26,1/24;0/0;0/0,1/0;0/0;0/8,1/8;0/0;0/22,1/19
359.93;0;24;0;2;0/359.93;0/91.16,1/124.73;0/0;0/359.93,1/359.93;0/0;0/19,1/21;0/0;0/23,1/22;0/0;0/0,1/0;0/0;0/12,1/12;0/0;0/28,1/25
419.96;0;27;0;2;0/419.96;0/92.8,1/126.69;0/0;0/419.96,1/419.96;0/0;0/20,1/22;0/0;0/24,1/23;0/0;0/0,1/0;0/0;0/13,1/14;0/0;0/34,1/30
479.96;0;29;0;2;0/479.96;0/94.45,1/176.75;0/0;0/479.96,1/479.96;0/0;0/15,1/25;0/0;0/18,1/26;0/0;0/0,1/0;0/0;0/15,1/14;0/0;0/40,1/31
539.75;0;35;0;2;0/539.75;0/97.04,1/207.48;0/0;0/539.75,1/539.75;0/0;0/27,1/21;0/0;0/30,1/23;0/0;0/0,1/0;0/0;0/18,1/17;0/0;0/46,1/34
599.65;0;38;0;2;0/599.65;0/98.61,1/217.66;0/0;0/599.65,1/599.65;0/0;0/30,1/24;0/0;0/33,1/25;0/0;0/0,1/0;0/0;0/20,1/18;0/0;0/52,1/39
659.85;0;44;0;2;0/659.85;0/99.78,1/247.51;0/0;0/659.85,1/659.85;0/0;0/29,1/19;0/0;0/31,1/21;0/0;0/0,1/0;0/0;0/24,1/20;0/0;0/58,1/43
719.77;0;51;0;2;0/719.77;0/117.82,1/248.97;0/0;0/719.77,1/719.77;0/0;0/26,1/17;0/0;0/27,1/19;0/0;0/0,1/0;0/0;0/28,1/23;0/0;0/62,1/49
779.96;0;57;0;2;0/779.96;0/127.65,1/250.52;0/0;0/779.96,1/779.96;0/0;0/21,1/18;0/0;0/22,1/23;0/0;0/0,1/0;0/0;0/31,1/26;0/0;0/67,1/54
839.78;0;61;0;2;0/839.78;0/161.9,1/252.35;0/0;0/839.78,1/839.78;0/0;0/22,1/15;0/0;0/23,1/20;0/0;0/0,1/0;0/0;0/33,1/28;0/0;0/69,1/60
899.89;0;67;0;2;0/899.89;0/172.13,1/253.42;0/0;0/899.89,1/899.89;0/0;0/22,1/14;0/0;0/23,1/18;0/0;0/0,1/0;0/0;0/36,1/31;0/0;0/75,1/66
959.95;0;71;0;2;0/959.95;0/174.63,1/255.18;0/0;0/959.95,1/959.95;0/0;0/16,1/8;0/0;0/17,1/12;0/0;0/0,1/0;0/0;0/38,1/33;0/0;0/81,1/72
1019.98;0;77;0;2;0/1019.98;0/175.55,1/256.71;0/0;0/1019.98,1/1019.98;0/0;0/7,1/6;0/0;0/12,1/6;0/0;0/0,1/0;0/0;0/40,1/37;0/0;0/86,1/78
1079.81;0;80;0;2;0/1079.81;0/177.06,1/314.69;0/0;0/1079.81,1/1079.81;0/0;0/3,1/6;0/0;0/6,1/6;0/0;0/0,1/0;0/0;0/43,1/37;0/0;0/92,1/78
1139.96;0;83;0;2;0/1139.96;0/206.49,1/365.12;0/0;0/1139.96,1/1139.96;0/0;0/0,1/4;0/0;0/3,1/5;0/0;0/0,1/0;0/0;0/45,1/38;0/0;0/95,1/79
1199.88;0;88;0;2;0/1199.88;0/237.04,1/405.37;0/0;0/1199.88,1/1199.88;0/0;0/0,1/0;0/0;0/0,1/3;0/0;0/0,1/0;0/0;0/48,1/40;0/0;0/98,1/81
1259.96;0;91;0;2;0/1259.96;0/297.12,1/435.95;0/0;0/1259.96,1/1259.96;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1319.68;0;91;0;2;0/1319.68;0/356.83,1/495.67;0/0;0/1319.68,1/1319.68;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1379.97;0;91;0;2;0/1379.97;0/417.13,1/555.97;0/0;0/1379.97,1/1379.97;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1439.94;0;91;0;2;0/1439.94;0/477.1,1/615.93;0/0;0/1439.94,1/1439.94;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1499.94;0;91;0;2;0/1499.94;0/537.1,1/675.93;0/0;0/1499.94,1/1499.94;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1559.72;0;91;0;2;0/1559.72;0/596.88,1/735.71;0/0;0/1559.72,1/1559.72;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1619.77;0;91;0;2;0/1619.77;0/656.93,1/795.76;0/0;0/1619.77,1/1619.77;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1679.67;0;91;0;2;0/1679.67;0/716.82,1/855.66;0/0;0/1679.67,1/1679.67;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
1739.95;0;91;0;2;0/1739.95;0/777.11,1/915.94;0/0;0/1739.95,1/1739.95;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/48,1/43;0/0;0/98,1/84
