#TimeStamp;Bot;Pod;OutputStation
62.35;4;34;1
72.21;4;34;1
77.83;1;324;0
82.4;4;34;1
92.48;3;153;1
102.48;5;23;1
106.53;4;34;0
112.53;5;23;1
116.49;4;34;0
122.94;0;217;1
126.71;2;252;0
132.72;0;217;1
136.8;3;153;0
142.85;0;217;1
146.45;5;23;0
152.94;4;34;1
162.94;4;34;1
170.17;0;217;0
172.8;4;34;1
182.98;4;34;1
192.95;4;34;1
203.08;2;252;1
213.02;2;252;1
216.95;4;34;0
223.03;1;324;1
232.94;1;324;1
238.19;2;252;0
243.02;3;153;1
253.12;3;153;1
259.58;1;324;0
263.34;5;23;1
273.4;0;217;1
283.44;4;34;1
287.5;5;23;0
293.47;4;34;1
297.55;0;217;0
303.47;4;34;1
313.55;2;252;1
323.85;1;324;1
333.24;4;34;0
333.57;5;23;1
342.94;2;252;0
343.72;5;23;1
353.28;1;324;0
353.79;0;217;1
363.27;1;324;0
363.62;4;34;1
373.33;3;156;0
373.78;2;252;1
383.52;3;156;0
388.14;1;324;1
393.21;3;156;0
397.84;1;324;1
403.55;3;156;0
413.56;5;23;0
423.47;4;34;0
426.03;3;156;1
433.57;2;252;0
438.66;5;23;1
443.28;2;252;0
448.66;5;23;1
453.45;2;252;0
458.95;0;130;1
463.62;2;252;0
468.99;0;130;1
473.55;3;156;0
478.99;4;34;1
483.66;5;23;0
489.26;4;34;1
498.42;0;130;0
499.41;4;34;1
509.46;4;34;1
519.46;2;252;1
529.83;3;156;1
533.73;4;34;0
539.65;3;156;1
545.33;2;252;0
549.51;1;283;1
559.78;0;130;1
569.25;3;156;0
569.78;0;130;1
579.2;1;283;0
579.88;5;23;1
589.83;5;23;1
594.23;0;130;0
599.93;2;252;1
609.87;2;252;1
613.04;5;23;0
619.99;2;252;1
630.03;2;252;1
640.42;3;156;1
650.43;4;34;1
654.19;2;252;0
660.2;4;34;1
664.15;2;252;0
670.48;4;34;1
674.36;3;156;0
680.9;4;34;1
691.15;4;34;1
701.26;4;34;1
711.09;4;34;1
721.28;4;34;1
730.99;4;34;1
741.26;4;34;1
751.15;1;283;1
761.35;5;23;1
771.36;2;252;1
773.95;1;283;0
781.17;2;252;1
784;1;283;0
791.21;2;252;1
794.04;1;283;0
801.26;3;156;1
804.11;5;23;0
811.02;3;156;1
818.33;4;208;0
821.3;3;156;1
828.75;4;208;0
831.25;0;163;1
839.17;4;208;0
841.05;1;283;1
849.51;2;252;0
851.26;5;23;1
859.5;3;156;0
861.13;5;23;1
869.5;3;156;0
875.24;4;208;1
879.56;0;163;0
885.47;4;208;1
889.56;0;163;0
895.89;4;208;1
899.6;1;283;0
905.93;4;208;1
915.61;3;156;1
925.98;3;156;1
936.2;3;156;1
937.38;4;208;0
947.55;4;208;0
949.27;5;224;1
961.72;3;156;0
967.63;2;23;1
971.94;3;156;0
977.61;4;208;1
981.68;3;156;0
989.82;0;321;1
991.82;3;156;0
1001.97;5;224;0
1011.94;1;135;0
1015.19;3;156;1
1021.99;1;135;0
1025.6;5;224;1
1032.01;1;135;0
1035.68;5;224;1
1042.06;1;135;0
1046.1;5;224;1
1052.18;1;135;0
1056.41;5;224;1
1062.48;2;23;0
1072.9;4;208;0
1082.75;4;208;0
1085.82;2;23;1
1092.94;0;321;0
1095.83;2;23;1
1103.18;0;321;0
1107.09;4;208;1
1112.89;0;321;0
1122.94;0;321;0
1133.06;0;321;0
1143.08;3;156;0
1153.3;5;224;0
1163.35;4;208;0
1166.52;3;156;1
1173.47;1;214;0
1176.76;3;156;1
1183.52;1;214;0
1186.98;3;156;1
1193.94;1;214;0
1197.21;5;224;1
1203.89;1;214;0
1214.16;2;62;0
1241.84;4;46;1
1241.95;0;74;0
