#TimeStamp;TripTime;Type
68;30;O
73;33;O
77;35;O
85;39;O
85;34;O
93;46;O
100;49;O
105;43;O
106;33;O
112;53;O
121;26;O
126;41;O
126;15;O
133;26;O
143;17;O
156;15;O
177;16;O
200;38;O
203;17;O
203;22;O
211;19;O
221;15;O
232;15;O
234;23;O
245;18;O
256;20;O
260;18;O
267;15;O
279;18;O
286;14;O
295;14;O
305;14;O
312;15;O
331;19;O
331;15;O
345;34;O
369;17;O
373;27;O
396;14;O
427;14;O
435;25;O
443;20;O
451;18;O
452;15;O
461;14;O
482;15;O
492;15;O
495;14;O
502;15;O
514;14;O
524;14;O
525;27;O
532;21;O
545;14;O
556;28;O
563;13;O
584;14;O
604;13;O
613;15;O
615;14;O
623;14;O
632;14;O
656;17;O
656;14;O
665;13;O
713;15;O
714;36;O
765;15;O
775;15;O
783;50;O
791;40;O
803;37;O
808;14;O
814;14;O
819;20;O
827;14;O
830;20;O
846;16;O
855;16;O
866;13;O
869;18;O
877;17;O
887;17;O
897;17;O
907;16;O
912;29;O
917;17;O
918;15;O
928;14;O
939;15;O
950;16;O
956;12;O
978;14;O
988;14;O
1033;30;O
