#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;39.85;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.99;42.33;0.43;PP/0.07,TA/0.05,IS/0,PS/0,RB/0,OB/0.01,RP/0
120;43.76;0.56;PP/0.1,TA/0.05,IS/0,PS/0,RB/0,OB/0.01,RP/0
179.99;43.8;0.63;PP/0.1,TA/0.05,IS/0,PS/0,RB/0,OB/0.01,RP/0
239.78;43.8;0.73;PP/0.12,TA/0.05,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
299.8;43.85;0.85;PP/0.15,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
359.73;44.02;0.95;PP/0.17,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
419.99;44.02;1.03;PP/0.19,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
479.93;44.02;1.14;PP/0.23,TA/0.06,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
539.77;44.04;1.22;PP/0.26,TA/0.06,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
599.9;44.18;1.3;PP/0.28,TA/0.06,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
659.98;44.2;1.41;PP/0.31,TA/0.06,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
719.93;44.32;1.56;PP/0.35,TA/0.07,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
779.75;43.16;1.75;PP/0.4,TA/0.13,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
839.63;44.67;1.93;PP/0.44,TA/0.18,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
899.97;43.85;2.09;PP/0.48,TA/0.23,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
959.77;44.86;2.27;PP/0.52,TA/0.28,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1019.65;46.7;2.45;PP/0.57,TA/0.34,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1079.94;46.91;2.63;PP/0.63,TA/0.39,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1139.65;46.91;2.8;PP/0.67,TA/0.44,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1199.78;46.91;2.98;PP/0.72,TA/0.5,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1259.93;46.95;3.14;PP/0.76,TA/0.55,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1319.95;46.95;3.33;PP/0.82,TA/0.61,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1379.73;47.08;3.51;PP/0.86,TA/0.66,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
1439.9;47.08;3.67;PP/0.9,TA/0.71,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
