#TimeStamp;Bot;Pod;OutputStation
56.17;15;58;2
66.17;15;58;2
69.63;5;176;0
76.07;15;58;2
79.35;2;69;0
85.57;3;84;1
86.13;15;58;2
89.44;2;69;0
95.73;7;140;1
96.14;11;123;2
99.26;2;69;0
105.73;1;184;1
106.02;13;35;2
109.67;4;301;0
115.76;15;58;1
116.03;5;176;2
119.43;4;301;0
125.4;10;231;1
125.89;5;176;2
129.71;3;84;0
135.74;6;197;1
136.03;14;174;2
139.72;3;84;0
145.68;9;265;1
146.17;14;174;2
149.76;0;237;0
155.62;17;162;1
156.19;8;19;2
159.73;16;40;0
165.81;2;69;1
166.03;8;19;2
169.8;16;40;0
175.87;4;301;1
176.24;1;184;2
180.01;7;140;0
185.8;14;174;1
186.49;1;184;2
189.87;7;140;0
195.75;3;84;1
196.35;12;173;2
200;7;140;0
205.59;3;84;1
206.54;12;173;2
210.02;13;35;0
215.83;3;84;1
216.48;10;231;2
220.09;5;176;0
225.84;0;237;1
226.5;17;162;2
230.13;5;176;0
235.84;8;19;1
236.36;9;265;2
240.33;5;176;0
245.88;8;19;1
246.4;4;301;2
250.16;6;197;0
255.82;16;40;1
256.56;2;69;2
260.41;1;184;0
265.96;11;126;1
266.63;7;140;2
270.21;15;287;0
275.64;12;173;1
276.7;7;140;2
280.31;15;287;0
286.01;13;35;1
286.75;7;140;2
290.41;4;301;0
295.95;10;231;1
297.15;3;84;2
300.4;4;301;0
306.17;17;162;1
307.17;0;237;2
310.25;4;301;0
316.26;5;176;1
317.03;8;19;2
320.42;4;301;0
326.18;5;176;1
327.15;8;19;2
330.25;10;231;0
336.47;9;265;1
337.14;16;40;2
346.46;6;197;1
347.07;12;173;2
355.53;5;176;0
356.19;1;184;1
356.88;13;35;2
365.6;5;176;0
366.56;1;184;1
367.21;17;162;2
375.51;9;265;0
376.82;1;184;1
377.44;6;197;2
385.6;16;40;0
386.75;1;184;1
387.36;10;231;2
395.66;0;218;0
396.82;14;195;1
397.23;11;166;2
405.67;17;162;0
406.86;14;195;1
407.22;15;154;2
415.48;17;162;0
417.07;14;195;1
417.44;1;184;2
426.97;7;140;1
427.12;16;40;2
432.21;10;231;0
437.12;7;140;1
445.59;14;195;0
447.05;3;84;1
455.61;15;154;0
457;4;301;1
465.65;16;40;0
467.07;2;42;1
474.24;9;102;2
475.33;3;84;0
477.24;8;19;1
485.52;4;301;0
487.17;13;35;1
495.69;4;301;0
497.11;12;173;1
503.34;16;40;2
505.38;4;301;0
507.29;12;173;1
515.76;7;140;0
517.3;5;176;1
525.85;7;140;0
527.35;6;197;1
532.24;4;301;2
535.85;7;140;0
537.48;6;197;1
542.46;4;301;2
545.88;8;19;0
547.7;0;218;1
552.48;4;301;2
555.75;13;35;0
557.48;0;218;1
562.29;4;301;2
565.95;13;35;0
567.79;11;166;1
572.43;4;301;2
576.15;2;42;0
577.88;1;184;1
582.51;5;176;2
586.18;12;173;0
587.83;10;231;1
592.31;5;176;2
596.22;12;173;0
597.76;14;195;1
602.56;5;176;2
606.27;12;173;0
607.98;15;154;1
612.62;8;19;2
616.71;6;197;0
617.87;17;162;1
622.39;11;166;2
626.55;6;197;0
628.01;3;84;1
632.69;11;166;2
636.76;4;301;0
637.82;9;102;1
642.89;11;166;2
646.77;4;301;0
648.08;16;40;1
653.11;11;166;2
656.77;10;231;0
657.82;7;140;1
663.16;13;35;2
666.83;15;154;0
668.14;2;42;1
673.13;1;184;2
676.87;14;195;0
683.36;12;173;2
686.97;5;176;0
693.41;6;197;2
697.14;8;19;0
703.73;0;29;2
713.6;3;84;2
723.8;17;162;2
733.98;9;102;2
744.18;4;301;2
