#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
187.6;2;164.8;164.8;-Infinity;164.8;164.80
218.06;2;158.84;158.84;-Infinity;158.84;158.84
230.72;1;189.7;189.67;-Infinity;189.7;189.70
253.29;0;212.52;212.5;-Infinity;212.52;212.52
260.82;1;254.07;254.07;-Infinity;254.07;254.07
290.68;1;186.1;186.07;-Infinity;186.1;186.10
311.93;2;206.34;206.34;-Infinity;206.34;206.34
313.69;0;219.97;219.97;-Infinity;219.97;219.97
393.58;0;368.66;368.63;-Infinity;368.66;368.66
404.05;0;323.19;323.19;-Infinity;323.19;323.19
412.59;2;378.46;378.46;-Infinity;378.46;378.46
413.72;0;304.34;304.34;-Infinity;304.34;304.34
454.26;0;448.06;448.06;-Infinity;448.06;448.06
481.19;1;393.51;393.5;-Infinity;393.51;393.51
497.2;2;253.63;253.63;-Infinity;253.63;253.63
498.29;0;321;321;-Infinity;321;321.00
508.17;0;285.18;285.18;-Infinity;285.18;285.18
511.27;1;478.83;478.81;-Infinity;478.83;478.83
511.31;2;319.1;319.07;-Infinity;319.1;319.10
541.52;1;209.72;209.72;-Infinity;209.72;209.72
551.6;1;396.06;396.04;-Infinity;396.06;396.06
551.6;2;323.7;323.7;-Infinity;323.7;323.70
561.6;1;379.71;379.67;-Infinity;379.71;379.71
592.24;1;374.4;374.4;-Infinity;374.4;374.40
598.57;0;274.89;274.85;-Infinity;274.89;274.89
601.99;2;384.13;384.11;-Infinity;384.13;384.13
612.08;2;523.07;523.05;-Infinity;523.07;523.07
632.43;1;405.19;405.16;-Infinity;405.19;405.19
643;1;521.28;521.28;-Infinity;521.28;521.28
663.45;1;426.35;426.35;-Infinity;426.35;426.35
663.5;0;278.78;209.19;-Infinity;278.78;278.78
672.33;2;479.39;479.39;-Infinity;479.39;479.39
673.54;1;386.04;386;-Infinity;386.04;386.04
673.58;0;311.51;279.62;-Infinity;311.51;311.51
683.36;1;293.38;202.13;-Infinity;293.38;293.38
692.41;2;332.37;332.36;-Infinity;332.37;332.37
693.49;0;330.63;289.39;-Infinity;330.63;330.63
693.49;1;431.24;431.24;-Infinity;431.24;431.24
702.76;2;339.14;290.12;-Infinity;339.14;339.14
703.91;1;471.4;471.4;-Infinity;471.4;471.40
712.93;2;546.54;546.54;-Infinity;546.54;546.54
723.09;2;406.92;406.89;-Infinity;406.92;406.92
723.84;0;347.85;309.71;-Infinity;347.85;347.85
733.47;2;512.32;512.29;-Infinity;512.32;512.32
734.07;0;462.17;462.14;-Infinity;462.17;462.17
743.55;2;617.72;617.7;-Infinity;617.72;617.72
744.04;0;488.91;488.91;-Infinity;488.91;488.91
764.01;0;629.05;629.05;-Infinity;629.05;629.05
774.45;0;557.97;557.97;-Infinity;557.97;557.97
784.49;0;555.12;555.12;-Infinity;555.12;555.12
