#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.99;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
179.8;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.99;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.93;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.99;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
419.74;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.76;5;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
539.99;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.62;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
659.95;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.77;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.6;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.9;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.65;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.98;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1019.92;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.66;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.7;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.76;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.99;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1319.72;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
