#TimeStamp;TripTime;Type
72;17;O
74;35;O
84;26;O
88;32;O
90;36;O
91;47;O
95;22;O
96;42;O
97;33;O
99;16;O
105;41;O
106;39;O
110;12;O
112;19;O
114;53;O
116;38;O
116;46;O
124;21;O
127;24;O
127;34;O
130;41;O
132;58;O
132;19;O
136;24;O
142;34;O
157;51;O
159;16;O
165;13;O
172;19;O
177;19;O
182;19;O
184;16;O
195;23;O
202;19;O
205;17;O
210;17;O
216;18;O
217;15;O
226;18;O
234;15;O
238;25;O
246;18;O
255;22;O
259;23;O
264;20;O
273;20;O
276;18;O
285;21;O
286;20;O
303;25;O
316;23;O
319;23;O
324;18;O
331;47;O
332;14;O
341;15;O
344;16;O
347;33;O
351;27;O
353;26;O
357;23;O
366;56;O
367;14;O
371;55;O
375;36;O
381;45;O
388;32;O
402;48;O
403;20;O
419;20;O
424;20;O
433;12;O
437;18;O
450;17;O
453;19;O
468;14;O
471;56;O
475;22;O
481;19;O
485;15;O
505;21;O
510;20;O
510;16;O
520;20;O
524;24;O
527;22;O
535;20;O
539;20;O
548;23;O
557;17;O
560;25;O
561;52;O
566;21;O
569;24;O
570;19;O
580;50;O
584;19;O
586;52;O
589;19;O
598;23;O
600;38;O
601;22;O
601;16;O
604;23;O
609;14;O
616;17;O
619;34;O
630;21;O
630;16;O
633;22;O
639;19;O
642;17;O
647;46;O
656;16;O
668;48;O
679;30;O
681;22;O
682;21;O
684;19;O
684;29;O
699;30;O
711;19;O
719;39;O
722;21;O
729;49;O
729;34;O
733;48;O
735;30;O
745;34;O
747;17;O
754;42;O
755;15;O
763;48;O
769;17;O
771;15;O
773;23;O
781;15;O
783;22;O
794;19;O
806;40;O
806;20;O
808;17;O
814;22;O
821;19;O
821;40;O
827;21;O
828;26;O
837;15;O
842;31;O
850;18;O
862;16;O
877;46;O
880;18;O
880;45;O
889;55;O
894;72;O
895;23;O
900;33;O
901;60;O
910;24;O
911;19;O
913;17;O
917;41;O
919;37;O
926;19;O
935;23;O
941;22;O
943;17;O
953;18;O
958;42;O
961;38;O
961;16;O
963;23;O
970;33;O
972;19;O
978;21;O
982;19;O
993;50;O
994;17;O
998;25;O
1001;16;O
1005;50;O
1011;16;O
1018;20;O
1022;34;O
1032;26;O
1036;28;O
1038;21;O
1047;43;O
1056;18;O
1063;21;O
1068;21;O
1070;18;O
1080;33;O
1080;23;O
1084;16;O
1084;33;O
1094;36;O
1110;32;O
1114;16;O
1129;19;O
1131;23;O
1137;31;O
1137;49;O
1142;25;O
1155;55;O
1161;71;O
1164;18;O
1165;37;O
1166;32;O
1170;50;O
1173;24;O
1175;39;O
1176;20;O
1176;16;O
1183;16;O
1183;43;O
1192;42;O
1195;36;O
1195;17;O
1198;24;O
1205;17;O
1206;37;O
1208;14;O
1218;14;O
1223;16;O
1228;19;O
1235;21;O
1239;46;O
1242;15;O
1242;24;O
1251;22;O
1252;15;O
1256;32;O
1261;22;O
1268;19;O
1272;21;O
1284;22;O
1285;16;O
1289;33;O
1293;16;O
1295;59;O
1303;15;O
1314;17;O
1315;27;O
1316;15;O
1319;20;O
1333;15;O
1343;34;O
1354;16;O
1356;17;O
1360;28;O
1375;18;O
1376;17;O
1396;23;O
1396;19;O
1402;34;O
1402;19;O
1407;19;O
1414;16;O
1414;21;O
1417;20;O
1419;19;O
1422;32;O
1435;39;O
1440;32;O
1442;15;O
1445;28;O
1447;17;O
1454;17;O
1467;29;O
1468;19;O
1476;20;O
1484;24;O
1485;45;O
1486;28;O
1494;26;O
1494;28;O
1502;22;O
1505;27;O
1507;19;O
1510;20;O
1520;18;O
1524;24;O
1527;14;O
1534;15;O
1541;21;O
1551;21;O
1553;24;O
1556;16;O
1566;16;O
1571;18;O
1575;16;O
1577;14;O
1584;15;O
1590;17;O
1592;32;O
1597;18;O
1598;27;O
1600;41;O
1607;24;O
1617;17;O
1617;27;O
1624;21;O
1625;16;O
1634;21;O
1636;17;O
1638;15;O
1645;25;O
1650;21;O
1657;16;O
1659;26;O
1669;19;O
1673;20;O
1680;19;O
1684;21;O
1686;13;O
1698;19;O
1707;18;O
1713;36;O
1715;24;O
1715;22;O
1717;16;O
1721;22;O
1734;15;O
1740;29;O
1748;39;O
1748;17;O
1749;28;O
1757;21;O
1774;28;O
