#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.97;0;0;0;3;0/59.97;0/59.97,1/59.97,2/59.97;0/0;0/59.97,1/59.97,2/59.97;0/0;0/35,1/29,2/43;0/0;0/38,1/36,2/50;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
120;0;6;0;3;0/120;0/92.87,1/75.81,2/84.88;0/0;0/120,1/120,2/120;0/0;0/33,1/23,2/38;0/0;0/35,1/31,2/46;0/0;0/0,1/0,2/0;0/0;0/2,1/2,2/2;0/0;0/3,1/5,2/4
179.95;0;18;0;3;0/179.95;0/105.08,1/76.39,2/85.33;0/0;0/179.95,1/179.95,2/179.95;0/0;0/26,1/19,2/32;0/0;0/30,1/25,2/40;0/0;0/0,1/0,2/0;0/0;0/6,1/6,2/6;0/0;0/8,1/11,2/10
239.93;0;30;0;3;0/239.93;0/107.11,1/77.24,2/86.73;0/0;0/239.93,1/239.93,2/239.93;0/0;0/21,1/22,2/25;0/0;0/24,1/28,2/34;0/0;0/0,1/0,2/0;0/0;0/10,1/11,2/9;0/0;0/14,1/17,2/16
299.87;0;42;0;3;0/299.87;0/112.72,1/78.22,2/87.18;0/0;0/299.87,1/299.87,2/299.87;0/0;0/17,1/22,2/18;0/0;0/19,1/27,2/28;0/0;0/0,1/0,2/0;0/0;0/15,1/14,2/13;0/0;0/19,1/23,2/22
359.8;0;53;0;3;0/359.8;0/140.26,1/78.7,2/88.33;0/0;0/359.8,1/359.8,2/359.8;0/0;0/22,1/22,2/13;0/0;0/24,1/24,2/25;0/0;0/0,1/0,2/0;0/0;0/19,1/18,2/16;0/0;0/23,1/29,2/28
419.87;0;60;0;3;0/419.87;0/141.49,1/102.91,2/89.01;0/0;0/419.87,1/419.87,2/419.87;0/0;0/22,1/22,2/5;0/0;0/24,1/23,2/19;0/0;0/0,1/0,2/0;0/0;0/23,1/19,2/18;0/0;0/29,1/32,2/34
479.98;0;71;0;3;0/479.98;0/149.58,1/143.06,2/89.8;0/0;0/479.98,1/479.98,2/479.98;0/0;0/16,1/23,2/9;0/0;0/19,1/26,2/20;0/0;0/0,1/0,2/0;0/0;0/27,1/21,2/23;0/0;0/34,1/34,2/40
539.7;0;85;0;3;0/539.7;0/157.08,1/156.17,2/90.39;0/0;0/539.7,1/539.7,2/539.7;0/0;0/14,1/20,2/13;0/0;0/17,1/24,2/23;0/0;0/0,1/0,2/0;0/0;0/32,1/25,2/28;0/0;0/39,1/39,2/46
599.96;0;96;0;3;0/599.96;0/158.84,1/156.81,2/91.36;0/0;0/599.96,1/599.96,2/599.96;0/0;0/17,1/17,2/15;0/0;0/23,1/21,2/23;0/0;0/0,1/0,2/0;0/0;0/35,1/29,2/32;0/0;0/45,1/45,2/52
659.61;0;102;0;3;0/659.61;0/160.5,1/157.86,2/92.88;0/0;0/659.61,1/659.61,2/659.61;0/0;0/13,1/19,2/12;0/0;0/20,1/21,2/20;0/0;0/0,1/0,2/0;0/0;0/37,1/32,2/33;0/0;0/51,1/51,2/58
719.87;0;115;0;3;0/719.87;0/161.56,1/159.73,2/94.1;0/0;0/719.87,1/719.87,2/719.87;0/0;0/18,1/14,2/21;0/0;0/28,1/15,2/27;0/0;0/0,1/0,2/0;0/0;0/41,1/36,2/38;0/0;0/57,1/57,2/64
779.96;0;126;0;3;0/779.96;0/162.35,1/186.52,2/94.42;0/0;0/779.96,1/779.96,2/779.96;0/0;0/16,1/20,2/18;0/0;0/25,1/21,2/24;0/0;0/0,1/0,2/0;0/0;0/45,1/39,2/42;0/0;0/63,1/60,2/70
839.96;0;138;0;3;0/839.96;0/163.43,1/211.72,2/95.05;0/0;0/839.96,1/839.96,2/839.96;0/0;0/11,1/17,2/17;0/0;0/21,1/20,2/21;0/0;0/0,1/0,2/0;0/0;0/48,1/42,2/48;0/0;0/69,1/64,2/76
