#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;36.82;0.1;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.96;37.94;0.3;PP/0.04,TA/0.02,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
119.99;38.03;0.34;PP/0.04,TA/0.02,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
179.59;38.43;0.38;PP/0.04,TA/0.02,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
239.74;38.43;0.4;PP/0.05,TA/0.03,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
299.72;38.43;0.43;PP/0.05,TA/0.03,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
359.82;38.52;0.46;PP/0.06,TA/0.03,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
419.68;38.52;0.49;PP/0.07,TA/0.03,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
479.76;38.74;0.52;PP/0.07,TA/0.04,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
539.93;38.74;0.54;PP/0.07,TA/0.04,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
599.62;38.74;0.57;PP/0.08,TA/0.05,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
659.9;38.88;0.6;PP/0.09,TA/0.05,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
719.84;38.88;0.63;PP/0.1,TA/0.05,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
779.98;38.88;0.66;PP/0.1,TA/0.06,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
839.91;38.78;0.68;PP/0.11,TA/0.06,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
899.7;38.78;0.7;PP/0.11,TA/0.06,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
959.7;38.78;0.73;PP/0.12,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1019.98;38.79;0.75;PP/0.12,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1079.97;38.79;0.77;PP/0.12,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1139.69;38.79;0.79;PP/0.13,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1199.71;38.9;0.81;PP/0.13,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1259.67;38.9;0.84;PP/0.14,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1319.96;38.9;0.86;PP/0.14,TA/0.08,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1379.85;39.02;0.89;PP/0.14,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1439.92;39.02;0.91;PP/0.15,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1499.96;39.02;0.93;PP/0.15,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1559.99;39.13;0.95;PP/0.15,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1619.87;39.13;0.97;PP/0.16,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1679.97;39.13;0.99;PP/0.17,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1739.73;39.13;1.01;PP/0.17,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1799.73;39.21;1.03;PP/0.17,TA/0.1,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1859.97;39.21;1.05;PP/0.17,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1919.97;39.21;1.1;PP/0.18,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
1979.91;39.32;1.13;PP/0.19,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2039.89;39.32;1.16;PP/0.19,TA/0.13,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2099.86;39.48;1.19;PP/0.2,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2159.99;39.48;1.22;PP/0.21,TA/0.14,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2219.79;39.68;1.26;PP/0.22,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2279.69;39.1;1.3;PP/0.23,TA/0.15,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2339.67;39.28;1.34;PP/0.24,TA/0.17,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2399.91;39.16;1.38;PP/0.25,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2459.69;39.16;1.42;PP/0.26,TA/0.18,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2519.98;39.2;1.45;PP/0.27,TA/0.19,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2579.63;39.2;1.49;PP/0.28,TA/0.21,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2639.88;39.55;1.53;PP/0.29,TA/0.21,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2699.72;39.7;1.57;PP/0.3,TA/0.22,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2759.84;40.07;1.6;PP/0.32,TA/0.23,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2819.67;39.3;1.64;PP/0.32,TA/0.24,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2879.89;39.42;1.67;PP/0.33,TA/0.25,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2939.69;39.6;1.71;PP/0.35,TA/0.27,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
2999.93;39.95;1.75;PP/0.36,TA/0.27,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3059.96;39.37;1.78;PP/0.37,TA/0.28,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3119.75;39.37;1.82;PP/0.38,TA/0.28,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3179.61;39.7;1.86;PP/0.39,TA/0.29,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3239.86;39.89;1.89;PP/0.39,TA/0.31,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3299.9;39.43;1.93;PP/0.4,TA/0.31,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3359.96;39.6;1.97;PP/0.41,TA/0.32,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3419.64;39.95;2;PP/0.42,TA/0.33,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3479.71;39.46;2.05;PP/0.43,TA/0.34,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
3539.99;39.46;2.09;PP/0.44,TA/0.35,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
