#TimeStamp;DistanceTraveled
59.96;264.57
119.99;161.29
179.59;201.67
239.74;67.36
299.72;185.31
359.82;170.38
419.68;163.5
479.76;203.24
539.93;77.57
599.62;129.25
659.9;149.71
719.84;173.37
779.98;177.16
839.91;135.32
899.7;135.26
959.7;141.03
1019.98;74.01
1079.97;122.38
1139.69;75.8
1199.71;92.56
1259.67;199.12
1319.96;127.13
1379.85;127.61
1439.92;83.39
1499.96;117.46
1559.99;125.51
1619.87;74.03
1679.97;112.24
1739.73;79.69
1799.73;93.31
1859.97;91.62
1919.97;194.14
1979.91;199.28
2039.89;138.83
2099.86;221.51
2159.99;284.46
2219.79;246.7
2279.69;209.85
2339.67;211.62
2399.91;217.32
2459.69;225.54
2519.98;203.51
2579.63;229.62
2639.88;214
2699.72;205.17
2759.84;223.79
2819.67;182.78
2879.89;236.15
2939.69;225.08
2999.93;218.92
3059.96;246.55
3119.75;250.32
3179.61;215.03
3239.86;208.07
3299.9;218.75
3359.96;229.58
3419.64;210.84
3479.71;206.06
3539.99;242.72
3599.97;252.65
3659.85;203.34
3719.89;216.84
3779.96;247.48
3839.75;250.16
3899.86;222.02
3959.95;224.55
4019.83;215.02
4079.84;198.1
4139.59;204.59
4199.91;237.09
4259.68;206.55
4319.91;204.38
4379.96;202.03
4439.87;212.98
4499.78;217.25
4559.97;233.16
4619.94;210.29
4679.67;201.54
4739.97;215.71
4799.96;194.39
4859.61;220.8
4919.95;176.57
4979.72;236.2
5039.67;201.54
5099.99;207.25
5159.98;217.93
5219.69;221.95
5279.6;219.33
5339.66;200.94
5399.66;239.63
5459.99;203.55
5519.78;229.63
5579.8;238.22
5639.77;244.64
5699.79;239.9
5759.95;232.48
5819.96;224.5
5879.78;231.58
5939.89;212.79
5999.85;215.48
6059.87;197.04
6119.97;201.96
6179.67;208.34
6239.98;231.32
6299.97;219.66
6359.9;180.37
6419.93;228.27
6479.88;239.6
6539.6;211.69
6599.88;197.98
6659.68;174.31
6719.66;244.97
6779.74;235.91
6839.91;216.91
6899.87;208.83
6959.96;220.34
7019.7;209.57
7079.75;221.7
7139.82;243.69
7199.85;210.66
