#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;18;0;0;0;0;0;0;0;0;0
599.91;0.69;18;0;0;0;0;0;0;0;0;0
1199.65;0.69;18;0;0;0;0;0;0;0;0;0
1799.6;0.68;18;0;0;0;0;0;0;0;0;0
2399.64;0.67;18;0;0;0;0;0;0;0;0;0
2999.86;0.67;18;0;0;0;0;0;0;0;0;0
3599.65;0.66;18;0;0;0;0;0;0;0;0;0
4199.68;0.65;18;0;0;0;0;0;0;0;0;0
4799.82;0.65;18;0;0;0;0;0;0;0;0;0
5399.86;0.64;18;0;0;0;0;0;0;0;0;0
5999.8;0.64;18;0;0;0;0;0;0;0;0;0
6599.95;0.63;18;0;0;0;0;0;0;0;0;0
7199.99;0.62;18;0;0;0;0;0;0;0;0;0
7799.79;0.62;18;0;0;0;0;0;0;0;0;0
8399.72;0.61;18;0;0;0;0;0;0;0;0;0
8999.68;0.6;18;0;0;0;0;0;0;0;0;0
9599.92;0.6;18;0;0;0;0;0;0;0;0;0
10199.96;0.59;18;0;0;0;0;0;0;0;0;0
10799.75;0.58;18;0;0;0;0;0;0;0;0;0
11399.88;0.58;18;0;0;0;0;0;0;0;0;0
11999.73;0.57;18;0;0;0;0;0;0;0;0;0
12599.95;0.56;18;0;0;0;0;0;0;0;0;0
13199.96;0.56;18;0;0;0;0;0;0;0;0;0
13799.98;0.55;18;0;0;0;0;0;0;0;0;0
14399.83;0.55;18;0;0;0;0;0;0;0;0;0
14999.81;0.54;18;0;0;0;0;0;0;0;0;0
15599.78;0.53;18;0;0;0;0;0;0;0;0;0
16199.74;0.53;18;0;0;0;0;0;0;0;0;0
16799.97;0.52;18;0;0;0;0;0;0;0;0;0
17399.63;0.52;18;0;0;0;0;0;0;0;0;0
17999.83;0.51;18;0;0;0;0;0;0;0;0;0
18599.71;0.5;18;0;0;0;0;0;0;0;0;0
19199.98;0.5;18;0;0;0;0;0;0;0;0;0
19799.95;0.5;18;0;0;0;0;0;0;0;0;0
20399.93;0.5;18;0;0;0;0;0;0;0;0;0
20999.9;0.5;18;0;0;0;0;0;0;0;0;0
21599.96;0.5;18;0;0;0;0;0;0;0;0;0
22199.76;0.5;18;0;0;0;0;0;0;0;0;0
22799.86;0.5;18;0;0;0;0;0;0;0;0;0
23399.8;0.5;18;0;0;0;0;0;0;0;0;0
23999.77;0.5;18;0;0;0;0;0;0;0;0;0
24599.99;0.5;18;0;0;0;0;0;0;0;0;0
25199.75;0.5;18;0;0;0;0;0;0;0;0;0
25799.62;0.5;18;0;0;0;0;0;0;0;0;0
26399.93;0.5;18;0;0;0;0;0;0;0;0;0
26999.66;0.5;18;0;0;0;0;0;0;0;0;0
27599.9;0.5;18;0;0;0;0;0;0;0;0;0
28199.91;0.5;18;0;0;0;0;0;0;0;0;0
28799.94;0.5;18;0;0;0;0;0;0;0;0;0
29399.97;0.5;18;0;0;0;0;0;0;0;0;0
29999.66;0.5;18;0;0;0;0;0;0;0;0;0
