#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
198.05;1;194.09;194.09;-Infinity;194.09;194.09
238.2;1;235.71;235.71;-Infinity;235.71;235.71
253.14;0;250.11;250.11;-Infinity;250.11;250.11
298.41;1;297.04;297.04;-Infinity;297.04;297.04
323.42;0;321.06;321.06;-Infinity;321.06;321.06
328.3;1;323.83;323.8;-Infinity;323.83;323.83
358.68;1;355.69;355.69;-Infinity;355.69;355.69
363.62;0;360.89;360.89;-Infinity;360.89;360.89
378.94;1;374.77;374.77;-Infinity;374.77;374.77
389.07;1;388.53;388.51;-Infinity;388.53;388.53
399.31;1;398.61;398.57;-Infinity;398.61;398.61
409.29;1;408.31;408.31;-Infinity;408.31;408.31
420;1;417.43;417.43;-Infinity;417.43;417.43
429.8;1;426.14;426.14;-Infinity;426.14;426.14
433.41;0;432.56;432.56;-Infinity;432.56;432.56
440;1;434.25;434.24;-Infinity;434.25;434.25
453.85;0;450.11;450.11;-Infinity;450.11;450.11
544.3;0;543.79;543.79;-Infinity;543.79;543.79
554.72;0;554.03;554.03;-Infinity;554.03;554.03
575.14;0;572.65;572.61;-Infinity;572.65;572.65
580.65;1;574.63;342.26;-Infinity;574.63;574.63
605.33;0;604.28;604.28;-Infinity;604.28;604.28
615.98;0;611.57;611.57;-Infinity;611.57;611.57
620.84;1;614.87;422.52;-Infinity;614.87;614.87
646.02;0;641.93;641.93;-Infinity;641.93;641.93
656.01;0;648.07;292.33;-Infinity;648.07;648.07
666.3;0;661.03;661.03;-Infinity;661.03;661.03
676.35;0;669.6;352.73;-Infinity;669.6;669.60
686.77;0;680.62;433.31;-Infinity;680.62;680.62
751.07;1;742.75;361.9;-Infinity;742.75;742.75
801.49;1;789.78;220.66;-Infinity;789.78;789.78
807.54;0;795.85;252.78;-Infinity;795.85;795.85
817.7;0;805;171.45;-Infinity;805;805.00
821.88;1;811.11;381.5;-Infinity;811.11;811.11
832.35;1;818.83;81.04;-Infinity;818.83;818.83
852.77;1;845.39;524.11;-Infinity;845.39;845.39
858.26;0;846.06;242.24;-Infinity;846.06;846.06
873.19;1;865.09;494.06;-Infinity;865.09;865.09
923.61;1;909.38;121.88;-Infinity;909.38;909.38
963.76;1;951.25;342.51;-Infinity;951.25;951.25
968.85;0;958.05;514.96;-Infinity;958.05;958.05
974.14;1;957.98;151.99;-Infinity;957.98;957.98
988.9;0;977.47;444.56;-Infinity;977.47;977.47
1014.32;1;1008.11;715.86;-Infinity;1008.11;1008.11
1024.74;1;1006.6;151.51;-Infinity;1006.6;1006.60
1058.9;0;1045.84;402.61;-Infinity;1045.84;1045.84
1069.32;0;1056.22;402.98;-Infinity;1056.22;1056.22
1080;0;1067.97;474.4;-Infinity;1067.97;1067.97
1090.16;0;1076.81;402.98;-Infinity;1076.81;1076.81
1125.19;1;1107.72;272.24;-Infinity;1107.72;1107.72
1155.19;1;1138.72;322.66;-Infinity;1138.72;1138.72
1165.59;1;1147.42;241.94;-Infinity;1147.42;1147.42
1210.82;0;1199.11;635.64;-Infinity;1199.11;1199.11
1230.72;0;1215.63;412.69;-Infinity;1215.63;1215.63
1240.93;0;1230.22;807.1;-Infinity;1230.22;1230.22
1245.7;1;1225.14;220.89;-Infinity;1225.14;1225.14
1251.35;0;1238.01;574.58;-Infinity;1238.01;1238.01
1261.4;0;1243.84;402.93;-Infinity;1243.84;1243.84
1326.23;1;1307.21;351.92;-Infinity;1307.21;1307.21
1336.64;1;1318.25;372.76;-Infinity;1318.25;1318.25
1341.88;0;1323.07;372.98;-Infinity;1323.07;1323.07
1346.56;1;1324.99;221.32;-Infinity;1324.99;1324.99
1352.3;0;1330.94;261.77;-Infinity;1330.94;1330.94
1372.72;0;1348.24;110.9;-Infinity;1348.24;1348.24
1397.15;1;1377.25;382.76;-Infinity;1377.25;1377.25
1402.69;0;1378.67;171.76;-Infinity;1378.67;1378.67
1412.9;0;1393.2;423.81;-Infinity;1393.2;1393.20
1437.34;1;1429.88;1078.62;-Infinity;1429.88;1429.88
1447.92;1;1438.53;1027.81;-Infinity;1438.53;1438.53
1458.44;1;1448.22;1028.28;-Infinity;1448.22;1448.22
1463.21;0;1442.22;383.1;-Infinity;1442.22;1442.22
1468.86;1;1460.04;1069.27;-Infinity;1460.04;1460.04
1479.28;1;1470.1;1069.59;-Infinity;1470.1;1470.10
1489.32;1;1466.52;323.44;-Infinity;1466.52;1466.52
1493.63;0;1473;434.36;-Infinity;1473;1473.00
1504.05;0;1481.24;293.16;-Infinity;1481.24;1481.24
1509.95;1;1484.87;173.16;-Infinity;1484.87;1484.87
1534.47;0;1507.65;182.13;-Infinity;1507.65;1507.65
1610.4;1;1585.47;284.03;-Infinity;1585.47;1585.47
1623.13;0;1602.41;553.43;-Infinity;1602.41;1602.41
1640.42;1;1608.25;161.1;-Infinity;1608.25;1608.25
1680.42;1;1653.82;333.59;-Infinity;1653.82;1653.82
1690.79;1;1666.49;444.86;-Infinity;1666.49;1666.49
1693.35;0;1666.2;320.59;-Infinity;1666.2;1666.20
1701.21;1;1679.15;545.68;-Infinity;1679.15;1679.15
1703.77;0;1689.54;896.16;-Infinity;1689.54;1689.54
1711.63;1;1684.24;314.37;-Infinity;1684.24;1684.24
1724.19;0;1696.2;321.39;-Infinity;1696.2;1696.20
