#TimeStamp;TripTime;Type
63;28;O
68;38;O
68;29;O
75;32;O
78;45;O
82;37;O
201;29;O
336;15;O
389;17;O
432;15;O
472;15;O
481;14;O
528;14;O
611;29;O
739;15;O
820;15;O
853;17;O
966;15;O
976;14;O
987;20;O
1047;14;O
1123;15;O
1208;14;O
1239;15;O
1303;28;O
1313;14;O
1344;14;O
1374;14;O
1393;14;O
1396;16;O
1410;14;O
1427;16;O
1462;16;O
1487;20;O
1495;11;O
1564;16;O
1586;13;O
1618;15;O
1678;14;O
1820;15;O
1852;14;O
1934;15;O
1964;29;O
1990;14;O
2054;14;O
2135;7;O
2144;16;O
2194;16;O
2197;14;O
2220;21;O
2230;15;O
2265;15;O
2307;22;O
2315;14;O
2346;15;O
2398;26;O
2443;14;O
2517;14;O
2577;14;O
2578;29;O
2587;18;O
2645;14;O
2699;14;O
2720;15;O
2751;17;O
2820;14;O
2857;15;O
2860;24;O
2879;27;O
2947;12;O
2988;14;O
3012;29;O
3021;14;O
3122;15;O
3141;15;O
3151;24;O
3203;15;O
3227;30;O
3267;15;O
3312;13;O
3353;14;O
3354;18;O
3424;30;O
3429;16;O
3485;13;O
3511;16;O
3536;14;O
3574;17;O
3581;19;O
3615;13;O
3654;29;O
3665;12;O
3677;23;O
3746;25;O
3760;16;O
3783;28;O
3798;15;O
3884;15;O
3907;27;O
3919;14;O
3968;28;O
4012;15;O
4021;14;O
4052;15;O
4134;17;O
4155;15;O
4275;15;O
4290;32;O
4306;18;O
4315;14;O
4345;16;O
4362;13;O
4447;14;O
4503;17;O
4511;17;O
4547;16;O
4579;14;O
4629;14;O
4633;20;O
4647;14;O
4680;14;O
4714;28;O
4718;15;O
4727;14;O
4748;14;O
4771;18;O
4790;14;O
4817;29;O
4833;25;O
4838;14;O
4868;15;O
4934;15;O
4949;36;O
4951;16;O
4991;16;O
5026;10;O
5045;15;O
5135;14;O
5153;15;O
5284;15;O
5325;17;O
5329;31;O
5375;17;O
5403;27;O
5478;14;O
5570;13;O
5649;14;O
5730;15;O
5737;39;O
5773;15;O
5775;16;O
5832;14;O
5835;27;O
5876;14;O
5953;14;O
6016;27;O
6067;14;O
6097;27;O
6157;14;O
6218;14;O
6246;14;O
6296;15;O
6298;14;O
6380;14;O
6421;16;O
6432;17;O
6469;21;O
6477;14;O
6528;15;O
6538;14;O
6603;14;O
6638;14;O
6641;37;O
6691;27;O
6694;15;O
6704;14;O
6773;17;O
6775;15;O
6806;34;O
6806;16;O
6835;15;O
6850;16;O
6868;30;O
6881;16;O
6901;23;O
7013;27;O
7037;14;O
7065;27;O
7068;15;O
7078;14;O
7088;15;O
7123;14;O
7199;15;O
7311;17;O
7335;14;O
7375;14;O
7390;15;O
7443;18;O
7476;14;O
7492;17;O
7553;17;O
7602;33;O
7618;14;O
7660;13;O
7734;26;O
7771;15;O
7794;27;O
7806;16;O
7850;15;O
7871;36;O
7982;15;O
7991;14;O
8012;14;O
8033;27;O
8063;15;O
8093;15;O
8103;15;O
8107;48;O
8135;24;O
8167;28;O
8182;24;O
8185;30;O
8257;22;O
8274;14;O
8322;30;O
8350;20;O
8425;14;O
8440;22;O
8456;15;O
8496;14;O
8557;15;O
8612;24;O
8679;16;O
8682;41;O
8688;15;O
8689;16;O
8829;24;O
8838;14;O
8944;29;O
8948;14;O
9047;30;O
9131;14;O
