#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.63;0;0;0;2;0/59.63;0/59.63,1/59.63;0/0;0/59.63,1/59.63;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.83;0;1;0;2;0/119.83;0/89.37,1/119.83;0/0;0/119.83,1/119.83;0/0;0/0,1/0;0/0;0/2,1/3;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/4,1/0
179.98;0;2;0;2;0/179.98;0/120.62,1/161.71;0/0;0/179.98,1/179.98;0/0;0/0,1/0;0/0;0/4,1/1;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/6,1/2
239.9;0;4;0;2;0/239.9;0/141.17,1/210.07;0/0;0/239.9,1/239.9;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/10,1/3
299.79;0;4;0;2;0/299.79;0/201.07,1/269.97;0/0;0/299.79,1/299.79;0/0;0/0,1/0;0/0;0/4,1/3;0/0;0/0,1/0;0/0;0/4,1/0;0/0;0/10,1/3
359.87;0;7;0;2;0/359.87;0/221.89,1/300.29;0/0;0/359.87,1/359.87;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
419.59;0;7;0;2;0/419.59;0/281.61,1/360.01;0/0;0/419.59,1/419.59;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
479.83;0;7;0;2;0/479.83;0/341.85,1/420.25;0/0;0/479.83,1/479.83;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
539.9;0;7;0;2;0/539.9;0/401.92,1/480.33;0/0;0/539.9,1/539.9;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
599.73;0;7;0;2;0/599.73;0/461.75,1/540.15;0/0;0/599.73,1/599.73;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
659.98;0;7;0;2;0/659.98;0/522,1/600.4;0/0;0/659.98,1/659.98;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
719.82;0;7;0;2;0/719.82;0/581.84,1/660.24;0/0;0/719.82,1/719.82;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
779.64;0;7;0;2;0/779.64;0/641.66,1/720.07;0/0;0/779.64,1/779.64;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
839.97;0;7;0;2;0/839.97;0/701.99,1/780.39;0/0;0/839.97,1/839.97;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
899.99;0;7;0;2;0/899.99;0/762.01,1/840.41;0/0;0/899.99,1/899.99;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/6,1/1;0/0;0/14,1/6
