#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.91;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
179.91;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.71;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.77;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.91;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.91;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.64;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
599.82;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.89;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.84;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.7;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.7;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.73;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1019.73;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.99;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1139.66;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1199.88;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1319.9;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1379.94;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1439.88;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1499.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1559.96;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1619.92;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1679.71;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1739.79;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1799.75;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1859.75;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1919.69;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1979.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2039.98;3;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
2099.6;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2159.95;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2219.84;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2279.84;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2339.89;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2399.93;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2459.93;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
