#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.91;20;50;0;52.46;0;52.47;0;0.49
119.99;51;112;0;112.54;0;112.55;0;0.55
179.91;71;200;0;172.46;0;172.47;0;0.62
239.71;92;284;0;223.71;0;232.01;0;0.59
299.77;111;353;0;250.81;0;290.03;0;0.57
359.95;138;419;0;281.99;0;349.05;0;0.57
419.91;148;464;0;245.9;0;404.86;0;0.57
479.91;148;459;0;212.58;0;459.1;0;0.58
539.64;148;457;0;232.4;0;517.41;0;0.58
599.82;148;453;0;227.66;0;574.77;0;0.6
659.89;148;450;0;245.62;0;632.55;0;0.62
719.84;148;448;0;266.67;0;690.82;0;0.62
779.7;148;444;0;259.7;0;747.69;0;0.64
839.7;148;439;0;239.9;0;804.56;0;0.65
899.7;148;438;0;273.49;0;863.44;0;0.66
959.73;148;433;0;235.36;0;919.27;0;0.66
1019.73;148;429;0;262.99;0;977.07;0;0.65
1079.99;148;427;0;310.22;0;1036.62;0;0.65
1139.66;148;424;0;336.22;0;1094.42;0;0.67
1199.88;148;418;0;282.4;0;1147.92;0;0.64
1259.79;148;416;0;302.07;0;1205.62;0;0.63
1319.9;148;412;0;288.09;0;1261.67;0;0.61
1379.94;148;409;0;329.83;0;1320.84;0;0.6
1439.88;148;406;0;361.12;0;1379.55;0;0.58
1499.79;148;406;0;421.04;0;1439.46;0;0.58
1559.96;148;401;0;390.13;0;1495.5;0;0.56
1619.92;148;398;0;419.57;0;1553.78;0;0.55
1679.71;148;397;0;469.23;0;1613.14;0;0.55
1739.79;148;395;0;493.54;0;1672.02;0;0.55
1799.75;148;392;0;504.68;0;1730.24;0;0.57
1859.75;148;391;0;537.32;0;1789.32;0;0.57
1919.69;148;391;0;597.26;0;1849.26;0;0.57
1979.95;148;389;0;635.68;0;1908.98;0;0.57
2039.98;148;387;0;673.99;0;1968.54;0;0.59
2099.6;148;387;0;733.61;0;2028.16;0;0.59
2159.95;148;378;0;502.13;0;2079.01;0;0.6
2219.84;148;369;0;222.46;0;2124.45;0;0.58
2279.84;148;369;0;282.46;0;2184.45;0;0.58
2339.89;148;366;0;179.34;0;2237.34;0;0.56
2399.93;148;364;0;207.35;0;2295.52;0;0.56
2459.93;148;363;0;256.03;0;2354.87;0;0.54
2519.84;148;359;0;257.75;0;2411.45;0;0.55
2579.68;148;352;0;208.8;0;2464.93;0;0.56
2639.81;148;350;0;241.06;0;2523.36;0;0.56
2699.97;148;349;0;289.02;0;2582.93;0;0.57
2759.99;148;347;0;329.56;0;2642;0;0.55
2819.83;148;343;0;353.26;0;2700.34;0;0.57
2879.67;148;342;0;402.62;0;2759.97;0;0.58
2939.8;148;341;0;453.75;0;2819.91;0;0.58
2999.98;148;334;0;408.95;0;2876.48;0;0.58
3059.74;148;323;0;178.47;0;2922.32;0;0.6
3119.96;148;317;0;93.17;0;2975.82;0;0.58
3179.68;148;317;0;152.89;0;3035.54;0;0.58
3239.85;148;316;0;208.45;0;3095.64;0;0.58
3299.97;148;316;0;268.58;0;3155.76;0;0.58
3359.82;148;314;0;296.47;0;3214.45;0;0.57
3419.82;148;310;0;290.86;0;3272.5;0;0.57
3479.97;148;305;0;261.05;0;3329.84;0;0.6
3539.86;148;301;0;247.53;0;3387.56;0;0.61
3599.86;148;301;0;307.53;0;3447.56;0;0.61
3659.86;148;296;0;285.1;0;3505.27;0;0.61
3719.86;148;294;0;309.42;0;3564.19;0;0.61
3779.76;148;289;0;279.2;0;3621.13;0;0.58
3839.76;148;285;0;256.73;0;3677.74;0;0.63
3899.76;148;280;0;186.95;0;3732.38;0;0.62
3959.65;148;278;0;234.24;0;3791.63;0;0.61
4019.74;148;275;0;250.98;0;3849.77;0;0.59
4079.73;148;270;0;252.81;0;3907.32;0;0.61
4139.84;148;267;0;261.96;0;3965.36;0;0.59
4199.61;148;264;0;278.7;0;4022.92;0;0.59
4259.77;148;262;0;310.75;0;4081.71;0;0.58
4319.89;148;257;0;250.43;0;4136.42;0;0.58
4379.89;148;256;0;297.44;0;4195.88;0;0.57
4439.89;148;254;0;333.94;0;4255.08;0;0.59
4499.61;148;251;0;359.21;0;4313.5;0;0.63
4559.98;148;248;0;387.21;0;4372.73;0;0.65
4619.86;148;246;0;420.21;0;4431.7;0;0.65
4679.94;148;236;0;225.35;0;4481.01;0;0.64
4739.81;148;231;0;197.11;0;4537.01;0;0.61
4799.94;148;230;0;248.35;0;4596.77;0;0.59
4859.95;148;227;0;212.24;0;4653.15;0;0.57
4919.99;148;223;0;235.17;0;4711.97;0;0.58
4980;148;220;0;259.05;0;4770.75;0;0.58
5039.81;148;219;0;303.7;0;4830.02;0;0.6
5099.81;148;216;0;337.24;0;4889.47;0;0.6
5159.99;148;211;0;321.76;0;4947.54;0;0.6
5219.99;148;205;0;295.96;0;5004.64;0;0.63
5279.92;148;202;0;268.61;0;5061.47;0;0.62
5339.61;148;200;0;308.48;0;5120.1;0;0.63
5399.7;148;198;0;350.96;0;5179.37;0;0.63
5459.93;148;197;0;404.49;0;5239.47;0;0.64
5519.84;148;193;0;396.63;0;5296.77;0;0.65
5579.81;148;185;0;270.34;0;5348.73;0;0.7
5639.79;148;180;0;257.86;0;5405.18;0;0.67
5699.59;148;176;0;281.4;0;5462.89;0;0.64
5759.61;148;170;0;158.79;0;5514.99;0;0.65
5819.83;148;168;0;194.99;0;5573.26;0;0.63
5879.78;148;166;0;239.82;0;5632.21;0;0.62
5939.88;148;163;0;247.51;0;5689.64;0;0.6
5999.88;148;160;0;270.1;0;5748.06;0;0.58
6059.82;148;157;0;273.09;0;5805.01;0;0.54
6119.95;148;154;0;283.12;0;5862.78;0;0.56
6179.61;148;150;0;286.36;0;5919.71;0;0.56
6239.82;148;147;0;302.84;0;5977.98;0;0.56
6299.91;148;143;0;306.82;0;6035.74;0;0.58
6359.71;148;140;0;307.17;0;6093.05;0;0.57
6419.76;148;137;0;317.77;0;6151;0;0.59
6479.85;148;134;0;336.76;0;6208.97;0;0.62
6539.93;148;127;0;242.99;0;6261.76;0;0.61
6599.73;148;121;0;163.48;0;6314.3;0;0.59
6659.69;148;118;0;182.82;0;6371.48;0;0.59
6719.63;148;115;0;191.59;0;6428.42;0;0.58
6779.69;148;112;0;205.11;0;6485.68;0;0.59
6839.72;148;111;0;253.37;0;6545.06;0;0.59
6899.72;148;108;0;261.21;0;6602.2;0;0.6
6959.99;148;105;0;283.69;0;6660.27;0;0.61
7019.76;148;98;0;220.59;0;6712.83;0;0.59
7079.76;148;98;0;280.59;0;6772.83;0;0.59
7139.76;148;96;0;311.16;0;6831.36;0;0.58
7199.81;148;93;0;341.8;0;6890.39;0;0.58
7259.95;148;90;0;332.17;0;6947.05;0;0.59
7319.7;148;84;0;268.81;0;7000.73;0;0.57
7379.7;148;83;0;306.48;0;7059.68;0;0.58
7439.96;148;78;0;265.88;0;7115.43;0;0.61
7499.88;148;77;0;322.87;0;7175.27;0;0.6
7559.87;148;74;0;347.81;0;7233.94;0;0.61
