#TimeStamp;Bot;Pod;OutputStation
67.01;0;166;1
73.29;3;49;0
77.06;0;166;1
83.09;3;49;0
87.01;0;166;1
93.23;3;49;0
97.01;0;166;1
103.23;3;49;0
107.01;0;166;1
113.23;3;49;0
117.01;0;166;1
123.06;3;49;0
127.05;0;166;1
133.33;3;49;0
137.04;0;166;1
143.25;3;49;0
147.11;0;166;1
153.25;3;49;0
157.1;0;166;1
163.25;3;49;0
167.04;0;166;1
173.14;3;49;0
177.04;0;166;1
183.25;3;49;0
187.02;0;166;1
193.36;3;49;0
197.07;0;166;1
203.29;3;49;0
207.07;0;166;1
213.38;3;49;0
217.16;4;126;1
223.41;3;49;0
227.12;4;126;1
233.29;1;169;0
237.1;4;126;1
243.24;1;169;0
246.96;4;126;1
253.14;1;169;0
257.2;4;126;1
263.45;1;169;0
267.32;4;126;1
273.72;1;169;0
277.62;4;126;1
283.84;1;169;0
287.77;4;126;1
293.5;1;169;0
297.58;4;126;1
303.75;1;169;0
307.77;4;126;1
313.79;1;169;0
317.78;4;126;1
323.68;1;169;0
327.77;4;126;1
333.77;1;169;0
337.79;4;126;1
343.79;1;169;0
347.57;4;126;1
353.88;1;169;0
357.92;4;126;1
364.3;1;169;0
367.97;4;126;1
374.35;1;169;0
377.63;2;159;1
384.4;1;169;0
387.85;2;159;1
394.54;5;127;0
397.98;2;159;1
404.95;5;127;0
408.02;2;159;1
415.19;5;127;0
418.13;2;159;1
425.61;5;127;0
428.19;2;159;1
435.75;5;127;0
438.55;2;159;1
445.75;5;127;0
448.55;2;159;1
455.75;5;127;0
458.61;2;159;1
465.75;5;127;0
469.03;2;159;1
475.79;5;127;0
479.07;2;159;1
485.79;5;127;0
489.49;2;159;1
495.72;5;127;0
499.91;3;49;1
506.01;5;127;0
509.75;1;169;1
515.89;5;127;0
519.94;1;169;1
525.88;5;127;0
529.94;1;169;1
535.93;5;127;0
539.64;1;169;1
545.88;5;127;0
549.94;1;169;1
556.02;5;127;0
559.95;1;169;1
566.06;5;127;0
569.95;1;169;1
576.48;5;127;0
580;1;169;1
586.68;0;166;0
589.95;1;169;1
596.9;0;166;0
600.32;1;169;1
607.09;0;166;0
610.32;1;169;1
617.09;0;166;0
620.32;1;169;1
627.13;4;126;0
630.32;1;169;1
637.32;4;126;0
640;1;169;1
647.49;4;126;0
650.37;3;58;1
657.74;4;126;0
660;3;58;1
668.16;4;126;0
670.26;3;58;1
678.4;4;126;0
680;3;58;1
688.58;4;126;0
690.26;3;58;1
698.82;4;126;0
700;3;58;1
708.86;4;126;0
710.35;5;127;1
718.95;4;126;0
720;5;127;1
728.82;4;126;0
730.26;5;127;1
738.82;4;126;0
740;5;127;1
749;2;4;0
750.14;5;127;1
759.42;2;4;0
760.41;5;127;1
769.84;2;4;0
770.26;5;127;1
780;2;4;0
780.26;5;127;1
790.26;2;4;0
790.26;5;127;1
800.46;1;169;0
800.46;5;127;1
810.73;5;127;1
810.88;1;169;0
820.84;5;127;1
821.3;1;169;0
830.84;5;127;1
831.51;3;58;0
840.85;0;166;1
841.32;3;58;0
850.9;4;126;1
851.36;3;58;0
860.91;4;126;1
861.53;5;127;0
870.85;4;126;1
871.53;5;127;0
880.84;4;126;1
881.49;5;127;0
890.97;4;126;1
891.49;5;127;0
901.07;2;4;1
901.32;5;127;0
911.2;2;4;1
911.67;5;127;0
921.25;2;4;1
921.67;5;127;0
931.67;5;127;0
931.67;2;4;1
941.68;2;4;1
941.72;5;127;0
951.72;5;127;0
951.72;2;4;1
961.95;0;166;0
961.95;2;4;1
972.04;2;4;1
972.14;0;166;0
982.14;1;169;1
982.34;4;126;0
992.19;3;58;1
992.54;4;126;0
1002.2;3;58;1
1002.58;4;126;0
1012.11;3;58;1
1012.89;4;126;0
1022.12;3;58;1
1022.9;4;126;0
1032.28;3;58;1
1033;2;4;0
1042.18;5;127;1
1043.18;2;4;0
1052.1;5;127;1
1053.31;2;4;0
1062.1;5;127;1
1063.17;2;4;0
1072.11;0;166;1
1073.42;2;4;0
1082.23;0;166;1
1083.84;3;58;0
1092.29;0;166;1
1093.87;3;58;0
1102.01;4;126;1
1103.75;3;58;0
1112.34;4;126;1
1113.85;1;27;0
1122.76;4;126;1
1123.72;1;27;0
1132.82;4;126;1
1133.72;1;27;0
1142.51;4;126;1
1143.99;1;27;0
1152.59;2;4;1
1154.44;1;27;0
1162.86;2;4;1
1164.86;1;27;0
1174.97;1;27;0
1185.39;1;27;0
1195.69;1;27;0
1205.58;5;30;0
1215.76;5;30;0
1218.05;1;27;1
1225.69;5;30;0
1228.01;1;27;1
1235.69;5;30;0
1238.01;1;27;1
1245.69;5;30;0
1248.01;1;27;1
1255.91;5;30;0
1258.34;1;27;1
1266.33;4;126;0
1268.76;1;27;1
1276.31;4;126;0
1278.93;1;27;1
1286.34;4;126;0
1288.86;5;30;1
1296.32;4;126;0
1299.06;5;30;1
1306.16;4;126;0
1309.43;5;30;1
1316.2;4;126;0
1319.43;5;30;1
1326.43;4;126;0
1329.48;5;30;1
1336.58;4;126;0
1339.79;5;30;1
1346.51;4;126;0
1356.6;4;126;0
1366.77;0;67;0
1376.75;0;67;0
1379.9;4;126;1
1386.85;0;67;0
1389.79;4;126;1
1397.27;0;67;0
1399.79;4;126;1
1407.29;0;67;0
1409.79;4;126;1
1417.69;0;67;0
1419.79;4;126;1
1428.06;0;67;0
1437.73;0;67;0
1447.89;0;67;0
1457.78;0;67;0
1467.78;0;67;0
1477.95;2;4;0
1487.83;2;4;0
1491.16;0;67;1
1498.06;2;4;0
1501.16;0;67;1
1508.11;2;4;0
1511.53;0;67;1
1518.55;2;4;0
1521.26;0;67;1
1528.78;3;0;0
1539;3;0;0
1541.99;2;4;1
1549.12;3;0;0
1551.64;2;4;1
1559.54;3;0;0
1562.03;2;4;1
1569.8;3;0;0
1572.06;2;4;1
1579.8;3;0;0
1582.45;2;4;1
1589.8;3;0;0
1592.48;2;4;1
1599.96;3;0;0
1602.52;2;4;1
1609.85;3;0;0
1620;3;0;0
1629.66;3;0;0
1640.04;3;0;0
1650.13;3;0;0
1660.42;3;0;0
1670.13;3;0;0
1680.42;3;0;0
1690.13;3;0;0
1700.42;1;27;0
1710.39;1;27;0
1713.46;3;0;1
1720.46;5;30;0
1723.51;3;0;1
1730.56;5;30;0
1734.95;1;27;1
1740.6;4;126;0
1745.16;1;27;1
1750.78;4;126;0
1754.99;1;27;1
1760.85;0;67;0
1765.19;5;30;1
1771.27;0;67;0
1781.67;2;4;0
1791.7;2;4;0
1795.25;0;67;1
1801.67;2;4;0
1811.5;2;4;0
1821.67;2;4;0
1831.74;2;4;0
1842.1;2;4;0
1852.15;2;4;0
1862.1;2;4;0
1871.85;2;4;0
1882.1;2;4;0
1891.85;2;4;0
1902.1;2;4;0
1911.77;3;0;0
1922.11;3;0;0
1932;3;0;0
1942.19;1;27;0
1952.23;1;27;0
1962.59;1;27;0
1972.77;1;27;0
1982.88;1;27;0
1992.68;1;27;0
2002.94;1;27;0
2012.88;3;57;1
2012.97;1;27;0
2023.05;5;30;0
2033.19;5;30;0
2043.35;5;30;0
2053.45;5;30;0
2063.29;0;67;0
2073.48;0;67;0
2083.48;0;67;0
2087.75;3;65;1
2093.34;4;85;0
2097.98;3;65;1
2103.53;4;85;0
2108.02;3;65;1
2113.95;4;85;0
2118.44;3;65;1
2124.37;4;85;0
2128.7;3;65;1
2134.79;4;85;0
2138.67;3;65;1
2144.94;4;85;0
2148.86;3;65;1
2155.21;4;85;0
2159.28;3;65;1
2165.67;2;167;0
2169.14;3;65;1
2176.09;2;167;0
2179.33;3;65;1
2185.99;2;167;0
2189.38;3;65;1
2196.38;2;167;0
2199.44;3;65;1
2206.56;2;167;0
2209.55;3;65;1
2216.67;2;167;0
2219.48;3;65;1
2226.65;2;167;0
2229.36;3;65;1
2236.7;2;167;0
2239.31;3;65;1
2246.52;2;167;0
2249.36;3;65;1
2256.53;2;167;0
2259.47;5;16;1
2266.65;2;167;0
2269.36;5;16;1
2276.4;2;167;0
2279.32;5;16;1
2286.4;2;167;0
2289.32;5;16;1
2296.4;2;167;0
2299.32;5;16;1
2306.4;2;167;0
2309.67;5;16;1
2316.52;2;167;0
2319.8;5;16;1
2326.54;2;167;0
2329.84;0;39;1
2336.66;1;148;0
2339.84;0;39;1
2346.79;1;148;0
2349.88;0;39;1
2356.84;1;148;0
2359.78;0;39;1
2367.07;1;148;0
2369.78;0;39;1
2377.26;1;148;0
2379.78;0;39;1
2387.49;1;148;0
2389.78;0;39;1
2397.49;1;148;0
2399.78;0;39;1
2407.46;1;148;0
2409.78;4;125;1
2417.35;3;65;0
2419.63;4;125;1
2427.31;3;65;0
2429.76;4;125;1
2437.49;3;65;0
2439.78;4;125;1
2447.68;3;65;0
2449.78;4;125;1
2457.91;3;65;0
2459.78;4;125;1
2467.91;3;65;0
2469.78;4;125;1
2477.87;5;16;0
2479.78;4;125;1
2487.94;5;16;0
2489.93;4;125;1
2497.91;5;16;0
2500.35;4;125;1
2507.91;5;16;0
2510.77;4;125;1
2518.1;5;16;0
2520.93;2;167;1
2528.52;5;16;0
2531.02;2;167;1
2538.66;5;16;0
2541.1;2;167;1
2548.64;5;16;0
2551.52;1;148;1
2558.94;0;39;0
2561.56;3;65;1
2569.1;0;39;0
2575.23;5;16;1
2579.26;0;39;0
2585.11;5;16;1
2589.39;0;39;0
2595.3;5;16;1
2599.68;0;39;0
2605.46;5;16;1
2609.81;0;39;0
2615.46;5;16;1
2619.81;0;39;0
2625.46;5;16;1
2629.81;0;39;0
2635.39;5;16;1
2639.81;4;125;0
2645.62;5;16;1
2649.79;4;125;0
2655.46;5;16;1
2659.81;4;125;0
2665.46;5;16;1
2670;4;125;0
2675.46;5;16;1
2680;4;125;0
2685.46;5;16;1
2690.23;4;125;0
2695.39;5;16;1
2700.01;2;167;0
2705.46;5;16;1
2710.14;2;167;0
2715.46;5;16;1
2720;2;167;0
2725.39;5;16;1
2730.27;1;148;0
2735.72;5;16;1
2740;1;148;0
2745.88;5;16;1
2750.42;1;148;0
2755.89;0;39;1
2760.45;3;65;0
2765.9;4;125;1
2770.37;3;65;0
2776.14;4;125;1
2780.97;0;39;0
2786.39;4;125;1
2790.94;0;39;0
2796.4;4;125;1
2801.11;5;16;0
2806.61;4;125;1
2811.32;5;16;0
2816.73;4;125;1
2821.47;5;16;0
2826.54;4;125;1
2831.34;5;16;0
2836.57;2;167;1
2841.27;5;16;0
2846.79;2;167;1
2851.23;4;125;0
2857.08;1;148;1
2867.05;1;148;1
2875.74;2;167;0
2876.84;1;148;1
2886;2;167;0
2886.89;1;148;1
2896.39;2;167;0
2897.02;0;39;1
2907.1;5;16;1
2911.05;1;148;0
2916.89;5;16;1
2921.09;1;148;0
2927.01;5;16;1
2931.14;1;148;0
2937.08;3;111;1
2947.21;3;111;1
2957.63;3;111;1
2967.41;3;111;1
2977.05;0;52;0
2977.67;3;111;1
2987.3;0;52;0
2987.3;3;111;1
2997.72;0;52;0
2997.72;3;111;1
3008.01;0;52;0
3008.01;4;7;1
3018.06;0;52;0
3018.06;4;7;1
3028.48;0;52;0
3028.48;4;7;1
3038.9;0;52;0
3038.9;4;7;1
3049.32;0;52;0
3049.32;4;7;1
3059.42;0;52;0
3059.74;4;7;1
3069.74;0;52;0
3070;2;77;1
3080;0;52;0
3080.45;5;41;1
3090.36;0;52;0
3090.78;5;41;1
3100.79;0;52;0
3100.83;1;137;1
3110.57;0;52;0
3110.83;1;137;1
3120.63;0;52;0
3130.72;0;52;0
3140.55;0;52;0
3150.52;0;52;0
3160.42;0;52;0
3170.52;0;52;0
3180.42;0;52;0
3190.52;0;52;0
3200.83;3;111;0
3211.08;3;111;0
3213.9;0;52;1
3220.84;3;111;0
3223.77;0;52;1
3231.11;3;111;0
3233.77;0;52;1
3240.84;3;111;0
3243.77;0;52;1
3251.11;3;111;0
3253.77;0;52;1
3260.84;3;111;0
3263.77;0;52;1
3271.11;3;111;0
3273.77;0;52;1
3280.84;3;111;0
3283.77;0;52;1
3291.11;3;111;0
3293.77;0;52;1
3301.06;4;7;0
3303.97;0;52;1
3311.02;4;7;0
3314.07;0;52;1
3321.25;4;7;0
3324.14;3;111;1
3331.39;4;7;0
3334.19;3;111;1
3341.26;4;7;0
3344.19;3;111;1
3351.54;4;7;0
3354.19;3;111;1
3361.29;4;7;0
3364.57;3;111;1
3371.34;4;7;0
3374.61;3;111;1
3381.26;4;7;0
3384.67;3;111;1
