#TimeStamp;Runtime;Requests
0.54;0.03;6
2.58;0;1
3.67;0;3
4.93;0;1
5.96;0;1
6.96;0;2
8.36;0;1
9.42;0;1
10.46;0;1
11.62;0;3
12.71;0;1
14.21;0;1
15.79;0;1
17.3;0;1
18.39;0;1
19.48;0;1
24.06;0;1
25.71;0;1
26.81;0;1
28.91;0;1
30.2;0;2
31.4;0;1
32.44;0;1
33.67;0;1
35.25;0;1
36.25;0;1
37.28;0;2
38.33;0;2
39.37;0;3
40.42;0;1
41.46;0;1
42.46;0;3
43.5;0;2
45.59;0;1
46.73;0;2
47.87;0;1
48.93;0;1
50.18;0;2
53.24;0;1
54.33;0;1
55.68;0;1
56.83;0;2
59.22;0;1
60.24;0;1
61.54;0;1
62.91;0;1
64.04;0;2
66.13;0;1
67.74;0;1
68.75;0;2
71.42;0;1
72.67;0;3
74.71;0;1
76.26;0;1
78.21;0;1
81.09;0;1
86.17;0;1
93.72;0;1
210.57;0;1
216.43;0;1
221.93;0;1
227.08;0;1
232.2;0;1
239.04;0;1
351.44;0;1
371.18;0;1
376.69;0;1
382.61;0;1
388.02;0;1
392.85;0;1
399.69;0;1
429.91;0;1
493.79;0;1
503.16;0;1
505.96;0;1
508.66;0;1
510.13;0;1
512.8;0;1
514.83;0;1
518.25;0;1
520.46;0;1
533.67;0;1
536.34;0;1
538.59;0;1
539.59;0;1
540.64;0;1
543;0;1
544.09;0;1
546.76;0;1
547.84;0;1
554.93;0;1
565;0;1
566.67;0;1
567.71;0;1
570;0;1
571.51;0;1
580.34;0;1
582.55;0;1
584.23;0;1
585.34;0;1
586.43;0;1
590.76;0;1
592.18;0;1
611.21;0;1
621.21;0;1
626.04;0;1
632.88;0;1
644.25;0;1
649.75;0;1
655.26;0;1
672.47;0;1
704;0;1
709.89;0;1
715.41;0;1
742.89;0;1
747.72;0;1
754.56;0;1
794.34;0;1
799.18;0;1
806.39;0;1
814.35;0;1
825.61;0;1
830.84;0;1
834.72;0;1
839.01;0;1
840.23;0;1
841.23;0;1
843.9;0;1
845.19;0;1
846.28;0;2
848.07;0;1
850.69;0;1
855.61;0;1
856.7;0;1
860.45;0;1
867.66;0;1
894.72;0;1
900.23;0;1
905.73;0;1
956.03;0;1
960.87;0;1
967.7;0;1
975.61;0;1
976.7;0;1
981.11;0;1
982.14;0;1
985.61;0;1
986.61;0;1
990.31;0;1
992.36;0;1
995.03;0;1
996.09;0;1
999.2;0;1
1001.11;0;1
1006.61;0;1
1012.06;0;1
1019.68;0;1
1022.86;0;1
1026.36;0;2
1031.19;0;1
1036.21;0;1
1038.03;0;1
1039.12;0;1
1041.71;0;1
1042.74;0;1
1045.14;0;1
1047.22;0;1
1050.59;0;1
1052.64;0;1
1066.21;0;1
1071.44;0;1
1077.35;0;1
1078.44;0;1
1082.19;0;1
1089.02;0;1
1090.36;0;1
1095.38;0;1
1096.52;0;1
1098.57;0;1
1102.34;0;1
1107.17;0;2
1111.39;0;1
1112.76;0;1
1114.11;0;1
1115.8;0;1
1116.99;0;1
1118.21;0;1
1119.46;0;1
1122.93;0;1
1123.99;0;2
1126.77;0;1
1136.16;0;1
1139.5;0;1
1140.59;0;1
1143;0;1
1144.41;0;1
1146.41;0;1
1147.41;0;1
1148.45;0;1
1151.92;0;1
1153.3;0;2
1157.42;0;1
1160.8;0;1
1165.01;0;1
1166.79;0;1
1170.9;0;1
1172.29;0;1
1175.75;0;1
1176.84;0;1
1179.2;0;1
1180.39;0;1
1181.66;0;1
1185.73;0;1
1199.21;0;1
1204.05;0;1
1210.88;0;1
1260;0;1
1264.84;0;1
1271.67;0;1
1280;0;1
1282.68;0;1
1288.19;0;1
1292.36;0;1
1295.23;0;1
1340.42;0;1
1343.74;0;1
1349.24;0;1
1353.41;0;1
1360.42;0;1
1365.26;0;1
1372.09;0;1
1380;0;1
1423.16;0;1
1429.12;0;1
1432;0;1
1433.29;0;1
1472;0;1
1476.86;0;1
1484.09;0;1
1522.86;0;1
1525.2;0;1
1527.69;0;1
1530.87;0;1
1534.53;0;1
1535.62;0;1
1538.49;0;1
1553.42;0;1
1586.5;0;1
1606.5;0;1
1612.57;0;1
1616.73;0;1
1664.35;0;1
1694.35;0;1
1699.21;0;1
1706.04;0;1
1714.35;0;1
1719.6;0;1
1726.43;0;1
1727.69;0;1
1733.19;0;1
1734.28;0;1
1737.36;0;1
1739.12;0;1
1740.23;0;1
1742.7;0;1
1746.15;0;1
1754.71;0;1
1758.85;0;1
1759.94;0;1
1764.57;0;1
1765.87;0;1
1769.12;0;1
1770.49;0;1
1772.08;0;1
1774.63;0;1
1775.7;0;1
1778.79;0;1
1780.56;0;1
1781.67;0;1
1783.71;0;1
1786.25;0;1
1787.8;0;1
1789.21;0;1
1791.7;0;1
1793.77;0;1
1794.79;0;1
1798.92;0;1
1801.62;0;1
1804.74;0;1
1808.91;0;1
1813.74;0;1
1815.83;0;1
1856.07;0;1
1906.07;0;1
1915.56;0;1
1930.91;0;1
1935.74;0;1
1936.82;0;1
1938.87;0;1
1957.59;0;1
1958.74;0;1
1960;0;1
1966.91;0;1
1970.41;0;1
1975.88;0;1
1977.13;0;1
1982.83;0;1
1986.01;0;1
2016.47;0;1
2017.64;0;1
2033.15;0;1
2037.36;0;1
2039.19;0;1
2040.45;0;1
2042.68;0;1
2045.9;0;1
2048.06;0;1
2049.36;0;1
2050.68;0;1
2056.5;0;1
2057.63;0;1
2059.16;0;1
2060.37;0;1
2063.24;0;1
2068.08;0;1
2071.13;0;1
2076.53;0;1
2079.66;0;1
2080.71;0;1
2084.21;0;1
2085.3;0;1
2087.41;0;1
2092.25;0;1
2096.42;0;1
2098.42;0;1
2099.55;0;1
2112.39;0;1
2115.88;0;1
2120.59;0;1
2125.99;0;1
2128.66;0;1
2133.49;0;1
2144.25;0;1
2147.33;0;1
2150.83;0;1
2159.28;0;1
2164.12;0;1
2166.34;0;1
2170.21;0;1
2171.56;0;1
2194.39;0;1
2197.89;0;1
2202.76;0;1
2203.8;0;1
2205.85;0;1
2210.02;0;2
2221.8;0;1
2224.72;0;1
2238.22;0;1
2241.72;0;1
2243.3;0;1
2253.3;0;1
2258.8;0;1
2264.3;0;1
2323.73;0;1
2329.23;0;1
2330.31;0;1
2334.73;0;1
2335.82;0;1
2338.29;0;1
2343.77;0;1
2345.7;0;1
2371.14;0;1
2403.81;0;1
2409.31;0;1
2411.25;0;1
2414.82;0;1
