#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.82;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.74;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
179.74;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.74;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.77;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.82;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.8;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.61;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.97;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.74;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.97;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.97;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.89;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.75;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1019.65;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.74;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.66;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1319.99;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1379.61;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1439.61;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1499.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1559.86;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1619.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1679.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1739.85;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1799.99;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1859.72;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1919.65;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1979.71;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2039.71;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/1
2099.83;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/5
2159.89;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
2219.58;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
2279.69;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
2339.69;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
2399.69;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
2459.68;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/6
