#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;38.79;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0,RP/0
59.94;40.66;0.36;PP/0.05,TA/0.05,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.94;40.67;0.52;PP/0.05,TA/0.17,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
179.94;40.68;0.67;PP/0.05,TA/0.31,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
239.9;41.16;0.83;PP/0.05,TA/0.47,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
299.7;41.16;0.99;PP/0.05,TA/0.63,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
359.77;41.25;1.14;PP/0.05,TA/0.75,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
419.9;41.25;1.28;PP/0.05,TA/0.89,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
479.68;41.25;1.44;PP/0.05,TA/1.03,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
539.7;41.32;1.6;PP/0.05,TA/1.14,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
599.59;41.32;1.79;PP/0.05,TA/1.32,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
659.76;41.36;1.96;PP/0.05,TA/1.49,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
719.76;41.36;2.12;PP/0.05,TA/1.65,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
779.76;41.36;2.29;PP/0.05,TA/1.79,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
839.87;41.42;2.46;PP/0.05,TA/1.93,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
899.87;41.42;2.63;PP/0.05,TA/2.09,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
959.91;41.42;2.81;PP/0.05,TA/2.2,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1019.97;41.44;2.95;PP/0.05,TA/2.33,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1079.89;41.44;3.08;PP/0.05,TA/2.44,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1139.97;41.47;3.22;PP/0.06,TA/2.53,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1199.99;41.49;3.31;PP/0.06,TA/2.55,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1259.99;41.56;3.35;PP/0.07,TA/2.55,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1319.98;41.56;3.37;PP/0.07,TA/2.55,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1379.98;41.68;3.38;PP/0.07,TA/2.57,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1439.98;41.69;3.4;PP/0.07,TA/2.58,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1499.98;41.69;3.41;PP/0.07,TA/2.58,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1559.98;41.69;3.43;PP/0.07,TA/2.58,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1619.98;41.7;3.44;PP/0.07,TA/2.6,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1679.98;41.7;3.46;PP/0.07,TA/2.61,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1739.98;41.72;3.49;PP/0.07,TA/2.62,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1799.98;41.72;3.5;PP/0.07,TA/2.63,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1859.98;41.72;3.52;PP/0.07,TA/2.65,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1919.98;41.75;3.55;PP/0.07,TA/2.65,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
1979.98;41.77;3.56;PP/0.07,TA/2.67,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2039.98;41.77;3.58;PP/0.07,TA/2.67,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2099.98;41.77;3.6;PP/0.07,TA/2.68,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2159.98;41.78;3.61;PP/0.07,TA/2.7,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2219.98;41.78;3.64;PP/0.07,TA/2.71,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2279.98;41.78;3.66;PP/0.07,TA/2.71,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2339.98;41.79;3.67;PP/0.07,TA/2.71,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2399.98;41.82;3.69;PP/0.07,TA/2.72,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
2459.98;41.82;3.7;PP/0.07,TA/2.72,IS/0,PS/0,RB/0.02,OB/0.02,RP/0
