#TimeStamp;Bot;Pod;OutputStation
39.61;15;92;1
42.97;1;136;2
49.3;15;92;1
52.97;1;136;2
57.88;3;37;0
59.62;15;92;1
62.74;1;136;2
67.76;3;37;0
69.67;15;92;1
73.03;1;136;2
77.96;3;37;0
79.69;15;92;1
83.07;1;136;2
87.89;3;37;0
89.69;15;92;1
92.83;1;136;2
98;3;37;0
99.51;15;92;1
102.78;1;136;2
107.82;3;37;0
109.49;15;92;1
112.78;1;136;2
117.82;3;37;0
119.71;15;92;1
123.05;1;136;2
128.04;3;37;0
129.71;15;92;1
132.8;1;136;2
138.02;3;37;0
139.76;15;92;1
143.04;1;136;2
148.02;3;37;0
149.91;15;92;1
153.04;1;136;2
157.81;3;37;0
159.9;15;92;1
163.04;1;136;2
167.8;3;37;0
169.89;15;92;1
173.03;1;136;2
177.97;3;37;0
180;15;92;1
182.78;1;136;2
188;3;37;0
190.09;15;92;1
192.94;1;136;2
198;3;37;0
200.04;15;92;1
202.97;1;136;2
207.73;3;37;0
210.28;15;92;1
212.95;1;136;2
217.88;3;37;0
220.28;15;92;1
222.99;1;136;2
227.9;3;37;0
230.26;15;92;1
232.94;1;136;2
237.95;3;37;0
240.28;15;92;1
243.11;1;136;2
247.95;3;37;0
250.02;15;92;1
253.12;1;136;2
257.68;3;37;0
260.35;15;92;1
263.32;1;136;2
268.09;3;37;0
270.22;15;92;1
273.35;1;136;2
278.51;3;37;0
280.2;15;92;1
283.33;1;136;2
288.51;3;37;0
289.98;15;92;1
293.06;1;136;2
298.91;3;37;0
300;15;92;1
303.4;1;136;2
308.71;3;37;0
310.42;15;92;1
313.04;1;136;2
318.71;3;37;0
320.42;15;92;1
323.3;1;136;2
328.95;3;37;0
330.2;15;92;1
333.33;1;136;2
338.97;3;37;0
340.42;15;92;1
343.1;8;331;2
348.98;3;37;0
350.4;15;92;1
353.11;8;331;2
358.88;3;37;0
360.5;15;92;1
363.27;8;331;2
369.02;3;37;0
370.33;15;92;1
373.11;8;331;2
