#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;39.49;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.91;40.61;0.36;PP/0.04,TA/0.08,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
119.88;41.18;0.57;PP/0.04,TA/0.22,IS/0.05,PS/0,RB/0.01,OB/0.03,RP/0
179.77;41.55;0.86;PP/0.04,TA/0.42,IS/0.1,PS/0,RB/0.01,OB/0.05,RP/0
239.88;41.73;1.25;PP/0.04,TA/0.68,IS/0.18,PS/0,RB/0.01,OB/0.08,RP/0
299.68;42.04;1.74;PP/0.04,TA/0.99,IS/0.31,PS/0,RB/0.01,OB/0.11,RP/0
360;42.15;2.28;PP/0.04,TA/1.33,IS/0.44,PS/0,RB/0.01,OB/0.16,RP/0
419.64;42.34;2.88;PP/0.04,TA/1.73,IS/0.58,PS/0,RB/0.01,OB/0.2,RP/0
479.84;42.35;3.31;PP/0.04,TA/2.11,IS/0.62,PS/0,RB/0.01,OB/0.2,RP/0
539.84;42.48;3.76;PP/0.04,TA/2.51,IS/0.66,PS/0,RB/0.01,OB/0.2,RP/0
599.65;42.48;4.23;PP/0.05,TA/2.92,IS/0.7,PS/0,RB/0.01,OB/0.2,RP/0
659.77;42.54;4.67;PP/0.05,TA/3.31,IS/0.73,PS/0,RB/0.01,OB/0.21,RP/0
719.71;42.55;5.08;PP/0.05,TA/3.68,IS/0.77,PS/0,RB/0.01,OB/0.21,RP/0
779.71;42.55;5.3;PP/0.05,TA/3.88,IS/0.78,PS/0,RB/0.01,OB/0.21,RP/0
839.84;42.65;5.58;PP/0.05,TA/4.11,IS/0.81,PS/0,RB/0.01,OB/0.21,RP/0
899.76;42.65;5.99;PP/0.05,TA/4.48,IS/0.85,PS/0,RB/0.01,OB/0.21,RP/0
959.83;42.65;6.4;PP/0.06,TA/4.85,IS/0.88,PS/0,RB/0.01,OB/0.21,RP/0
1019.89;42.67;6.62;PP/0.06,TA/5.05,IS/0.89,PS/0,RB/0.01,OB/0.21,RP/0
1079.89;42.67;6.83;PP/0.06,TA/5.23,IS/0.91,PS/0,RB/0.01,OB/0.21,RP/0
1139.61;42.67;7.08;PP/0.06,TA/5.45,IS/0.93,PS/0,RB/0.01,OB/0.21,RP/0
1199.89;42.67;7.48;PP/0.06,TA/5.81,IS/0.97,PS/0,RB/0.01,OB/0.22,RP/0
1259.92;42.67;7.92;PP/0.06,TA/6.19,IS/1,PS/0,RB/0.01,OB/0.23,RP/0
1319.86;42.67;8.34;PP/0.06,TA/6.57,IS/1.04,PS/0,RB/0.01,OB/0.23,RP/0
1379.86;42.73;8.79;PP/0.07,TA/6.98,IS/1.07,PS/0,RB/0.01,OB/0.23,RP/0
1439.86;42.73;9.23;PP/0.07,TA/7.37,IS/1.11,PS/0,RB/0.01,OB/0.23,RP/0
1499.96;42.73;9.66;PP/0.07,TA/7.75,IS/1.14,PS/0,RB/0.01,OB/0.23,RP/0
1559.69;42.49;10.09;PP/0.07,TA/8.13,IS/1.17,PS/0,RB/0.01,OB/0.23,RP/0
1619.73;42.49;10.51;PP/0.07,TA/8.5,IS/1.2,PS/0,RB/0.01,OB/0.24,RP/0
1679.63;42.49;10.94;PP/0.07,TA/8.88,IS/1.24,PS/0,RB/0.01,OB/0.24,RP/0
1739.79;42.49;11.37;PP/0.08,TA/9.26,IS/1.27,PS/0,RB/0.01,OB/0.24,RP/0
1799.82;42.48;11.78;PP/0.08,TA/9.63,IS/1.3,PS/0,RB/0.01,OB/0.25,RP/0
1859.66;42.55;12.03;PP/0.08,TA/9.84,IS/1.33,PS/0,RB/0.01,OB/0.25,RP/0
1919.66;42.55;12.23;PP/0.08,TA/10.03,IS/1.34,PS/0,RB/0.01,OB/0.25,RP/0
1979.68;42.55;12.48;PP/0.08,TA/10.24,IS/1.36,PS/0,RB/0.01,OB/0.25,RP/0
2039.75;42.65;12.89;PP/0.09,TA/10.61,IS/1.39,PS/0,RB/0.01,OB/0.25,RP/0
2099.64;42.67;13.33;PP/0.09,TA/11,IS/1.43,PS/0,RB/0.01,OB/0.25,RP/0
2159.63;42.72;13.81;PP/0.11,TA/11.41,IS/1.46,PS/0,RB/0.01,OB/0.26,RP/0
2219.91;42.72;14.14;PP/0.12,TA/11.69,IS/1.48,PS/0,RB/0.01,OB/0.26,RP/0
2279.77;42.72;14.36;PP/0.12,TA/11.89,IS/1.5,PS/0,RB/0.01,OB/0.26,RP/0
2339.99;42.72;14.8;PP/0.12,TA/12.27,IS/1.53,PS/0,RB/0.01,OB/0.26,RP/0
2399.93;42.88;15.18;PP/0.13,TA/12.6,IS/1.56,PS/0,RB/0.01,OB/0.27,RP/0
2459.95;42.88;15.56;PP/0.13,TA/12.94,IS/1.59,PS/0,RB/0.01,OB/0.27,RP/0
2519.9;42.88;15.73;PP/0.13,TA/13.09,IS/1.61,PS/0,RB/0.01,OB/0.27,RP/0
2579.8;42.88;15.94;PP/0.13,TA/13.28,IS/1.62,PS/0,RB/0.01,OB/0.27,RP/0
2639.98;42.98;16.24;PP/0.13,TA/13.54,IS/1.64,PS/0,RB/0.01,OB/0.27,RP/0
2699.61;42.96;16.61;PP/0.14,TA/13.86,IS/1.67,PS/0,RB/0.01,OB/0.28,RP/0
2759.97;42.96;16.82;PP/0.14,TA/14.05,IS/1.69,PS/0,RB/0.01,OB/0.28,RP/0
2819.68;43.04;17.02;PP/0.14,TA/14.23,IS/1.7,PS/0,RB/0.01,OB/0.28,RP/0
2879.71;43.04;17.22;PP/0.14,TA/14.41,IS/1.72,PS/0,RB/0.01,OB/0.28,RP/0
2939.71;43.04;17.42;PP/0.14,TA/14.58,IS/1.73,PS/0,RB/0.01,OB/0.28,RP/0
2999.67;43.04;17.62;PP/0.14,TA/14.76,IS/1.75,PS/0,RB/0.01,OB/0.28,RP/0
3059.67;42.92;18.02;PP/0.14,TA/15.11,IS/1.77,PS/0,RB/0.01,OB/0.28,RP/0
3119.72;42.92;18.41;PP/0.15,TA/15.46,IS/1.8,PS/0,RB/0.01,OB/0.28,RP/0
3179.83;42.92;18.86;PP/0.15,TA/15.85,IS/1.84,PS/0,RB/0.01,OB/0.29,RP/0
3239.82;42.92;19.27;PP/0.15,TA/16.21,IS/1.87,PS/0,RB/0.01,OB/0.29,RP/0
3299.99;43.03;19.76;PP/0.16,TA/16.64,IS/1.9,PS/0,RB/0.01,OB/0.29,RP/0
3359.97;43.03;20.19;PP/0.16,TA/17.02,IS/1.93,PS/0,RB/0.01,OB/0.3,RP/0
3419.59;43.03;20.48;PP/0.17,TA/17.27,IS/1.95,PS/0,RB/0.01,OB/0.3,RP/0
3479.96;43.15;20.78;PP/0.17,TA/17.53,IS/1.97,PS/0,RB/0.01,OB/0.3,RP/0
3539.96;43.15;21.18;PP/0.18,TA/17.89,IS/2,PS/0,RB/0.01,OB/0.3,RP/0
3599.64;43.05;21.59;PP/0.18,TA/18.25,IS/2.03,PS/0,RB/0.01,OB/0.31,RP/0
3659.73;43.05;21.98;PP/0.18,TA/18.6,IS/2.05,PS/0,RB/0.01,OB/0.31,RP/0
3719.76;43.05;22.18;PP/0.19,TA/18.77,IS/2.07,PS/0,RB/0.01,OB/0.31,RP/0
3779.65;43.06;22.37;PP/0.19,TA/18.94,IS/2.08,PS/0,RB/0.01,OB/0.31,RP/0
3839.65;43.06;22.57;PP/0.19,TA/19.11,IS/2.1,PS/0,RB/0.01,OB/0.31,RP/0
3899.94;43.06;22.76;PP/0.19,TA/19.29,IS/2.11,PS/0,RB/0.01,OB/0.31,RP/0
3959.74;43.06;23.11;PP/0.19,TA/19.6,IS/2.14,PS/0,RB/0.01,OB/0.31,RP/0
4019.68;43.17;23.45;PP/0.19,TA/19.9,IS/2.16,PS/0,RB/0.01,OB/0.32,RP/0
4079.77;43.17;23.65;PP/0.19,TA/20.07,IS/2.18,PS/0,RB/0.01,OB/0.32,RP/0
4139.77;43.17;23.84;PP/0.19,TA/20.25,IS/2.19,PS/0,RB/0.01,OB/0.32,RP/0
4199.82;43.14;24.18;PP/0.2,TA/20.54,IS/2.21,PS/0,RB/0.01,OB/0.32,RP/0
4259.71;43.14;24.65;PP/0.21,TA/20.96,IS/2.25,PS/0,RB/0.01,OB/0.32,RP/0
4319.66;43.14;25;PP/0.22,TA/21.26,IS/2.27,PS/0,RB/0.01,OB/0.32,RP/0
4379.96;43.16;25.42;PP/0.22,TA/21.63,IS/2.29,PS/0,RB/0.01,OB/0.33,RP/0
4439.79;43.29;25.77;PP/0.22,TA/21.93,IS/2.32,PS/0,RB/0.01,OB/0.33,RP/0
4499.59;43.29;26.11;PP/0.22,TA/22.24,IS/2.35,PS/0,RB/0.01,OB/0.33,RP/0
4559.94;43.29;26.48;PP/0.23,TA/22.56,IS/2.38,PS/0,RB/0.01,OB/0.33,RP/0
4619.9;43.27;26.81;PP/0.23,TA/22.86,IS/2.4,PS/0,RB/0.01,OB/0.33,RP/0
4679.61;43.27;27.18;PP/0.23,TA/23.19,IS/2.43,PS/0,RB/0.01,OB/0.34,RP/0
4739.97;43.27;27.53;PP/0.23,TA/23.49,IS/2.46,PS/0,RB/0.01,OB/0.34,RP/0
4799.88;43.27;27.72;PP/0.23,TA/23.66,IS/2.47,PS/0,RB/0.01,OB/0.34,RP/0
4859.88;43.27;27.9;PP/0.23,TA/23.83,IS/2.48,PS/0,RB/0.01,OB/0.34,RP/0
4919.96;43.27;28.09;PP/0.23,TA/24,IS/2.49,PS/0,RB/0.01,OB/0.34,RP/0
4979.8;43.27;28.28;PP/0.24,TA/24.16,IS/2.51,PS/0,RB/0.01,OB/0.34,RP/0
5039.67;43.34;28.65;PP/0.24,TA/24.49,IS/2.54,PS/0,RB/0.01,OB/0.35,RP/0
5099.67;43.34;29.02;PP/0.24,TA/24.83,IS/2.57,PS/0,RB/0.01,OB/0.35,RP/0
5159.77;43.34;29.32;PP/0.24,TA/25.09,IS/2.59,PS/0,RB/0.01,OB/0.35,RP/0
5219.93;43.43;29.61;PP/0.25,TA/25.34,IS/2.61,PS/0,RB/0.01,OB/0.35,RP/0
5279.83;43.43;29.79;PP/0.25,TA/25.5,IS/2.62,PS/0,RB/0.01,OB/0.35,RP/0
5339.68;43.43;30.01;PP/0.25,TA/25.69,IS/2.64,PS/0,RB/0.01,OB/0.36,RP/0
5399.62;43.54;30.31;PP/0.25,TA/25.95,IS/2.66,PS/0,RB/0.01,OB/0.36,RP/0
5459.63;43.54;30.59;PP/0.26,TA/26.2,IS/2.67,PS/0,RB/0.01,OB/0.36,RP/0
5519.67;43.54;30.85;PP/0.26,TA/26.42,IS/2.69,PS/0,RB/0.01,OB/0.36,RP/0
5579.61;43.52;31.22;PP/0.27,TA/26.74,IS/2.71,PS/0,RB/0.01,OB/0.36,RP/0
5639.63;43.51;31.58;PP/0.28,TA/27.05,IS/2.73,PS/0,RB/0.01,OB/0.37,RP/0
5699.92;43.51;31.93;PP/0.28,TA/27.37,IS/2.75,PS/0,RB/0.01,OB/0.37,RP/0
5759.63;43.51;32.29;PP/0.28,TA/27.69,IS/2.78,PS/0,RB/0.01,OB/0.37,RP/0
