#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.96;0;0;0;2;0/59.96;0/34.21,1/40.05;0/0;0/59.96,1/59.96;0/0;0/41,1/27;0/0;0/45,1/34;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/3,1/3
119.93;0;0;0;2;0/119.93;0/34.88,1/40.39;0/0;0/119.93,1/119.93;0/0;0/39,1/21;0/0;0/43,1/29;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/9,1/8
179.96;0;0;0;2;0/179.96;0/35.66,1/41.29;0/0;0/179.96,1/179.96;0/0;0/33,1/22;0/0;0/37,1/30;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/15,1/14
239.98;0;0;0;2;0/239.98;0/36.26,1/42.88;0/0;0/239.98,1/239.98;0/0;0/27,1/23;0/0;0/31,1/31;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/21,1/20
299.68;0;0;0;2;0/299.68;0/37.45,1/43.6;0/0;0/299.68,1/299.68;0/0;0/24,1/21;0/0;0/28,1/29;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/27,1/26
360;0;0;0;2;0/360;0/38.87,1/44.5;0/0;0/360,1/360;0/0;0/18,1/15;0/0;0/22,1/23;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/33,1/32
419.61;0;1;0;2;0/419.61;0/39.73,1/45.75;0/0;0/419.61,1/419.61;0/0;0/13,1/12;0/0;0/16,1/21;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/39,1/38
480;0;1;0;2;0/480;0/40.9,1/47.17;0/0;0/480,1/480;0/0;0/19,1/9;0/0;0/22,1/18;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/45,1/44
539.78;0;2;0;2;0/539.78;0/42.72,1/49.33;0/0;0/539.78,1/539.78;0/0;0/18,1/11;0/0;0/21,1/20;0/0;0/0,1/0;0/0;0/1,1/1;0/0;0/51,1/50
599.79;0;3;0;2;0/599.79;0/45.47,1/51.56;0/0;0/599.79,1/599.79;0/0;0/25,1/19;0/0;0/27,1/28;0/0;0/0,1/0;0/0;0/2,1/1;0/0;0/57,1/56
659.89;0;3;0;2;0/659.89;0/47.48,1/52.41;0/0;0/659.89,1/659.89;0/0;0/22,1/17;0/0;0/24,1/26;0/0;0/0,1/0;0/0;0/2,1/1;0/0;0/63,1/62
719.77;0;4;0;2;0/719.77;0/49.4,1/53.27;0/0;0/719.77,1/719.77;0/0;0/20,1/13;0/0;0/21,1/23;0/0;0/0,1/0;0/0;0/3,1/1;0/0;0/69,1/68
779.89;0;4;0;2;0/779.89;0/51.21,1/54.22;0/0;0/779.89,1/779.89;0/0;0/20,1/7;0/0;0/21,1/17;0/0;0/0,1/0;0/0;0/3,1/1;0/0;0/75,1/74
839.94;0;5;0;2;0/839.94;0/52.2,1/56.16;0/0;0/839.94,1/839.94;0/0;0/20,1/8;0/0;0/22,1/17;0/0;0/0,1/0;0/0;0/3,1/2;0/0;0/81,1/80
899.94;0;6;0;2;0/899.94;0/53.22,1/59.04;0/0;0/899.94,1/899.94;0/0;0/18,1/15;0/0;0/19,1/24;0/0;0/0,1/0;0/0;0/4,1/2;0/0;0/87,1/86
959.94;0;7;0;2;0/959.94;0/54.44,1/60.46;0/0;0/959.94,1/959.94;0/0;0/16,1/8;0/0;0/16,1/18;0/0;0/0,1/0;0/0;0/5,1/2;0/0;0/93,1/92
1019.66;0;9;0;2;0/1019.66;0/55.75,1/61.89;0/0;0/1019.66,1/1019.66;0/0;0/13,1/6;0/0;0/13,1/16;0/0;0/0,1/0;0/0;0/6,1/3;0/0;0/99,1/98
1079.77;0;10;0;2;0/1079.77;0/57.97,1/63.11;0/0;0/1079.77,1/1079.77;0/0;0/18,1/9;0/0;0/20,1/18;0/0;0/0,1/0;0/0;0/6,1/4;0/0;0/104,1/104
1139.66;0;12;0;2;0/1139.66;0/59.4,1/65.1;0/0;0/1139.66,1/1139.66;0/0;0/15,1/10;0/0;0/17,1/19;0/0;0/0,1/0;0/0;0/7,1/5;0/0;0/110,1/110
1199.92;0;13;0;2;0/1199.92;0/61.7,1/66.44;0/0;0/1199.92,1/1199.92;0/0;0/22,1/5;0/0;0/25,1/13;0/0;0/0,1/0;0/0;0/7,1/6;0/0;0/116,1/116
1259.66;0;13;0;2;0/1259.66;0/63.47,1/68.67;0/0;0/1259.66,1/1259.66;0/0;0/16,1/8;0/0;0/19,1/17;0/0;0/0,1/0;0/0;0/7,1/6;0/0;0/122,1/121
1319.7;0;13;0;2;0/1319.7;0/64.25,1/71.52;0/0;0/1319.7,1/1319.7;0/0;0/14,1/7;0/0;0/16,1/17;0/0;0/0,1/0;0/0;0/7,1/6;0/0;0/128,1/127
1379.79;0;16;0;2;0/1379.79;0/65.38,1/73.8;0/0;0/1379.79,1/1379.79;0/0;0/13,1/6;0/0;0/15,1/16;0/0;0/0,1/0;0/0;0/9,1/7;0/0;0/134,1/133
1439.88;0;18;0;2;0/1439.88;0/66.58,1/75.55;0/0;0/1439.88,1/1439.88;0/0;0/15,1/6;0/0;0/17,1/16;0/0;0/0,1/0;0/0;0/10,1/8;0/0;0/140,1/139
1499.83;0;19;0;2;0/1499.83;0/67.91,1/77.82;0/0;0/1499.83,1/1499.83;0/0;0/14,1/10;0/0;0/17,1/19;0/0;0/0,1/0;0/0;0/10,1/9;0/0;0/146,1/145
1559.98;0;20;0;2;0/1559.98;0/70.48,1/79.13;0/0;0/1559.98,1/1559.98;0/0;0/19,1/7;0/0;0/22,1/16;0/0;0/0,1/0;0/0;0/11,1/9;0/0;0/152,1/151
