#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.66;0.99;18;0;0;0;0;0;0;0;0;0
1199.76;0.99;18;0;0;0;0;0;0;0;0;0
1799.85;0.98;18;0;0;0;0;0;0;0;0;0
2399.92;0.98;18;0;0;0;0;0;0;0;0;0
2999.88;0.97;18;0;0;0;0;0;0;0;0;0
3599.69;0.97;18;0;0;0;0;0;0;0;0;0
4199.61;0.96;18;0;0;0;0;0;0;0;0;0
4799.78;0.96;18;0;0;0;0;0;0;0;0;0
5399.71;0.95;18;0;0;0;0;0;0;0;0;0
5999.65;0.95;18;0;0;0;0;0;0;0;0;0
6599.88;0.94;18;0;0;0;0;0;0;0;0;0
7199.82;0.94;18;0;0;0;0;0;0;0;0;0
7799.72;0.93;18;0;0;0;0;0;0;0;0;0
8399.96;0.93;18;0;0;0;0;0;0;0;0;0
8999.86;0.92;18;0;0;0;0;0;0;0;0;0
9599.92;0.92;18;0;0;0;0;0;0;0;0;0
10199.76;0.92;18;0;0;0;0;0;0;0;0;0
10799.86;0.91;18;0;0;0;0;0;0;0;0;0
11399.95;0.91;18;0;0;0;0;0;0;0;0;0
11999.71;0.9;18;0;0;0;0;0;0;0;0;0
12599.97;0.9;18;0;0;0;0;0;0;0;0;0
13199.62;0.9;18;0;0;0;0;0;0;0;0;0
13799.97;0.89;18;0;0;0;0;0;0;0;0;0
14399.69;0.89;18;0;0;0;0;0;0;0;0;0
14999.69;0.89;18;0;0;0;0;0;0;0;0;0
15599.69;0.89;18;0;0;0;0;0;0;0;0;0
16199.69;0.89;18;0;0;0;0;0;0;0;0;0
16799.69;0.89;18;0;0;0;0;0;0;0;0;0
17399.69;0.89;18;0;0;0;0;0;0;0;0;0
17999.69;0.89;18;0;0;0;0;0;0;0;0;0
18599.69;0.89;18;0;0;0;0;0;0;0;0;0
19199.69;0.89;18;0;0;0;0;0;0;0;0;0
19799.69;0.89;18;0;0;0;0;0;0;0;0;0
20399.69;0.89;18;0;0;0;0;0;0;0;0;0
