#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.97;0;0;0;27.53;0;27.53;0;1
119.92;0;0;0;49.01;0;49.01;0;0.63
179.88;0;0;0;62.27;0;62.27;0;0.71
239.92;0;0;0;0;0;0;0;0
299.78;1;0;0;20.09;0;20.09;0;0.72
359.97;1;0;0;0;0;0;0;0
419.95;2;0;0;0;0;0;0;0
479.69;2;0;0;0;0;0;0;0
539.69;2;0;0;0;0;0;0;0
599.69;2;0;0;0;0;0;0;0
659.69;2;0;0;0;0;0;0;0
719.69;2;0;0;0;0;0;0;0
779.69;2;0;0;0;0;0;0;0
839.69;2;0;0;0;0;0;0;0
899.69;2;0;0;0;0;0;0;0
959.69;2;0;0;0;0;0;0;0
1019.69;2;0;0;0;0;0;0;0
1079.6;2;0;0;0;0;0;0;0
1139.62;2;0;0;0;0;0;0;0
1199.69;2;0;0;0;0;0;0;0
1259.69;2;0;0;0;0;0;0;0
1319.69;2;0;0;0;0;0;0;0
1379.69;2;0;0;0;0;0;0;0
1439.69;2;0;0;0;0;0;0;0
1499.69;2;0;0;0;0;0;0;0
1559.69;2;0;0;0;0;0;0;0
1619.69;2;0;0;0;0;0;0;0
1679.69;2;0;0;0;0;0;0;0
1739.69;2;0;0;0;0;0;0;0
1799.69;2;0;0;0;0;0;0;0
1859.69;2;0;0;0;0;0;0;0
1919.69;2;0;0;0;0;0;0;0
1979.69;2;0;0;0;0;0;0;0
2039.69;2;0;0;0;0;0;0;0
2099.69;2;0;0;0;0;0;0;0
2159.69;2;0;0;0;0;0;0;0
2219.69;2;0;0;0;0;0;0;0
2279.69;2;0;0;0;0;0;0;0
2339.69;2;0;0;0;0;0;0;0
2399.69;2;0;0;0;0;0;0;0
2459.69;2;0;0;0;0;0;0;0
