#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
93.04;1;68.11;68.11;-Infinity;68.11;68.11
123.46;1;42.6;42.57;-Infinity;42.6;42.60
193.78;1;38.24;38.24;-Infinity;38.24;38.24
251.84;0;192.62;192.62;-Infinity;192.62;192.62
262.47;0;157.89;157.88;-Infinity;157.89;157.89
274.3;1;57.82;57.82;-Infinity;57.82;57.82
284.72;1;250.59;250.59;-Infinity;250.59;250.59
412.76;0;246.36;246.36;-Infinity;246.36;246.36
445.15;1;252.94;252.91;-Infinity;252.94;252.94
453.42;0;420.98;420.97;-Infinity;420.98;420.98
455.57;1;414.56;414.56;-Infinity;414.56;414.56
485.99;1;396.99;396.99;-Infinity;396.99;396.99
493.84;0;406.17;406.17;-Infinity;406.17;406.17
504.24;0;394.86;394.83;-Infinity;394.86;394.86
506.41;1;412.69;412.66;-Infinity;412.69;412.69
546.83;1;425.12;425.11;-Infinity;425.12;425.12
554.68;0;419.72;419.72;-Infinity;419.72;419.72
577.25;1;451.42;451.39;-Infinity;451.42;451.42
595.1;0;413.21;413.21;-Infinity;413.21;413.21
625.52;0;407.66;373.33;-Infinity;407.66;407.66
627.67;1;409.84;409.84;-Infinity;409.84;409.84
665.94;0;305.9;40.37;-Infinity;305.9;305.90
678.09;1;455.11;403.55;-Infinity;455.11;455.11
686.36;0;370.19;131.63;-Infinity;370.19;370.19
728.51;1;491.41;272.65;-Infinity;491.41;491.41
756.78;0;528.89;343.73;-Infinity;528.89;528.89
788.91;1;782.16;782.16;-Infinity;782.16;782.16
797.17;0;564.66;343.7;-Infinity;564.66;564.66
799.35;1;437.28;171.39;-Infinity;437.28;437.28
807.56;0;552.44;313.67;-Infinity;552.44;552.44
819.77;1;496.09;242.23;-Infinity;496.09;496.09
840;1;552.51;292.88;-Infinity;552.51;552.51
847.98;0;516.18;252.83;-Infinity;516.18;516.18
850.61;1;623.38;565.65;-Infinity;623.38;623.38
871.03;1;599.13;364.33;-Infinity;599.13;599.13
888.28;0;882.08;882.08;-Infinity;882.08;882.08
891.48;1;714.19;714.19;-Infinity;714.19;714.19
898.3;0;857.53;857.53;-Infinity;857.53;857.53
901.26;1;795.67;795.67;-Infinity;795.67;795.67
911.6;1;668.02;425.32;-Infinity;668.02;668.02
918.77;0;725.84;725.84;-Infinity;725.84;725.84
921.93;1;537.21;193.13;-Infinity;537.21;537.21
939.47;0;576.61;273.47;-Infinity;576.61;576.61
949.48;0;573.48;263.06;-Infinity;573.48;573.48
959.82;0;937.01;937.01;-Infinity;937.01;937.01
969.99;0;748.84;707.37;-Infinity;748.84;748.84
974.07;1;610.46;295.69;-Infinity;610.46;610.46
980.03;0;717.78;475.72;-Infinity;717.78;717.78
991.37;1;762;545.93;-Infinity;762;762.00
991.45;0;601.47;234.61;-Infinity;601.47;601.47
