#TimeStamp;Runtime;Requests
0.88;0.02;6
4.38;0;1
6.35;0;1
7.43;0;3
9.02;0;2
10.1;0;1
12.94;0;1
14.01;0;1
15.18;0;1
16.47;0;1
17.56;0;1
18.64;0;1
20.81;0;1
22.52;0;1
23.61;0;3
24.73;0;2
26.67;0;1
27.79;0;1
28.88;0;1
30.13;0;2
32.44;0;1
33.58;0;1
34.67;0;1
37.28;0;1
39.25;0;1
41.72;0;1
42.74;0;2
44.34;0;1
47.57;0;1
48.64;0;1
52.14;0;1
53.34;0;2
54.37;0;1
55.39;0;2
56.41;0;1
57.48;0;1
58.89;0;1
62.31;0;1
63.66;0;3
64.66;0;1
70.92;0;1
72.31;0;1
73.36;0;1
78.86;0;1
82.31;0;1
83.5;0;1
84.69;0;1
92.31;0;1
93.57;0;1
102.31;0;1
103.57;0;1
112.31;0;1
113.57;0;1
122.31;0;1
123.57;0;1
132.31;0;1
133.57;0;1
142.31;0;1
143.57;0;1
152.31;0;1
153.57;0;1
162.31;0;1
163.57;0;1
172.69;0;1
173.99;0;1
182.69;0;1
183.99;0;1
192.63;0;1
193.78;0;1
202.69;0;1
203.99;0;1
212.69;0;1
213.99;0;1
222.69;0;1
223.87;0;1
232.69;0;1
233.88;0;1
242.69;0;1
243.99;0;1
252.69;0;1
253.88;0;1
262.47;0;1
263.88;0;1
272.69;0;1
274.3;0;1
282.69;0;1
284.69;0;1
292.69;0;1
294.76;0;1
297.52;0;1
302.96;0;1
304.12;0;1
305.2;0;1
313.09;0;1
314.5;0;1
323.68;0;1
324.77;0;1
333.8;0;1
334.92;0;1
343.8;0;1
344.92;0;1
353.8;0;1
354.92;0;1
363.62;0;1
364.92;0;1
374.22;0;1
375.34;0;1
384.22;0;1
385.34;0;1
394.22;0;1
395.34;0;1
404.22;0;1
405.34;0;1
414.64;0;1
415.76;0;1
424.72;0;1
426.03;0;1
434.72;0;1
436.03;0;1
444.72;0;1
446.03;0;1
454.77;0;1
456.03;0;1
464.77;0;1
466.03;0;1
471.53;0;1
475.14;0;1
476.34;0;1
477.61;0;1
485.51;0;1
486.62;0;1
495.51;0;1
496.62;0;1
505.51;0;1
506.62;0;1
515.51;0;1
516.62;0;1
525.93;0;1
527.04;0;1
535.93;0;1
537.09;0;1
545.93;0;1
547.09;0;1
555.93;0;1
557.09;0;1
566.35;0;1
567.46;0;1
576.35;0;1
577.46;0;1
586.35;0;1
587.46;0;1
596.77;0;1
597.88;0;1
606.77;0;1
607.88;0;1
616.77;0;1
617.88;0;1
626.77;0;1
627.88;0;1
636.77;0;1
637.88;0;1
646.77;0;1
647.93;0;1
656.77;0;1
657.93;0;1
666.77;0;1
667.93;0;1
676.77;0;1
678.55;0;1
681.6;0;1
686.1;0;1
687.93;0;1
689.28;0;1
696.77;0;1
697.93;0;1
707.19;0;1
708.3;0;1
717.61;0;1
718.72;0;1
724.61;0;1
727.61;0;1
728.72;0;1
730.11;0;1
738.03;0;1
739.14;0;1
748.03;0;1
749.14;0;1
758.03;0;1
759.14;0;1
768.03;0;1
769.14;0;1
778.45;0;1
779.56;0;1
788.87;0;1
789.98;0;1
795.87;0;1
798.87;0;1
799.98;0;1
801.29;0;1
804.16;0;1
808.87;0;1
810.03;0;1
818.87;0;1
820.03;0;1
828.87;0;1
830.03;0;1
838.87;0;1
840.03;0;1
848.87;0;1
850.03;0;1
855.53;0;1
859.29;0;1
860.42;0;1
864.12;0;1
868.59;0;1
870.96;0;1
879.63;0;1
882.04;0;1
884.47;0;1
889.97;0;1
891.31;0;1
892.34;0;1
900.02;0;1
902.34;0;1
910.83;0;1
912.76;0;1
921.25;0;1
923.18;0;1
931.67;0.01;1
932.83;0;1
933.93;0;1
939.38;0;1
941.67;0;1
943.86;0;1
944.97;0;1
947.17;0;1
948.22;0;1
950.67;0;1
951.68;0;1
952.77;0;1
953.86;0;1
956.51;0;1
959.62;0;1
962.11;0;1
963.48;0;2
964.57;0;1
971.32;0;1
972.41;0;1
973.44;0;1
974.53;0;1
976.07;0;1
977.24;0;1
978.53;0;2
979.78;0;1
982.03;0;1
983.12;0;2
984.16;0;1
985.79;0;1
986.88;0;1
987.91;0;2
989;0;1
990.38;0;1
991.47;0;1
992.55;0;1
993.83;0;1
995.05;0;1
996.5;0;1
997.59;0;1
1000.04;0;1
1001.33;0;1
1002.68;0;1
