#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/18,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.78;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
119.83;14;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
179.88;15;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
239.84;15;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
299.84;15;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
359.84;15;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
419.62;15;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
479.68;14;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
539.72;14;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
599.98;14;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
659.92;3;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/4,Rest/8
719.86;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
779.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
839.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
899.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
959.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1019.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1079.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1139.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1199.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1259.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1319.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1379.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1439.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1499.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1559.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1619.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1679.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1739.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1799.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1859.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1919.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1979.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2039.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2099.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2159.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2219.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2279.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2339.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2399.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
2459.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
