#ItemDescriptionID;Weight;OrderCount;MeasuredFrequency;StaticFrequency
0;5;11;0.354838709677419;Infinity
1;5;13;0.419354838709677;Infinity
2;5;31;1;Infinity
3;5;8;0.258064516129032;Infinity
4;5;7;0.225806451612903;Infinity
5;5;15;0.483870967741936;Infinity
6;5;5;0.161290322580645;Infinity
7;5;4;0.129032258064516;Infinity
8;5;16;0.516129032258065;Infinity
9;5;7;0.225806451612903;Infinity
10;5;9;0.290322580645161;Infinity
11;5;27;0.870967741935484;Infinity
12;5;2;0.0645161290322581;Infinity
13;5;4;0.129032258064516;Infinity
14;5;6;0.193548387096774;Infinity
15;5;4;0.129032258064516;Infinity
16;5;3;0.0967741935483871;Infinity
17;5;10;0.32258064516129;Infinity
