#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.99;0;0;0;3;0/59.99;0/56.35,1/52.32,2/53.06;0/0;0/59.99,1/59.99,2/59.99;0/0;0/2,1/8,2/4;0/0;0/10,1/11,2/11;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/1,1/1,2/1
119.93;0;1;0;3;0/119.93;0/57.36,1/52.94,2/54.02;0/0;0/119.93,1/119.93,2/119.93;0/0;0/6,1/8,2/5;0/0;0/13,1/12,2/12;0/0;0/0,1/0,2/0;0/0;0/1,1/0,2/0;0/0;0/7,1/7,2/7
179.79;0;2;0;3;0/179.79;0/58.78,1/53.84,2/55.78;0/0;0/179.79,1/179.79,2/179.79;0/0;0/6,1/13,2/5;0/0;0/13,1/16,2/13;0/0;0/0,1/0,2/0;0/0;0/1,1/1,2/0;0/0;0/13,1/13,2/13
239.75;0;2;0;3;0/239.75;0/59.52,1/55.33,2/58.02;0/0;0/239.75,1/239.75,2/239.75;0/0;0/14,1/23,2/19;0/0;0/20,1/26,2/27;0/0;0/0,1/0,2/0;0/0;0/1,1/1,2/0;0/0;0/19,1/19,2/19
299.97;0;2;0;3;0/299.97;0/60.82,1/57.45,2/60.24;0/0;0/299.97,1/299.97,2/299.97;0/0;0/17,1/20,2/20;0/0;0/23,1/23,2/28;0/0;0/0,1/0,2/0;0/0;0/1,1/1,2/0;0/0;0/25,1/25,2/25
359.8;0;3;0;3;0/359.8;0/62.78,1/59.74,2/62.07;0/0;0/359.8,1/359.8,2/359.8;0/0;0/14,1/21,2/15;0/0;0/20,1/25,2/22;0/0;0/0,1/0,2/0;0/0;0/1,1/1,2/1;0/0;0/31,1/31,2/31
419.8;0;3;0;3;0/419.8;0/65.72,1/61.78,2/63.58;0/0;0/419.8,1/419.8,2/419.8;0/0;0/18,1/18,2/12;0/0;0/24,1/22,2/19;0/0;0/0,1/0,2/0;0/0;0/1,1/1,2/1;0/0;0/37,1/37,2/37
479.98;0;5;0;3;0/479.98;0/66.56,1/63.84,2/66.02;0/0;0/479.98,1/479.98,2/479.98;0/0;0/12,1/12,2/12;0/0;0/18,1/16,2/19;0/0;0/0,1/0,2/0;0/0;0/2,1/2,2/1;0/0;0/43,1/43,2/43
539.61;0;5;0;3;0/539.61;0/68.82,1/66.74,2/68.81;0/0;0/539.61,1/539.61,2/539.61;0/0;0/6,1/6,2/6;0/0;0/12,1/10,2/13;0/0;0/0,1/0,2/0;0/0;0/2,1/2,2/1;0/0;0/49,1/49,2/49
599.68;0;8;0;3;0/599.68;0/70.44,1/68.81,2/71.8;0/0;0/599.68,1/599.68,2/599.68;0/0;0/0,1/0,2/1;0/0;0/7,1/4,2/7;0/0;0/0,1/0,2/0;0/0;0/3,1/3,2/2;0/0;0/54,1/55,2/55
659.96;0;23;0;3;0/659.96;0/71.61,1/83.47,2/72.74;0/0;0/659.96,1/659.96,2/659.96;0/0;0/0,1/0,2/0;0/0;0/1,1/0,2/1;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/7;0/0;0/60,1/59,2/61
719.77;0;24;0;3;0/719.77;0/120.95,1/143.28,2/115.03;0/0;0/719.77,1/719.77,2/719.77;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
779.86;0;24;0;3;0/779.86;0/181.04,1/203.37,2/175.12;0/0;0/779.86,1/779.86,2/779.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
839.86;0;24;0;3;0/839.86;0/241.04,1/263.37,2/235.12;0/0;0/839.86,1/839.86,2/839.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
899.86;0;24;0;3;0/899.86;0/301.04,1/323.37,2/295.12;0/0;0/899.86,1/899.86,2/899.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
959.86;0;24;0;3;0/959.86;0/361.04,1/383.37,2/355.12;0/0;0/959.86,1/959.86,2/959.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1019.86;0;24;0;3;0/1019.86;0/421.04,1/443.37,2/415.12;0/0;0/1019.86,1/1019.86,2/1019.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1079.86;0;24;0;3;0/1079.86;0/481.04,1/503.37,2/475.12;0/0;0/1079.86,1/1079.86,2/1079.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1139.86;0;24;0;3;0/1139.86;0/541.04,1/563.37,2/535.12;0/0;0/1139.86,1/1139.86,2/1139.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1199.86;0;24;0;3;0/1199.86;0/601.04,1/623.37,2/595.12;0/0;0/1199.86,1/1199.86,2/1199.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1259.86;0;24;0;3;0/1259.86;0/661.04,1/683.37,2/655.12;0/0;0/1259.86,1/1259.86,2/1259.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1319.86;0;24;0;3;0/1319.86;0/721.04,1/743.37,2/715.12;0/0;0/1319.86,1/1319.86,2/1319.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1379.86;0;24;0;3;0/1379.86;0/781.04,1/803.37,2/775.12;0/0;0/1379.86,1/1379.86,2/1379.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1439.86;0;24;0;3;0/1439.86;0/841.04,1/863.37,2/835.12;0/0;0/1439.86,1/1439.86,2/1439.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1499.86;0;24;0;3;0/1499.86;0/901.04,1/923.37,2/895.12;0/0;0/1499.86,1/1499.86,2/1499.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1559.86;0;24;0;3;0/1559.86;0/961.04,1/983.37,2/955.12;0/0;0/1559.86,1/1559.86,2/1559.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1619.86;0;24;0;3;0/1619.86;0/1021.04,1/1043.37,2/1015.12;0/0;0/1619.86,1/1619.86,2/1619.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1679.86;0;24;0;3;0/1679.86;0/1081.04,1/1103.37,2/1075.12;0/0;0/1679.86,1/1679.86,2/1679.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1739.86;0;24;0;3;0/1739.86;0/1141.04,1/1163.37,2/1135.12;0/0;0/1739.86,1/1739.86,2/1739.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1799.86;0;24;0;3;0/1799.86;0/1201.04,1/1223.37,2/1195.12;0/0;0/1799.86,1/1799.86,2/1799.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1859.86;0;24;0;3;0/1859.86;0/1261.04,1/1283.37,2/1255.12;0/0;0/1859.86,1/1859.86,2/1859.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1919.86;0;24;0;3;0/1919.86;0/1321.04,1/1343.37,2/1315.12;0/0;0/1919.86,1/1919.86,2/1919.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
1979.86;0;24;0;3;0/1979.86;0/1381.04,1/1403.37,2/1375.12;0/0;0/1979.86,1/1979.86,2/1979.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2039.86;0;24;0;3;0/2039.86;0/1441.04,1/1463.37,2/1435.12;0/0;0/2039.86,1/2039.86,2/2039.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2099.86;0;24;0;3;0/2099.86;0/1501.04,1/1523.37,2/1495.12;0/0;0/2099.86,1/2099.86,2/2099.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2159.86;0;24;0;3;0/2159.86;0/1561.04,1/1583.37,2/1555.12;0/0;0/2159.86,1/2159.86,2/2159.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2219.86;0;24;0;3;0/2219.86;0/1621.04,1/1643.37,2/1615.12;0/0;0/2219.86,1/2219.86,2/2219.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2279.86;0;24;0;3;0/2279.86;0/1681.04,1/1703.37,2/1675.12;0/0;0/2279.86,1/2279.86,2/2279.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2339.86;0;24;0;3;0/2339.86;0/1741.04,1/1763.37,2/1735.12;0/0;0/2339.86,1/2339.86,2/2339.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2399.86;0;24;0;3;0/2399.86;0/1801.04,1/1823.37,2/1795.12;0/0;0/2399.86,1/2399.86,2/2399.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
2459.86;0;24;0;3;0/2459.86;0/1861.04,1/1883.37,2/1855.12;0/0;0/2459.86,1/2459.86,2/2459.86;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/7,2/8;0/0;0/61,1/59,2/62
