#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.94;1;18;0;0;0;0;0;0;0;0;0
1199.86;0.99;18;0;0;0;0;0;0;0;0;0
1799.83;0.99;18;0;0;0;0;0;0;0;0;0
2399.74;0.99;18;0;0;0;0;0;0;0;0;0
2999.66;0.98;18;0;0;0;0;0;0;0;0;0
3599.66;0.98;18;0;0;0;0;0;0;0;0;0
4199.61;0.98;18;0;0;0;0;0;0;0;0;0
4799.78;0.97;18;0;0;0;0;0;0;0;0;0
5399.84;0.97;18;0;0;0;0;0;0;0;0;0
5999.74;0.97;18;0;0;0;0;0;0;0;0;0
6599.84;0.97;18;0;0;0;0;0;0;0;0;0
7199.67;0.96;18;0;0;0;0;0;0;0;0;0
7799.59;0.96;18;0;0;0;0;0;0;0;0;0
8399.94;0.96;18;0;0;0;0;0;0;0;0;0
8999.97;0.96;18;0;0;0;0;0;0;0;0;0
9599.77;0.96;18;0;0;0;0;0;0;0;0;0
10199.8;0.95;18;0;0;0;0;0;0;0;0;0
10799.7;0.95;18;0;0;0;0;0;0;0;0;0
11399.97;0.95;18;0;0;0;0;0;0;0;0;0
11999.78;0.95;18;0;0;0;0;0;0;0;0;0
12599.84;0.95;18;0;0;0;0;0;0;0;0;0
13199.94;0.95;18;0;0;0;0;0;0;0;0;0
13799.74;0.95;18;0;0;0;0;0;0;0;0;0
14399.8;0.95;18;0;0;0;0;0;0;0;0;0
14999.94;0.95;18;0;0;0;0;0;0;0;0;0
15599.84;0.95;18;0;0;0;0;0;0;0;0;0
16199.95;0.95;18;0;0;0;0;0;0;0;0;0
16799.6;0.95;18;0;0;0;0;0;0;0;0;0
17399.83;0.95;18;0;0;0;0;0;0;0;0;0
17999.89;0.95;18;0;0;0;0;0;0;0;0;0
18599.96;0.95;18;0;0;0;0;0;0;0;0;0
19200;0.95;18;0;0;0;0;0;0;0;0;0
19799.99;0.95;18;0;0;0;0;0;0;0;0;0
20399.69;0.95;18;0;0;0;0;0;0;0;0;0
