#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.94;20;50;0;52.48;0;52.49;0;0.49
119.8;51;110;0;104.25;0;110.98;0;0.55
179.88;71;194;0;138.88;0;168.35;0;0.56
239.9;92;278;0;189.6;0;227.67;0;0.54
299.81;111;349;0;237.94;0;287.08;0;0.56
359.95;138;416;0;284.49;0;346.77;0;0.56
419.74;148;464;0;299.69;0;404.68;0;0.57
479.81;148;460;0;298.1;0;461.86;0;0.56
539.83;148;456;0;302.46;0;519.42;0;0.58
599.83;148;453;0;318.7;0;577.49;0;0.59
659.87;148;451;0;348.45;0;636.18;0;0.61
719.97;148;445;0;277.97;0;691.12;0;0.65
779.97;148;442;0;303.8;0;749.77;0;0.63
839.97;148;439;0;301.26;0;807;0;0.63
899.83;148;436;0;326.9;0;865.37;0;0.61
959.74;148;434;0;312.64;0;922.29;0;0.64
1019.87;148;430;0;318.54;0;979.72;0;0.63
1079.62;148;429;0;368.63;0;1038.91;0;0.63
1139.62;148;428;0;423.17;0;1098.82;0;0.63
1199.62;148;423;0;313.35;0;1151.26;0;0.63
1259.78;148;421;0;330.35;0;1209.38;0;0.64
1319.79;148;419;0;339.44;0;1267.49;0;0.65
1379.84;148;417;0;351.01;0;1325.32;0;0.65
1439.65;148;412;0;314.65;0;1380.74;0;0.65
1499.94;148;409;0;315.07;0;1438.6;0;0.65
1559.82;148;408;0;368.67;0;1498.35;0;0.66
1619.68;148;407;0;422.69;0;1558.14;0;0.67
1679.74;148;402;0;316.13;0;1611.34;0;0.65
1740;148;392;0;203.66;0;1663.15;0;0.62
1800;148;389;0;242.58;0;1721.46;0;0.6
1859.89;148;388;0;296.52;0;1780.97;0;0.6
1919.97;148;386;0;312.11;0;1839.15;0;0.62
1979.87;148;386;0;372.02;0;1899.05;0;0.62
2039.9;148;384;0;409.42;0;1958.6;0;0.63
2099.86;148;381;0;402.25;0;2016.26;0;0.61
2159.8;148;375;0;306.79;0;2069.03;0;0.61
2219.71;148;366;0;155.54;0;2118.17;0;0.57
2279.71;148;362;0;172.34;0;2174.59;0;0.57
2339.9;148;361;0;225.32;0;2234.07;0;0.57
2399.66;148;357;0;250.87;0;2291.09;0;0.62
2459.8;148;357;0;311;0;2351.22;0;0.62
2519.8;148;357;0;371;0;2411.22;0;0.62
2579.93;148;356;0;394.47;0;2469.59;0;0.61
2640;148;353;0;391.04;0;2527.56;0;0.61
2699.89;148;349;0;388.19;0;2584.68;0;0.63
2759.8;148;347;0;396.24;0;2641.92;0;0.64
2819.77;148;346;0;446.09;0;2701.5;0;0.65
2879.77;148;345;0;485.54;0;2761;0;0.65
2939.98;148;342;0;469.21;0;2818.88;0;0.68
2999.94;148;338;0;420.05;0;2875.12;0;0.69
3059.98;148;334;0;429.22;0;2933.64;0;0.69
3119.93;148;333;0;481.15;0;2993.25;0;0.7
3179.83;148;332;0;534.69;0;3052.96;0;0.7
3239.83;148;332;0;594.69;0;3112.96;0;0.7
3299.76;148;330;0;622.26;0;3172.32;0;0.69
3359.88;148;328;0;617.16;0;3230.63;0;0.69
3419.78;148;324;0;544.18;0;3286.46;0;0.65
3479.97;148;317;0;336.49;0;3339.34;0;0.6
3539.6;148;314;0;378.48;0;3398.26;0;0.61
3599.6;148;314;0;438.48;0;3458.26;0;0.61
3659.98;148;312;0;484.62;0;3518.26;0;0.62
3719.92;148;306;0;374.56;0;3573.47;0;0.64
3779.92;148;302;0;392.47;0;3631.84;0;0.66
3839.66;148;299;0;442.49;0;3691.29;0;0.66
3899.87;148;295;0;409.14;0;3748.34;0;0.68
3959.97;148;292;0;446.88;0;3807.52;0;0.68
4019.97;148;290;0;472.76;0;3866.39;0;0.66
4079.97;148;286;0;438.94;0;3923.42;0;0.67
4139.97;148;283;0;471.5;0;3981.86;0;0.69
4199.85;148;279;0;467.78;0;4038.83;0;0.7
4259.89;148;277;0;521.89;0;4098.77;0;0.72
4319.69;148;271;0;275.5;0;4148.62;0;0.68
4379.62;148;263;0;183.23;0;4201.27;0;0.6
4439.99;148;258;0;172.47;0;4257.25;0;0.59
4499.69;148;257;0;220.21;0;4316.23;0;0.59
4559.87;148;255;0;264.36;0;4375.31;0;0.59
4619.66;148;253;0;306.13;0;4434.79;0;0.61
4679.83;148;251;0;345.76;0;4494.47;0;0.61
4739.72;148;251;0;405.66;0;4554.36;0;0.61
4799.78;148;249;0;431.23;0;4613.26;0;0.62
4859.91;148;247;0;439.85;0;4671.24;0;0.62
4919.7;148;245;0;455.11;0;4729.88;0;0.64
4979.7;148;242;0;468.41;0;4788.83;0;0.63
5039.7;148;241;0;521.21;0;4848.64;0;0.62
5099.7;148;241;0;581.21;0;4908.64;0;0.62
5159.79;148;238;0;538.13;0;4965.32;0;0.62
5219.99;148;236;0;560.88;0;5024.57;0;0.63
5279.97;148;233;0;559.92;0;5083.63;0;0.61
5339.66;148;224;0;368.85;0;5136.62;0;0.58
5399.87;148;218;0;232.33;0;5190.14;0;0.57
5459.87;148;213;0;123.79;0;5245.15;0;0.57
5519.87;148;212;0;172;0;5304.61;0;0.56
5579.58;148;209;0;203.43;0;5363.29;0;0.58
5639.62;148;207;0;232.69;0;5422.05;0;0.59
5700;148;203;0;242.09;0;5480.24;0;0.64
5760;148;201;0;277.3;0;5539.5;0;0.64
5820;148;199;0;301.95;0;5598.09;0;0.65
5880;148;198;0;338.75;0;5657.23;0;0.66
5939.75;148;195;0;357.33;0;5715.8;0;0.68
5999.97;148;191;0;364.2;0;5774.02;0;0.73
6059.92;148;185;0;286.72;0;5828.42;0;0.72
6119.79;148;182;0;336.05;0;5887.74;0;0.71
6179.95;148;179;0;349.95;0;5946.21;0;0.71
6239.95;148;175;0;385.53;0;6005.42;0;0.72
6299.61;148;173;0;433.64;0;6064.63;0;0.74
6359.91;148;169;0;392.52;0;6120.62;0;0.71
6419.66;148;163;0;273.73;0;6172;0;0.65
6479.66;148;159;0;208.17;0;6226.19;0;0.62
6539.7;148;157;0;227.9;0;6284.14;0;0.61
6599.85;148;154;0;250.16;0;6342.15;0;0.61
6659.9;148;154;0;310.22;0;6402.21;0;0.61
6719.85;148;151;0;330.21;0;6460.57;0;0.62
6779.83;148;147;0;354.06;0;6519.37;0;0.61
6839.8;148;144;0;387.16;0;6578.58;0;0.61
6899.92;148;139;0;403.99;0;6637.48;0;0.6
6959.77;148;134;0;420.36;0;6694.65;0;0.66
7020;148;133;0;461.22;0;6753.98;0;0.65
7079.93;148;131;0;504.66;0;6813.05;0;0.66
7139.85;148;129;0;550.31;0;6872.69;0;0.66
7199.97;148;126;0;588.18;0;6932.29;0;0.67
7259.92;148;126;0;648.13;0;6992.24;0;0.67
7319.72;148;123;0;688.23;0;7051.59;0;0.67
7379.63;148;122;0;742.69;0;7111.41;0;0.67
7439.69;148;121;0;796.9;0;7171.31;0;0.67
7499.68;148;116;0;731.92;0;7226.26;0;0.65
7559.98;148;110;0;498.37;0;7274.13;0;0.6
7619.87;148;105;0;386.38;0;7325.93;0;0.6
7679.87;148;102;0;429.85;0;7384.24;0;0.61
7739.75;148;102;0;489.73;0;7444.12;0;0.61
7799.75;148;101;0;542.16;0;7503.69;0;0.61
7859.69;148;100;0;595.81;0;7563.52;0;0.6
7919.75;148;96;0;605.95;0;7621.89;0;0.62
7979.68;148;95;0;653.38;0;7681.57;0;0.63
8039.77;148;92;0;654.26;0;7739.47;0;0.64
8099.87;148;86;0;477.79;0;7789.84;0;0.63
8159.87;148;83;0;520.9;0;7848.96;0;0.62
8219.65;148;80;0;567.63;0;7908.31;0;0.64
8279.97;148;77;0;610.24;0;7967.87;0;0.66
8339.98;148;73;0;650.08;0;8027.11;0;0.66
8399.78;148;72;0;705.69;0;8086.84;0;0.67
8459.85;148;69;0;751.65;0;8146.67;0;0.67
8519.97;148;66;0;803.31;0;8206.3;0;0.67
8580;148;65;0;859.78;0;8266.08;0;0.67
8639.58;148;65;0;919.36;0;8325.67;0;0.67
8699.96;148;60;0;747.08;0;8376.91;0;0.67
8759.96;148;60;0;807.08;0;8436.91;0;0.67
8819.99;148;57;0;753.54;0;8492.44;0;0.65
8879.65;148;55;0;794.19;0;8551.42;0;0.65
8939.65;148;53;0;835.62;0;8610.99;0;0.66
8999.65;148;52;0;892.67;0;8670.93;0;0.64
9059.99;148;48;0;801.65;0;8726.19;0;0.65
9119.65;148;40;0;428.6;0;8769.37;0;0.65
9179.61;148;37;0;412.55;0;8826.36;0;0.64
9239.94;148;36;0;466.98;0;8886.4;0;0.63
9299.89;148;35;0;429.59;0;8942.9;0;0.62
9359.71;148;29;0;371.71;0;8998.48;0;0.6
9419.71;148;26;0;402.71;0;9057.83;0;0.66
9479.65;148;25;0;428.04;0;9116.67;0;0.64
9539.92;148;20;0;305.41;0;9171.64;0;0.62
9599.92;148;17;0;275.47;0;9228.62;0;0.62
9659.71;148;13;0;290.53;0;9286.69;0;0.6
9719.6;148;10;0;319.61;0;9345.24;0;0.58
9779.96;148;9;0;353.46;0;9404.67;0;0.58
9839.9;148;8;0;408.38;0;9464.51;0;0.58
9899.88;148;4;0;352.87;0;9520.22;0;0.58
9959.75;148;0;0;288.51;0;9575.08;0;0.6
10019.8;148;0;0;331.69;0;9634.3;0;0.63
10079.99;148;0;0;389.52;0;9694.52;0;0.66
10139.98;148;0;0;569.6;0;9758.9;0;0.64
10199.93;148;0;0;344.35;0;9806.4;0;0.51
10259.98;148;0;0;0;0;0;0;0
10319.67;148;0;0;0;0;0;0;0
10379.69;148;0;0;0;0;0;0;0
10439.69;148;0;0;0;0;0;0;0
10499.64;148;0;0;0;0;0;0;0
10559.69;148;0;0;0;0;0;0;0
10619.69;148;0;0;0;0;0;0;0
10679.69;148;0;0;0;0;0;0;0
10739.69;148;0;0;0;0;0;0;0
10799.69;148;0;0;0;0;0;0;0
10859.69;148;0;0;0;0;0;0;0
10919.69;148;0;0;0;0;0;0;0
10979.69;148;0;0;0;0;0;0;0
11039.69;148;0;0;0;0;0;0;0
11099.69;148;0;0;0;0;0;0;0
11159.69;148;0;0;0;0;0;0;0
11219.69;148;0;0;0;0;0;0;0
11279.69;148;0;0;0;0;0;0;0
11339.69;148;0;0;0;0;0;0;0
11399.69;148;0;0;0;0;0;0;0
11459.69;148;0;0;0;0;0;0;0
11519.69;148;0;0;0;0;0;0;0
11579.69;148;0;0;0;0;0;0;0
11639.69;148;0;0;0;0;0;0;0
11699.69;148;0;0;0;0;0;0;0
11759.69;148;0;0;0;0;0;0;0
11819.69;148;0;0;0;0;0;0;0
11879.69;148;0;0;0;0;0;0;0
11939.69;148;0;0;0;0;0;0;0
11999.69;148;0;0;0;0;0;0;0
12059.69;148;0;0;0;0;0;0;0
12119.69;148;0;0;0;0;0;0;0
12179.69;148;0;0;0;0;0;0;0
12239.69;148;0;0;0;0;0;0;0
12299.69;148;0;0;0;0;0;0;0
12359.69;148;0;0;0;0;0;0;0
12419.69;148;0;0;0;0;0;0;0
12479.69;148;0;0;0;0;0;0;0
12539.69;148;0;0;0;0;0;0;0
12599.69;148;0;0;0;0;0;0;0
12659.69;148;0;0;0;0;0;0;0
12719.69;148;0;0;0;0;0;0;0
12779.69;148;0;0;0;0;0;0;0
12839.69;148;0;0;0;0;0;0;0
12899.69;148;0;0;0;0;0;0;0
12959.69;148;0;0;0;0;0;0;0
13019.69;148;0;0;0;0;0;0;0
13079.69;148;0;0;0;0;0;0;0
13139.69;148;0;0;0;0;0;0;0
13199.69;148;0;0;0;0;0;0;0
13259.69;148;0;0;0;0;0;0;0
13319.69;148;0;0;0;0;0;0;0
13379.69;148;0;0;0;0;0;0;0
13439.69;148;0;0;0;0;0;0;0
13499.69;148;0;0;0;0;0;0;0
13559.69;148;0;0;0;0;0;0;0
13619.69;148;0;0;0;0;0;0;0
13679.69;148;0;0;0;0;0;0;0
13739.69;148;0;0;0;0;0;0;0
13799.69;148;0;0;0;0;0;0;0
13859.69;148;0;0;0;0;0;0;0
13919.69;148;0;0;0;0;0;0;0
13979.69;148;0;0;0;0;0;0;0
14039.69;148;0;0;0;0;0;0;0
14099.69;148;0;0;0;0;0;0;0
14159.69;148;0;0;0;0;0;0;0
14219.69;148;0;0;0;0;0;0;0
14279.69;148;0;0;0;0;0;0;0
14339.69;148;0;0;0;0;0;0;0
14399.69;148;0;0;0;0;0;0;0
14459.69;148;0;0;0;0;0;0;0
14519.69;148;0;0;0;0;0;0;0
14579.69;148;0;0;0;0;0;0;0
14639.69;148;0;0;0;0;0;0;0
14699.69;148;0;0;0;0;0;0;0
14759.69;148;0;0;0;0;0;0;0
14819.69;148;0;0;0;0;0;0;0
14879.69;148;0;0;0;0;0;0;0
14939.69;148;0;0;0;0;0;0;0
14999.69;148;0;0;0;0;0;0;0
15059.69;148;0;0;0;0;0;0;0
15119.69;148;0;0;0;0;0;0;0
15179.69;148;0;0;0;0;0;0;0
15239.69;148;0;0;0;0;0;0;0
15299.69;148;0;0;0;0;0;0;0
15359.69;148;0;0;0;0;0;0;0
15419.69;148;0;0;0;0;0;0;0
15479.69;148;0;0;0;0;0;0;0
15539.69;148;0;0;0;0;0;0;0
15599.69;148;0;0;0;0;0;0;0
15659.69;148;0;0;0;0;0;0;0
15719.69;148;0;0;0;0;0;0;0
15779.69;148;0;0;0;0;0;0;0
15839.69;148;0;0;0;0;0;0;0
15899.69;148;0;0;0;0;0;0;0
15959.69;148;0;0;0;0;0;0;0
16019.69;148;0;0;0;0;0;0;0
16079.69;148;0;0;0;0;0;0;0
16139.69;148;0;0;0;0;0;0;0
16199.69;148;0;0;0;0;0;0;0
16259.69;148;0;0;0;0;0;0;0
16319.69;148;0;0;0;0;0;0;0
16379.69;148;0;0;0;0;0;0;0
16439.69;148;0;0;0;0;0;0;0
16499.69;148;0;0;0;0;0;0;0
16559.69;148;0;0;0;0;0;0;0
16619.69;148;0;0;0;0;0;0;0
16679.69;148;0;0;0;0;0;0;0
16739.69;148;0;0;0;0;0;0;0
16799.69;148;0;0;0;0;0;0;0
16859.69;148;0;0;0;0;0;0;0
16919.69;148;0;0;0;0;0;0;0
16979.69;148;0;0;0;0;0;0;0
17039.69;148;0;0;0;0;0;0;0
17099.69;148;0;0;0;0;0;0;0
17159.69;148;0;0;0;0;0;0;0
17219.69;148;0;0;0;0;0;0;0
17279.69;148;0;0;0;0;0;0;0
17339.69;148;0;0;0;0;0;0;0
17399.69;148;0;0;0;0;0;0;0
17459.69;148;0;0;0;0;0;0;0
17519.69;148;0;0;0;0;0;0;0
17579.69;148;0;0;0;0;0;0;0
17639.69;148;0;0;0;0;0;0;0
17699.69;148;0;0;0;0;0;0;0
17759.69;148;0;0;0;0;0;0;0
17819.69;148;0;0;0;0;0;0;0
17879.69;148;0;0;0;0;0;0;0
17939.69;148;0;0;0;0;0;0;0
17999.69;148;0;0;0;0;0;0;0
18059.69;148;0;0;0;0;0;0;0
18119.69;148;0;0;0;0;0;0;0
18179.69;148;0;0;0;0;0;0;0
18239.69;148;0;0;0;0;0;0;0
18299.69;148;0;0;0;0;0;0;0
18359.69;148;0;0;0;0;0;0;0
18419.69;148;0;0;0;0;0;0;0
18479.69;148;0;0;0;0;0;0;0
18539.69;148;0;0;0;0;0;0;0
18599.69;148;0;0;0;0;0;0;0
18659.69;148;0;0;0;0;0;0;0
18719.69;148;0;0;0;0;0;0;0
18779.69;148;0;0;0;0;0;0;0
18839.69;148;0;0;0;0;0;0;0
18899.69;148;0;0;0;0;0;0;0
18959.69;148;0;0;0;0;0;0;0
19019.69;148;0;0;0;0;0;0;0
19079.69;148;0;0;0;0;0;0;0
19139.69;148;0;0;0;0;0;0;0
19199.69;148;0;0;0;0;0;0;0
19259.69;148;0;0;0;0;0;0;0
19319.69;148;0;0;0;0;0;0;0
19379.69;148;0;0;0;0;0;0;0
19439.69;148;0;0;0;0;0;0;0
19499.69;148;0;0;0;0;0;0;0
19559.69;148;0;0;0;0;0;0;0
19619.69;148;0;0;0;0;0;0;0
19679.69;148;0;0;0;0;0;0;0
19739.69;148;0;0;0;0;0;0;0
19799.69;148;0;0;0;0;0;0;0
19859.69;148;0;0;0;0;0;0;0
19919.69;148;0;0;0;0;0;0;0
19979.69;148;0;0;0;0;0;0;0
20039.69;148;0;0;0;0;0;0;0
20099.69;148;0;0;0;0;0;0;0
20159.69;148;0;0;0;0;0;0;0
20219.69;148;0;0;0;0;0;0;0
20279.69;148;0;0;0;0;0;0;0
20339.69;148;0;0;0;0;0;0;0
20399.69;148;0;0;0;0;0;0;0
20459.69;148;0;0;0;0;0;0;0
