#TimeStamp;Bot;Pod;OutputStation
34.96;0;92;1
45.13;0;92;1
55.27;0;92;1
61.54;4;30;0
65.28;0;92;1
71.42;4;30;0
75.28;0;92;1
81.42;4;30;0
85.32;0;92;1
91.66;4;30;0
95.33;0;92;1
101.58;4;30;0
105.33;0;92;1
111.59;4;30;0
115.33;0;92;1
121.63;4;30;0
125.33;0;92;1
131.63;4;30;0
135.33;0;92;1
141.46;4;30;0
145.33;0;92;1
151.7;4;30;0
155.17;0;92;1
162.03;4;30;0
165.24;0;92;1
171.86;4;30;0
175.37;0;92;1
182.12;4;30;0
185.59;0;92;1
192.34;4;30;0
195.59;0;92;1
202.26;4;30;0
205.75;0;92;1
212.29;4;30;0
215.59;0;92;1
222.51;4;30;0
225.57;0;92;1
232.56;4;30;0
235.65;0;92;1
242.46;4;30;0
245.83;0;92;1
252.38;4;30;0
255.65;0;92;1
262.59;4;30;0
265.87;0;92;1
272.32;4;30;0
275.78;0;92;1
282.24;4;30;0
286.1;0;92;1
292.63;4;30;0
295.98;0;92;1
302.83;4;30;0
306.15;0;92;1
312.94;4;30;0
316.17;0;92;1
323.14;4;30;0
326.02;0;92;1
333;4;30;0
336.06;0;92;1
343.38;4;30;0
346.15;0;92;1
353.78;4;30;0
355.96;0;92;1
363.62;4;30;0
366.14;0;92;1
373.78;4;30;0
375.99;0;92;1
383.44;4;30;0
386.21;0;92;1
393.54;4;30;0
396.61;0;92;1
403.56;4;30;0
406.35;0;92;1
413.56;4;30;0
416.35;0;92;1
423.56;4;30;0
426.66;0;92;1
433.76;4;30;0
436.77;0;92;1
443.76;4;30;0
446.77;0;92;1
453.76;4;30;0
456.77;0;92;1
463.76;4;30;0
466.77;0;92;1
476.78;0;92;1
486.6;0;92;1
496.62;1;136;1
506.51;1;136;1
510.29;0;92;0
516.78;1;136;1
520.42;0;92;0
526.83;1;136;1
530.59;0;92;0
537.2;1;136;1
540.71;0;92;0
547.25;1;136;1
550.71;0;92;0
557.67;1;136;1
560.84;0;92;0
568.09;1;136;1
570.7;0;92;0
578.14;1;136;1
580.84;0;92;0
588.18;1;136;1
598.47;1;136;1
608.6;1;136;1
618.64;1;136;1
628.69;1;136;1
638.69;1;136;1
648.69;1;136;1
658.69;1;136;1
668.69;1;136;1
678.69;1;136;1
688.69;1;136;1
698.69;1;136;1
708.69;1;136;1
719.02;1;136;1
729.11;1;136;1
739.11;1;136;1
749.11;1;136;1
759.11;1;136;1
769.11;1;136;1
779.29;2;38;1
789.39;2;38;1
793.33;1;136;0
799.44;2;38;1
803.47;1;136;0
809.86;2;38;1
813.75;1;136;0
820;2;38;1
823.75;1;136;0
830.28;2;38;1
833.75;1;136;0
840.42;2;38;1
843.89;1;136;0
850.5;2;38;1
854.31;1;136;0
860.7;2;38;1
864.59;1;136;0
871.12;2;38;1
874.73;1;136;0
881.54;2;38;1
885.15;1;136;0
891.76;2;38;1
895.57;1;136;0
901.68;2;38;1
905.85;1;136;0
911.76;2;38;1
915.99;1;136;0
921.96;2;38;1
926.27;1;136;0
932.18;2;38;1
936.41;1;136;0
942.14;2;38;1
946.69;1;136;0
952.18;2;38;1
956.83;1;136;0
962.18;2;38;1
967.11;1;136;0
972.18;2;38;1
976.94;1;136;0
982.23;3;290;1
987.25;1;136;0
992.38;3;290;1
997.22;1;136;0
1002.48;3;290;1
1007.38;1;136;0
1012.9;3;290;1
1017.63;1;136;0
1023.15;3;290;1
1027.63;1;136;0
1033.32;3;290;1
1037.63;1;136;0
1043.57;3;290;1
1047.63;1;136;0
1053.74;3;290;1
1057.63;1;136;0
1063.99;3;290;1
1067.8;1;136;0
1073.99;3;290;1
1078.05;1;136;0
1083.99;3;290;1
1088.05;1;136;0
1094.16;3;290;1
1098.05;1;136;0
1104.41;3;290;1
1108.05;1;136;0
1114.41;3;290;1
1118.05;1;136;0
