#TimeStamp;TripTime;Type
34;16;O
54;38;O
59;42;O
65;49;O
67;54;O
70;56;O
519;14;O
685;16;O
842;14;O
1055;14;O
1133;28;O
1267;14;O
1346;29;O
1422;16;O
1437;30;O
1590;16;O
1661;14;O
1705;17;O
1720;28;O
1729;15;O
1826;15;O
1927;16;O
2035;14;O
2111;15;O
2132;13;O
2150;64;O
2155;19;O
2449;14;O
2505;16;O
2578;20;O
2586;27;O
2824;14;O
2874;13;O
2900;16;O
3237;14;O
3304;16;O
3444;26;O
3661;14;O
3788;16;O
3904;14;O
3955;15;O
4020;14;O
4031;30;O
4053;28;O
4058;16;O
4066;14;O
4078;15;O
4121;19;O
4123;16;O
4123;27;O
4178;16;O
4187;14;O
4198;15;O
4246;19;O
4269;28;O
4270;16;O
4273;20;O
4286;32;O
4308;14;O
4322;18;O
4329;16;O
4665;18;O
4690;13;O
4716;14;O
4787;14;O
4807;14;O
4881;16;O
4899;25;O
4921;15;O
4947;21;O
4948;14;O
4961;18;O
4991;17;O
5005;18;O
5012;20;O
5031;7;O
5038;20;O
5042;26;O
5048;31;O
5163;30;O
5293;15;O
5394;28;O
5445;15;O
5607;30;O
5695;17;O
5726;14;O
5813;16;O
6161;14;O
6289;16;O
6313;13;O
6368;14;O
6384;14;O
6447;29;O
6495;16;O
6495;14;O
6540;19;O
6541;25;O
6575;14;O
6587;16;O
6641;35;O
6643;27;O
6696;14;O
6747;14;O
6763;27;O
6797;15;O
6806;37;O
6824;33;O
6828;21;O
6848;14;O
6854;29;O
6868;14;O
6871;33;O
6882;19;O
6905;14;O
6913;17;O
6928;34;O
6943;16;O
6946;8;O
6960;14;O
6993;15;O
7024;15;O
7037;78;O
7058;34;O
7065;30;O
7103;13;O
7132;15;O
7157;9;O
7226;14;O
7467;14;O
7649;15;O
7706;18;O
7723;16;O
7734;17;O
7746;13;O
7781;14;O
7811;15;O
7836;16;O
7883;14;O
7896;14;O
7901;14;O
7929;14;O
7949;18;O
7961;24;O
7962;23;O
7969;11;O
8181;19;O
8301;19;O
8458;14;O
8513;19;O
8520;13;O
8610;14;O
8680;14;O
8685;17;O
8702;13;O
8781;14;O
8812;15;O
8831;15;O
8872;14;O
8896;29;O
8905;15;O
8924;15;O
8945;17;O
8954;21;O
8955;14;O
8961;15;O
8992;27;O
9016;15;O
9025;21;O
9026;14;O
9041;24;O
9069;25;O
9078;20;O
9096;21;O
9103;41;O
9118;27;O
9176;28;O
9277;14;O
9469;15;O
9478;16;O
9580;15;O
9590;15;O
9624;18;O
9689;13;O
9709;15;O
9740;13;O
9961;10;O
10044;10;O
10072;20;O
10082;15;O
10108;17;O
10139;20;O
10149;21;O
10171;25;O
10176;17;O
10185;23;O
10210;12;O
10448;14;O
10608;14;O
10701;13;O
11074;14;O
11136;13;O
11213;19;O
11226;14;O
11306;15;O
11326;33;O
11331;18;O
11348;33;O
11357;14;O
11357;15;O
11377;14;O
11382;17;O
11427;14;O
11430;33;O
11434;24;O
11449;20;O
11466;16;O
11482;23;O
11515;16;O
11521;18;O
11526;15;O
11530;26;O
