#TimeStamp;DistanceTraveled
59.95;384.49
119.68;49.51
179.73;0
239.7;0
299.92;0
359.95;25
419.69;23
479.69;0
539.87;13.78
599.69;20.53
659.69;13.69
719.78;25
779.72;0
839.72;23
900;42
959.95;15.65
1019.73;45.35
1080;0
1140;0
1199.9;16.8
1259.9;6.2
1319.68;21
1379.71;21
1439.61;0
1499.92;42
1559.92;9.84
1619.85;34.16
1679.95;4
1739.61;0
1799.84;27.24
1859.8;50.76
1919.97;14.95
1979.85;40.05
2039.81;38
2099.81;0
2159.76;21
2219.68;0.39
2279.95;26.61
2339.95;19
2399.71;30.81
2459.93;7.19
2519.93;11.52
2579.96;60.48
2639.67;30
2699.86;89.56
2759.9;45.44
2819.71;34
2879.95;110.5
2939.98;132.11
2999.75;191.53
3059.65;79.86
3119.82;28.24
3179.9;49.68
3239.7;158.81
3299.67;157.81
3359.96;248.71
3419.9;35.76
3479.9;0
3539.99;34.98
3599.9;59.02
3659.79;17
3719.91;5.13
3779.95;15.87
3839.95;27
3899.95;19
3959.97;46
4019.82;59.26
4079.8;29.85
4139.84;3.28
4199.59;47.61
4259.61;12.8
4319.61;8.2
4379.79;74
4439.92;51
4499.99;7.74
4559.62;23.21
4619.84;17.04
4679.84;21
4739.63;40
4799.93;27.89
4859.89;20.11
4919.98;61
4979.94;20.6
5039.58;37.2
5099.99;41.33
5159.84;43.86
5219.97;34.17
5279.77;77.83
5339.98;32.81
5399.99;52.38
5459.83;14.81
5519.74;35.11
5579.62;123.89
5639.89;111.11
5699.73;33.33
5759.73;1.56
5819.88;35.06
5879.94;64.94
5939.91;2.16
5999.62;10.84
6059.93;37.11
6119.62;8.76
6179.78;37.13
6239.95;87.75
6299.86;147.73
6359.99;130.71
6419.77;128.11
6479.67;57.7
6539.71;76
6599.71;0
6659.86;60
6719.83;113.93
6779.94;92.2
6839.81;145.46
6899.98;122.33
6959.87;63.99
7019.77;124.1
7079.71;24
7139.71;0
7199.91;27
7259.7;0
7319.88;25
7379.89;23
7439.64;28.94
7499.67;46.49
7559.9;34.32
7619.73;51.25
7679.75;23
7739.91;8.2
7799.84;12.8
7859.94;29.11
7919.63;26.98
7979.94;36.91
8039.74;39
8099.72;27
8159.73;0
8219.77;2.92
8279.92;35.08
8339.97;67
8399.65;43.63
8459.91;66.26
8519.97;95.41
8579.71;109.73
8639.97;283.16
8699.94;159.8
8760;111.42
8819.61;67.61
8879.75;71.44
8939.76;70.72
8999.97;156.97
9059.86;208.81
9119.99;290.89
9179.9;304.92
9239.98;154.22
9299.99;11
9359.92;0
9419.77;0
9479.62;0
9539.9;0
9599.97;0
9659.97;0
9719.82;0
9779.68;0
9839.95;0
9899.99;0
9959.6;0
10019.88;0
10079.73;0
10139.66;0
10199.97;0
10259.66;0
10319.93;0
10379.78;0
10439.9;0
10499.99;0
10559.71;0
10619.98;0
10679.92;0
10739.97;0
10799.91;0
10859.76;0
10919.62;0
10979.75;0
11039.99;0
11099.97;0
11159.82;0
11220;0
11279.99;0
11339.97;0
11399.6;0
11459.87;0
11519.59;0
11579.81;0
11639.99;0
11699.65;0
11759.93;0
11819.83;0
11879.97;0
11939.85;0
11999.71;0
12059.85;0
12119.66;0
12179.99;0
12239.88;0
12299.73;0
12359.67;0
12419.9;0
12479.97;0
12539.94;0
12599.69;0
12659.92;0
12719.73;0
12779.99;0
12839.99;0
12899.94;0
12959.74;0
13019.97;0
13079.77;0
13139.99;0
13199.76;0
13259.99;0
13319.99;0
13379.82;0
13439.78;0
13499.59;0
13559.81;0
13619.97;0
13679.87;0
13739.6;0
13799.83;0
13859.64;0
13919.99;0
13979.62;0
14039.85;0
14099.65;0
14159.88;0
14219.97;0
14279.87;0
14339.67;0
14399.9;0
14459.99;0
14519.88;0
14579.69;0
14639.92;0
14699.72;0
14759.97;0
14819.71;0
14879.93;0
14939.74;0
14999.97;0
15059.99;0
15119.95;0
15179.76;0
15239.99;0
15299.79;0
15359.97;0
15419.78;0
15479.58;0
15539.81;0
15599.99;0
15659.79;0
15719.6;0
15779.83;0
15839.63;0
15899.97;0
15959.62;0
16019.85;0
16079.65;0
16139.88;0
16199.99;0
16259.86;0
16319.67;0
16379.9;0
16439.7;0
16499.97;0
16559.69;0
16619.91;0
16679.72;0
16739.95;0
16799.99;0
16859.93;0
16919.74;0
16979.97;0
17039.97;0
17099.95;0
17159.76;0
17219.98;0
17279.79;0
17339.99;0
17399.77;0
17459.58;0
17519.81;0
17579.61;0
17639.97;0
17699.6;0
17759.83;0
17819.63;0
17879.86;0
17939.99;0
17999.84;0
18059.65;0
18119.88;0
18179.97;0
18239.86;0
18299.67;0
18359.89;0
18419.7;0
18479.99;0
18539.69;0
18599.91;0
18659.72;0
18719.95;0
18779.97;0
18839.93;0
18899.74;0
18959.96;0
19019.77;0
19079.99;0
19139.75;0
19199.98;0
19259.79;0
19319.97;0
19379.77;0
19440;0
19499.81;0
19559.61;0
19619.99;0
19679.6;0
19739.82;0
19799.63;0
19859.86;0
19919.97;0
19979.84;0
20039.65;0
20099.87;0
20159.68;0
20219.99;0
20279.67;0
20339.89;0
20399.7;0
20459.93;0
