#TimeStamp;DistanceTraveled
59.95;569.15
119.99;115.85
179.96;0
239.96;18
299.84;41.86
359.95;8.2
419.64;32.66
479.61;76.28
539.8;0
599.8;0
659.71;0
719.72;26
779.79;22
839.79;42
899.96;20
959.87;28.53
1019.63;37.47
1079.63;0
1139.63;0
1199.67;33.91
1259.69;38.09
1319.73;18
1379.73;24
1439.98;18
1499.85;24.26
1559.85;23.74
1619.85;0
1679.9;63
1739.9;46.18
1799.88;37.82
1859.88;0
1919.92;25.79
1979.79;38.68
2039.86;4.53
2099.87;47
2159.97;26.99
2219.78;45.83
2279.93;35.92
2339.63;50.66
2399.9;72.97
2459.88;82.99
2519.88;43.65
2579.61;45
2639.7;11.78
2699.61;7.22
2759.92;25.08
2819.99;62.65
2879.72;34.26
2939.95;56.47
2999.97;144.11
3059.96;129.46
3119.68;107.96
3179.73;27
3239.66;21.93
3299.9;46.26
3359.89;61.72
3419.98;2.61
3479.65;76.77
3539.61;63.21
3599.74;178.06
3659.67;206.44
3719.65;77.2
3779.87;18.8
3839.87;0
3899.82;23.96
3959.98;91.94
4019.67;39.1
4079.67;39.15
4139.69;43.85
4199.88;41
4259.9;27
4319.96;0
4379.74;77.2
4439.81;18.8
4499.9;39.51
4559.71;76.49
4619.69;64.13
4679.99;107.11
4739.63;8.76
4799.68;42.09
4859.58;49.91
4919.6;27
4979.92;10.42
5039.87;63.56
5099.82;139.9
5159.94;19.49
5219.79;104.98
5279.81;88.66
5339.67;74.55
5399.99;145.75
5459.76;254.05
5519.95;78.49
5579.97;98.43
5639.88;168.33
5699.95;128.14
5759.88;13.05
5819.88;7.19
5879.97;85.72
5939.59;258.6
5999.91;415.15
6059.85;298.76
6119.78;11.77
6179.78;0
6239.78;0
6299.78;0
6359.78;0
6419.78;0
6479.78;0
6539.78;0
6599.78;0
6659.78;0
6719.78;0
6779.78;0
6839.78;0
6899.78;0
6959.78;0
7019.78;0
7079.78;0
7139.78;0
7199.78;0
7259.78;0
7319.78;0
7379.78;0
7439.78;0
7499.78;0
7559.78;0
7619.78;0
7679.78;0
7739.78;0
7799.78;0
7859.78;0
7919.78;0
7979.78;0
8039.78;0
8099.78;0
8159.78;0
8219.78;0
8279.78;0
8339.78;0
8399.78;0
8459.78;0
8519.78;0
8579.78;0
8639.78;0
8699.78;0
8759.78;0
8819.78;0
8879.78;0
8939.78;0
8999.78;0
9059.78;0
9119.78;0
9179.78;0
9239.78;0
9299.78;0
9359.78;0
9419.78;0
9479.78;0
9539.78;0
9599.78;0
9659.78;0
9719.78;0
9779.78;0
9839.78;0
9899.78;0
9959.78;0
10019.78;0
10079.78;0
10139.78;0
10199.78;0
10259.78;0
10319.78;0
10379.78;0
10439.78;0
10499.78;0
10559.78;0
10619.78;0
10679.78;0
10739.78;0
10799.78;0
10859.78;0
10919.78;0
10979.78;0
11039.78;0
11099.78;0
11159.78;0
11219.78;0
11279.78;0
11339.78;0
11399.78;0
11459.78;0
11519.78;0
11579.78;0
11639.78;0
11699.78;0
11759.78;0
11819.78;0
11879.78;0
11939.78;0
11999.78;0
12059.78;0
12119.78;0
12179.78;0
12239.78;0
12299.78;0
12359.78;0
12419.78;0
12479.78;0
12539.78;0
12599.78;0
12659.78;0
12719.78;0
12779.78;0
12839.78;0
12899.78;0
12959.78;0
13019.78;0
13079.78;0
13139.78;0
13199.78;0
13259.78;0
13319.78;0
13379.78;0
13439.78;0
13499.78;0
13559.78;0
13619.78;0
13679.78;0
13739.78;0
13799.78;0
13859.78;0
13919.78;0
13979.78;0
14039.78;0
14099.78;0
14159.78;0
14219.78;0
14279.78;0
14339.78;0
14399.78;0
14459.78;0
14519.78;0
14579.78;0
14639.78;0
14699.78;0
14759.78;0
14819.78;0
14879.78;0
14939.78;0
14999.78;0
15059.78;0
15119.78;0
15179.78;0
15239.78;0
15299.78;0
15359.78;0
15419.78;0
15479.78;0
15539.78;0
15599.78;0
15659.78;0
15719.78;0
15779.78;0
15839.78;0
15899.78;0
15959.78;0
16019.78;0
16079.78;0
16139.78;0
16199.78;0
16259.78;0
16319.78;0
16379.78;0
16439.78;0
16499.78;0
16559.78;0
16619.78;0
16679.78;0
16739.78;0
16799.78;0
16859.78;0
16919.78;0
16979.78;0
17039.78;0
17099.78;0
17159.78;0
17219.78;0
17279.78;0
17339.78;0
17399.78;0
17459.78;0
17519.78;0
17579.78;0
17639.78;0
17699.78;0
17759.78;0
17819.78;0
17879.78;0
17939.78;0
17999.78;0
18059.78;0
18119.78;0
18179.78;0
18239.78;0
18299.78;0
18359.78;0
18419.78;0
18479.78;0
18539.78;0
18599.78;0
18659.78;0
18719.78;0
18779.78;0
18839.78;0
18899.78;0
18959.78;0
19019.78;0
19079.78;0
19139.78;0
19199.78;0
19259.78;0
19319.78;0
19379.78;0
19439.78;0
19499.78;0
19559.78;0
19619.78;0
19679.78;0
19739.78;0
19799.78;0
19859.78;0
19919.78;0
19979.78;0
20039.78;0
20099.78;0
20159.78;0
20219.78;0
20279.78;0
20339.78;0
20399.78;0
20459.78;0
