#TimeStamp;TripTime;Type
27;11;O
33;19;O
33;18;O
36;14;O
38;25;O
44;24;O
46;26;O
47;34;O
53;36;O
58;33;O
59;42;O
65;40;O
65;47;O
69;43;O
71;53;O
75;58;O
77;49;O
79;36;O
254;28;O
272;16;O
300;14;O
372;15;O
431;15;O
434;26;O
438;21;O
476;29;O
685;14;O
756;16;O
797;16;O
826;15;O
857;15;O
949;16;O
968;16;O
1009;16;O
1197;13;O
1200;15;O
1237;12;O
1291;15;O
1342;16;O
1434;16;O
1491;14;O
1524;16;O
1645;15;O
1645;16;O
1665;15;O
1705;16;O
1715;15;O
1747;15;O
1784;15;O
1906;14;O
1927;15;O
1979;15;O
2069;15;O
2082;19;O
2151;16;O
2181;16;O
2215;16;O
2275;15;O
2284;17;O
2320;14;O
2333;15;O
2355;17;O
2381;20;O
2396;18;O
2411;20;O
2447;16;O
2451;14;O
2456;15;O
2492;14;O
2497;15;O
2535;16;O
2538;17;O
2642;14;O
2754;14;O
2767;16;O
2798;16;O
2825;14;O
2847;14;O
2898;14;O
2929;18;O
2949;15;O
2975;17;O
2982;9;O
2986;22;O
2986;18;O
2999;15;O
3006;14;O
3014;16;O
3034;16;O
3051;16;O
3066;8;O
3074;10;O
3078;13;O
3099;14;O
3108;11;O
3163;20;O
3239;14;O
3247;13;O
3270;15;O
3291;14;O
3333;15;O
3345;18;O
3359;13;O
3435;18;O
3466;16;O
3473;15;O
3482;14;O
3502;14;O
3544;16;O
3545;17;O
3560;19;O
3563;14;O
3584;15;O
3591;20;O
3619;7;O
3628;20;O
3633;8;O
3633;14;O
3637;33;O
3644;15;O
3647;11;O
3649;18;O
3674;14;O
3697;16;O
3704;15;O
3727;15;O
3872;13;O
3909;16;O
3925;13;O
3938;16;O
3957;15;O
3970;16;O
4010;16;O
4071;16;O
4081;16;O
4102;28;O
4121;16;O
4158;15;O
4179;14;O
4227;14;O
4342;16;O
4351;16;O
4355;128;O
4370;15;O
4435;16;O
4461;15;O
4505;18;O
4512;15;O
4530;13;O
4550;13;O
4596;15;O
4607;30;O
4622;14;O
4655;16;O
4657;16;O
4671;20;O
4681;12;O
4751;12;O
4793;13;O
4835;16;O
4836;17;O
4909;16;O
4984;13;O
4999;15;O
5015;14;O
5055;21;O
5079;16;O
5089;17;O
5096;14;O
5096;21;O
5101;16;O
5169;15;O
5176;13;O
5201;15;O
5211;17;O
5225;13;O
5236;7;O
5251;16;O
5268;14;O
5272;16;O
5298;14;O
5302;16;O
5332;19;O
5343;16;O
5362;16;O
5369;15;O
5383;18;O
5383;17;O
5387;31;O
5402;16;O
5408;9;O
5428;14;O
5439;22;O
5442;15;O
5448;23;O
5452;17;O
5456;35;O
5462;16;O
5464;19;O
5467;20;O
5485;27;O
5498;17;O
5532;15;O
5562;15;O
5572;14;O
5575;16;O
5592;20;O
5594;16;O
5605;17;O
5614;15;O
5630;15;O
5643;21;O
5645;17;O
5652;14;O
5654;15;O
5655;14;O
5673;15;O
5682;13;O
5695;13;O
5762;13;O
5845;14;O
5855;14;O
5887;15;O
5893;24;O
5899;17;O
5914;12;O
5920;18;O
5925;21;O
5932;17;O
5951;24;O
5968;26;O
5972;11;O
5977;31;O
5989;35;O
