#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
96.62;0;95.24;95.24;-Infinity;95.24;95.24
127.05;0;123.32;123.32;-Infinity;123.32;123.32
138.98;1;136.49;136.49;-Infinity;136.49;136.49
219.01;1;202.54;202.54;-Infinity;202.54;202.54
239.12;1;220.73;220.71;-Infinity;220.73;220.73
240.95;2;222.15;222.14;-Infinity;222.15;222.15
259.35;1;238.63;238.59;-Infinity;238.63;238.63
277.53;0;258.51;258.51;-Infinity;258.51;258.51
317.78;0;290.97;290.97;-Infinity;290.97;290.97
329.4;1;297.23;190.28;-Infinity;297.23;297.23
359.95;1;327.75;140.71;-Infinity;327.75;327.75
371.11;2;363.17;363.17;-Infinity;363.17;363.17
401.02;2;368.57;159.97;-Infinity;368.57;368.57
420;1;385.71;90.23;-Infinity;385.71;385.71
457.87;0;451.12;451.12;-Infinity;451.12;451.12
461.44;2;458.4;458.4;-Infinity;458.4;458.40
468.11;0;445.3;445.27;-Infinity;445.3;445.30
470.49;1;437.24;210.91;-Infinity;437.24;437.24
471.84;2;467.74;467.74;-Infinity;467.74;467.74
480.78;1;445.86;120.78;-Infinity;445.86;445.86
482.28;2;476.07;476.07;-Infinity;476.07;476.07
498.74;0;489.92;489.91;-Infinity;489.92;489.92
509.16;0;503.19;503.19;-Infinity;503.19;503.19
519.58;0;507.86;507.84;-Infinity;507.86;507.86
529.96;0;515.74;515.7;-Infinity;515.74;515.74
532.47;2;503.28;503.28;-Infinity;503.28;503.28
540.04;0;521.9;521.88;-Infinity;521.9;521.90
541.31;1;499.95;60.35;-Infinity;499.95;499.95
550.03;0;519.57;453.1;-Infinity;519.57;519.57
551.65;1;540.94;540.94;-Infinity;540.94;540.94
561.82;1;549.62;549.59;-Infinity;549.62;549.62
582.51;1;550.25;343.19;-Infinity;550.25;550.25
592.74;1;554.62;172.68;-Infinity;554.62;554.62
602.87;2;580.07;580.04;-Infinity;580.07;580.07
613.29;2;588.37;588.36;-Infinity;588.37;588.37
623.71;2;587.29;252.54;-Infinity;587.29;587.29
664.13;2;619.01;131.28;-Infinity;619.01;619.01
672.7;1;618.05;90.15;-Infinity;618.05;618.05
723.24;1;722.54;722.54;-Infinity;722.54;722.54
733.51;1;692.74;262.97;-Infinity;692.74;692.74
737.18;0;703.31;459.53;-Infinity;703.31;703.31
747.52;0;713.39;429.6;-Infinity;713.39;713.39
754.07;1;702.56;202.28;-Infinity;702.56;702.56
774.6;2;732.58;292.16;-Infinity;732.58;732.58
783.99;1;728.72;191.21;-Infinity;728.72;728.72
784.6;2;728.19;171.14;-Infinity;728.19;728.19
794.93;2;735.71;130.63;-Infinity;735.71;735.71
797.64;0;755.13;298.83;-Infinity;755.13;755.13
828.06;0;785.18;318.83;-Infinity;785.18;785.18
844.53;1;783.56;110.81;-Infinity;783.56;783.56
845.09;2;775.34;50.12;-Infinity;775.34;775.34
855.14;2;854.15;854.15;-Infinity;854.15;854.15
868.09;0;819.01;317.67;-Infinity;819.01;819.01
885.47;2;817.88;110.75;-Infinity;817.88;817.88
894.75;1;826.55;110.57;-Infinity;826.55;826.55
895.47;2;826.61;110.54;-Infinity;826.61;826.61
945.43;1;921.17;921.17;-Infinity;921.17;921.17
955.71;1;883.72;111.09;-Infinity;883.72;883.72
979.35;0;908.92;181.55;-Infinity;908.92;908.92
985.89;1;957.89;957.88;-Infinity;957.89;957.89
989.61;0;918.71;161.39;-Infinity;918.71;918.71
1006.09;1;1002.14;1002.14;-Infinity;1002.14;1002.14
1015.48;2;976.56;553.89;-Infinity;976.56;976.56
1016.23;1;964.16;454.14;-Infinity;964.16;964.16
1025.98;2;984.96;553.96;-Infinity;984.96;984.96
1030.05;0;957.31;161.66;-Infinity;957.31;957.31
1036.82;1;976.91;363.95;-Infinity;976.91;976.91
1040.47;0;960.51;50.47;-Infinity;960.51;960.51
1046.4;2;990.67;443.35;-Infinity;990.67;990.67
1056.82;2;999.42;432.94;-Infinity;999.42;999.42
1067.28;2;993.34;181.76;-Infinity;993.34;993.34
1067.44;1;993.48;172.4;-Infinity;993.48;993.48
1077.23;2;1003.22;181.55;-Infinity;1003.22;1003.22
1087.89;1;1012.24;142.41;-Infinity;1012.24;1012.24
1167.6;2;1078.78;100.15;-Infinity;1078.78;1078.78
1167.93;1;1082.26;130.88;-Infinity;1082.26;1082.26
1228.35;1;1136.66;140.42;-Infinity;1136.66;1136.66
1248.32;2;1156.5;80.39;-Infinity;1156.5;1156.50
1248.83;1;1241.46;1241.46;-Infinity;1241.46;1241.46
1278.37;2;1206.32;422.93;-Infinity;1206.32;1206.32
1294.16;0;1216.92;314.57;-Infinity;1216.92;1216.92
1304.16;0;1218.56;274.07;-Infinity;1218.56;1218.56
1329.11;2;1239.46;251.62;-Infinity;1239.46;1239.46
1329.24;1;1323.23;1323.23;-Infinity;1323.23;1323.23
1379.66;1;1330.73;838.28;-Infinity;1330.73;1330.73
1389.85;1;1296.24;221.5;-Infinity;1296.24;1296.24
1393.51;0;1392.97;1392.97;-Infinity;1392.97;1392.97
1399.09;2;1316.31;383.32;-Infinity;1316.31;1316.31
1400;1;1301.64;70.65;-Infinity;1301.64;1301.64
1403.93;0;1318.13;363.41;-Infinity;1318.13;1318.13
1424.48;0;1328.01;130.2;-Infinity;1328.01;1328.01
1429.59;2;1342.98;382.99;-Infinity;1342.98;1342.98
1430.26;1;1369.99;706.97;-Infinity;1369.99;1369.99
1434.61;0;1337.12;130.26;-Infinity;1337.12;1337.12
1449.66;2;1361.99;392.64;-Infinity;1361.99;1361.99
1450.55;1;1350.03;70.83;-Infinity;1350.03;1350.03
1460;2;1365.92;211.64;-Infinity;1365.92;1365.92
1480.42;2;1385.3;201.72;-Infinity;1385.3;1385.30
1490.92;2;1392.67;161.77;-Infinity;1392.67;1392.67
1504.64;0;1394.54;69.99;-Infinity;1394.54;1394.54
1530.94;2;1426.36;131.74;-Infinity;1426.36;1426.36
1550.86;1;1483.49;796.73;-Infinity;1483.49;1483.49
1554.7;0;1523.02;1427.31;-Infinity;1523.02;1523.02
1561.04;1;1483.98;605.29;-Infinity;1483.98;1483.98
1564.73;0;1526.09;1106.76;-Infinity;1526.09;1526.09
1571.3;1;1467.77;181.3;-Infinity;1467.77;1467.77
1581.25;2;1470.32;131.55;-Infinity;1470.32;1470.32
1585.15;0;1522.82;837.43;-Infinity;1522.82;1522.82
1631.72;1;1509.85;70.45;-Infinity;1509.85;1509.85
1645.57;0;1520.47;60.2;-Infinity;1520.47;1520.47
1655.92;0;1551.45;262.19;-Infinity;1551.45;1551.45
1661.67;2;1548.9;170.71;-Infinity;1548.9;1548.90
1662.52;1;1583.4;676.34;-Infinity;1583.4;1583.40
1692.52;1;1611.66;686.29;-Infinity;1611.66;1611.66
1732.85;1;1643.85;665.36;-Infinity;1643.85;1643.85
1743.27;1;1649.55;514.5;-Infinity;1649.55;1649.55
1753.24;1;1648.45;353.2;-Infinity;1648.45;1648.45
1757.5;0;1629.96;101.29;-Infinity;1629.96;1629.96
1761.84;2;1750.15;1750.15;-Infinity;1750.15;1750.15
1772.02;2;1659.62;291.47;-Infinity;1659.62;1659.62
1773.8;1;1663.75;343.3;-Infinity;1663.75;1663.75
1783.69;1;1662.48;232.47;-Infinity;1662.48;1662.48
1792.82;2;1668.91;211.52;-Infinity;1668.91;1668.91
1794.12;1;1671.07;222.44;-Infinity;1671.07;1671.07
1802.94;2;1673.49;141.22;-Infinity;1673.49;1673.49
1814.54;1;1688.77;182.44;-Infinity;1688.77;1688.77
1823.66;2;1689.26;61.65;-Infinity;1689.26;1689.26
1834.96;1;1704.58;172.4;-Infinity;1704.58;1704.58
1845.38;1;1714.92;152.6;-Infinity;1714.92;1714.92
1854.08;2;1719.37;81.65;-Infinity;1719.37;1719.37
1875.8;1;1742.06;122.27;-Infinity;1742.06;1742.06
1884.5;2;1748.38;91.64;-Infinity;1748.38;1748.38
1914.92;2;1777.31;111.64;-Infinity;1777.31;1777.31
1966.23;1;1871.13;717.04;-Infinity;1871.13;1871.13
1985.34;2;1841.64;100.8;-Infinity;1841.64;1841.64
2015.76;2;1871.6;100.8;-Infinity;1871.6;1871.60
2046.08;2;1901.54;60.7;-Infinity;1901.54;1901.54
2046.64;1;1902.3;80.13;-Infinity;1902.3;1902.30
2057.26;1;1972.94;1040.63;-Infinity;1972.94;1972.94
2096.23;2;2082.01;2082.01;-Infinity;2082.01;2082.01
2106.42;2;1966;282.71;-Infinity;1966;1966.00
2116.9;2;1972.08;101.1;-Infinity;1972.08;1972.08
2127.08;2;1982.09;80.86;-Infinity;1982.09;1982.09
2147.62;1;2001.69;90.26;-Infinity;2001.69;2001.69
2157.62;1;2046.44;706.86;-Infinity;2046.44;2046.44
2167.62;1;2034.29;424.13;-Infinity;2034.29;2034.29
2227.59;2;2210.12;2210.12;-Infinity;2210.12;2210.12
2237.65;2;2090.87;120.45;-Infinity;2090.87;2090.87
